mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,342,1.451262e+06,8.028581,4.173373e+00,2.507398e+01,1.664634e+01
2,343,1.452596e+06,8.035960,7.966247e-01,4.811678e+00,3.149486e+00
3,344,1.885766e+06,10.432317,5.563051e-01,4.617958e+00,1.981422e+00
4,345,1.898334e+06,10.501845,6.004131e-01,5.058590e+00,2.126870e+00
5,346,1.972846e+06,10.914052,1.774489e+00,7.188207e+00,6.399632e+00
6,347,2.010783e+06,11.123929,5.521004e-01,5.651996e+00,5.651378e-01
7,348,2.109808e+06,11.671747,6.742679e-01,5.304901e+00,1.974779e+00
8,349,2.204505e+06,12.195623,5.955097e-01,5.167421e+00,2.363996e+00
9,350,2.319427e+06,12.831389,8.315886e-01,6.095156e+00,2.998360e+00
10,351,2.552333e+06,14.119855,5.174616e-01,4.314358e+00,2.694415e+00
11,352,2.985095e+06,16.513956,5.044560e-01,4.011818e+00,3.017139e+00
12,353,3.482380e+06,19.265004,5.036009e-01,3.981186e+00,3.275562e+00
13,354,3.844196e+06,21.266620,1.093371e+00,7.292883e+00,3.900356e+00
14,355,4.098219e+06,22.671908,5.075424e-01,4.135897e+00,3.589478e+00
15,356,4.904722e+06,27.133591,4.852858e-01,4.127360e+00,3.840314e+00
16,357,5.057754e+06,27.980188,7.130798e-01,5.662156e+00,5.075488e+00
17,358,5.204296e+06,28.790878,5.481951e-01,6.383983e+00,2.618806e+00
18,359,5.370174e+06,29.708537,3.909815e-01,4.373872e+00,3.008167e+00
19,360,5.412056e+06,29.940231,5.357336e-01,5.246324e+00,3.604701e+00
20,361,5.459770e+06,30.204194,4.434552e-01,5.155321e+00,3.390939e+00
