mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,353,1.453121e+02,8.038864,4.170618e+00,2.508644e+01,1.665836e+01
2,354,1.454479e+02,8.046376,7.950434e-01,4.807547e+00,3.147798e+00
3,355,1.888785e+02,10.449016,5.556323e-01,4.622892e+00,1.984822e+00
4,356,1.902347e+02,10.524045,6.216978e-01,5.232050e+00,2.225247e+00
5,357,2.005542e+02,11.094931,1.733799e+00,7.061303e+00,6.316955e+00
6,358,2.061545e+02,11.404750,4.929244e-01,4.989664e+00,8.641452e-01
7,359,2.127523e+02,11.769748,7.209708e-01,5.237574e+00,2.267411e+00
8,360,2.220741e+02,12.285442,6.054713e-01,5.458324e+00,2.473043e+00
9,361,2.383309e+02,13.184791,8.040398e-01,5.977977e+00,2.917887e+00
10,362,2.566877e+02,14.200314,5.184429e-01,4.345501e+00,2.714222e+00
11,363,3.002206e+02,16.608614,5.070160e-01,4.027281e+00,3.048015e+00
12,364,3.498792e+02,19.355796,5.073188e-01,4.010945e+00,3.288656e+00
13,365,3.914666e+02,21.656466,1.043048e+00,7.102447e+00,3.749066e+00
14,366,4.128754e+02,22.840829,5.081272e-01,4.156564e+00,3.616508e+00
15,367,4.933402e+02,27.292251,4.831560e-01,4.106882e+00,3.841026e+00
16,368,5.111430e+02,28.277130,6.811395e-01,5.478049e+00,4.884871e+00
17,369,5.323911e+02,29.452600,5.063863e-01,5.485765e+00,3.051241e+00
18,370,5.378569e+02,29.754978,3.833324e-01,4.318312e+00,2.932938e+00
19,371,5.470619e+02,30.264212,4.394938e-01,5.108489e+00,3.379136e+00
20,372,5.507707e+02,30.469386,4.977679e-01,5.399180e+00,3.006786e+00
