mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,348,1.587705e+10,8.783400,5.856088e+00,2.265969e+01,1.758371e+01
2,349,1.666199e+10,9.217643,2.464658e+00,5.167692e+00,3.792104e+00
3,350,1.668062e+10,9.227945,2.421788e+00,5.113634e+00,3.717666e+00
4,351,1.690945e+10,9.354537,1.174274e+00,6.223786e+00,2.824809e+00
5,352,2.063541e+10,11.415792,2.196396e+00,5.081772e+00,3.095183e+00
6,353,2.064144e+10,11.419128,2.260476e+00,5.345308e+00,3.124053e+00
7,354,2.228352e+10,12.327546,2.317632e+00,4.937944e+00,3.943834e+00
8,355,2.232958e+10,12.353031,2.101563e+00,4.578387e+00,3.719199e+00
9,356,2.371919e+10,13.121778,1.969831e+00,5.467767e+00,2.875610e+00
10,357,2.409039e+10,13.327132,1.738020e+00,5.117197e+00,2.521076e+00
11,358,2.425308e+10,13.417133,1.790579e+00,6.933888e+00,4.612606e+00
12,359,2.642223e+10,14.617141,2.414657e+00,5.832164e+00,3.735435e+00
13,360,2.651855e+10,14.670424,2.273590e+00,5.398122e+00,3.534445e+00
14,361,2.742063e+10,15.169465,1.512661e+00,5.527529e+00,2.186132e+00
15,362,2.775555e+10,15.354750,1.726088e+00,6.050463e+00,2.731053e+00
16,363,2.825929e+10,15.633427,9.527678e-01,6.592348e+00,1.966148e+00
17,364,2.959205e+10,16.370729,1.677929e+00,5.038444e+00,2.708194e+00
18,365,2.964330e+10,16.399077,1.810119e+00,5.242616e+00,2.797309e+00
19,366,3.048164e+10,16.862860,1.733790e+00,4.907575e+00,3.372539e+00
20,367,3.058580e+10,16.920485,1.862831e+00,5.602302e+00,3.768268e+00
