mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,354,2.045679e+02,11.316977,5.857805e+00,2.466793e+01,2.210739e+01
2,355,2.376925e+02,13.149476,8.737448e-01,6.071079e+00,2.973025e+00
3,356,3.876851e+02,21.447269,1.150203e+00,7.005602e+00,3.805669e+00
4,357,5.202165e+02,28.779086,8.158743e-01,5.678536e+00,5.090367e+00
5,358,5.331831e+02,29.496419,5.417512e-01,5.820783e+00,2.799506e+00
6,359,5.525542e+02,30.568051,5.471062e-01,5.457001e+00,3.340153e+00
7,360,7.325774e+02,40.527184,5.968927e-01,6.220771e+00,3.082990e+00
8,361,7.766381e+02,42.964683,5.684570e-01,6.515940e+00,2.638629e+00
9,362,8.229507e+02,45.526756,8.484708e-01,5.212351e+00,5.570331e+00
10,363,9.672801e+02,53.511256,5.356578e-01,5.515890e+00,4.842997e+00
11,364,9.751096e+02,53.944397,5.929076e-01,6.202935e+00,3.384797e+00
12,365,1.006327e+03,55.671363,5.150108e-01,5.149647e+00,4.448691e+00
13,366,1.063569e+03,58.838117,9.040312e-01,5.679029e+00,5.953230e+00
14,367,1.100632e+03,60.888442,4.332306e-01,6.649837e+00,3.133539e+00
15,368,1.185547e+03,65.586107,6.392357e-01,5.093422e+00,5.037335e+00
16,369,1.203420e+03,66.574822,3.746046e-01,5.858896e+00,2.853549e+00
17,370,1.206478e+03,66.744003,3.103696e-01,4.955298e+00,3.163854e+00
18,371,1.211294e+03,67.010440,2.971674e-01,4.706620e+00,3.009443e+00
19,372,1.282885e+03,70.970936,3.549673e-01,6.139360e+00,2.118005e+00
20,373,1.290183e+03,71.374684,5.825783e-01,6.125663e+00,4.708762e+00
