mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,1,1.000000e+00,0.000553,0.000000e+00,0.000000e+00,0.000000e+00
2,2,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
3,3,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
4,4,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
5,5,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
6,6,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
7,7,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
8,8,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
9,9,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
10,10,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
11,11,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
12,12,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
13,13,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
14,14,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
15,15,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
16,16,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
17,17,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
18,18,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
19,19,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
20,20,1.000000e+00,0.000553,1.000000e+00,0.000000e+00,0.000000e+00
