method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Pure_FEM,9,1.111111e-01,-0.954243,1,1.964007e+08,10.865153,4.000000,1.716288e+00
Pure_FEM,9,1.111111e-01,-0.954243,2,2.416477e+08,13.368281,6.250000,1.138925e+00
Pure_FEM,9,1.111111e-01,-0.954243,3,4.810284e+08,26.611146,11.111111,1.395003e+00
Pure_FEM,9,1.111111e-01,-0.954243,4,5.223156e+08,28.895210,16.000000,8.059506e-01
Pure_FEM,9,1.111111e-01,-0.954243,5,5.873504e+08,32.493027,18.062500,7.989219e-01
Pure_FEM,9,1.111111e-01,-0.954243,6,8.446662e+08,46.728087,18.777778,1.488478e+00
Pure_FEM,10,1.000000e-01,-1.000000,1,1.934455e+08,10.701669,4.000000,1.675417e+00
Pure_FEM,10,1.000000e-01,-1.000000,2,2.346284e+08,12.979964,6.250000,1.076794e+00
Pure_FEM,10,1.000000e-01,-1.000000,3,4.493942e+08,24.861099,11.111111,1.237499e+00
Pure_FEM,10,1.000000e-01,-1.000000,4,5.062983e+08,28.009116,16.000000,7.505697e-01
Pure_FEM,10,1.000000e-01,-1.000000,5,5.611833e+08,31.045428,18.062500,7.187780e-01
Pure_FEM,10,1.000000e-01,-1.000000,6,7.428558e+08,41.095798,18.777778,1.188534e+00
Pure_FEM,11,9.090909e-02,-1.041393,1,1.913078e+08,10.583408,4.000000,1.645852e+00
Pure_FEM,11,9.090909e-02,-1.041393,2,2.297105e+08,12.707900,6.250000,1.033264e+00
Pure_FEM,11,9.090909e-02,-1.041393,3,4.284039e+08,23.699887,11.111111,1.132990e+00
Pure_FEM,11,9.090909e-02,-1.041393,4,4.949986e+08,27.384001,16.000000,7.115001e-01
Pure_FEM,11,9.090909e-02,-1.041393,5,5.433587e+08,30.059348,18.062500,6.641854e-01
Pure_FEM,11,9.090909e-02,-1.041393,6,6.806080e+08,37.652163,18.777778,1.005145e+00
Pure_FEM,12,8.333333e-02,-1.079181,1,1.897047e+08,10.494726,4.000000,1.623681e+00
Pure_FEM,12,8.333333e-02,-1.079181,2,2.261142e+08,12.508945,6.250000,1.001431e+00
Pure_FEM,12,8.333333e-02,-1.079181,3,4.136312e+08,22.882643,11.111111,1.059438e+00
Pure_FEM,12,8.333333e-02,-1.079181,4,4.867383e+08,26.927027,16.000000,6.829392e-01
Pure_FEM,12,8.333333e-02,-1.079181,5,5.306231e+08,29.354793,18.062500,6.251789e-01
Pure_FEM,12,8.333333e-02,-1.079181,6,6.392073e+08,35.361822,18.777778,8.831740e-01
Pure_FEM,13,7.692308e-02,-1.113943,1,1.884737e+08,10.426622,4.000000,1.606656e+00
Pure_FEM,13,7.692308e-02,-1.113943,2,2.233994e+08,12.358760,6.250000,9.774015e-01
Pure_FEM,13,7.692308e-02,-1.113943,3,4.027929e+08,22.283056,11.111111,1.005475e+00
Pure_FEM,13,7.692308e-02,-1.113943,4,4.804727e+08,26.580409,16.000000,6.612755e-01
Pure_FEM,13,7.692308e-02,-1.113943,5,5.211455e+08,28.830484,18.062500,5.961513e-01
Pure_FEM,13,7.692308e-02,-1.113943,6,6.100130e+08,33.746751,18.777778,7.971642e-01
Pure_FEM,14,7.142857e-02,-1.146128,1,1.875048e+08,10.373020,4.000000,1.593255e+00
Pure_FEM,14,7.142857e-02,-1.146128,2,2.212942e+08,12.242297,6.250000,9.587676e-01
Pure_FEM,14,7.142857e-02,-1.146128,3,3.945675e+08,21.828011,11.111111,9.645210e-01
