method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Pure_FEM,9,1.111111e-01,-0.954243,1,1.964007e+08,10.865153,10.310000,5.384610e-02
Pure_FEM,9,1.111111e-01,-0.954243,2,2.416477e+08,13.368281,23.920000,-4.411254e-01
Pure_FEM,9,1.111111e-01,-0.954243,3,4.810284e+08,26.611146,23.920000,1.125061e-01
Pure_FEM,9,1.111111e-01,-0.954243,4,5.223156e+08,28.895210,39.570000,-2.697698e-01
Pure_FEM,9,1.111111e-01,-0.954243,5,5.873504e+08,32.493027,50.800000,-3.603735e-01
Pure_FEM,9,1.111111e-01,-0.954243,6,8.446662e+08,46.728087,50.800000,-8.015576e-02
Pure_FEM,10,1.000000e-01,-1.000000,1,1.934455e+08,10.701669,10.310000,3.798927e-02
Pure_FEM,10,1.000000e-01,-1.000000,2,2.346284e+08,12.979964,23.920000,-4.573594e-01
Pure_FEM,10,1.000000e-01,-1.000000,3,4.493942e+08,24.861099,23.920000,3.934360e-02
Pure_FEM,10,1.000000e-01,-1.000000,4,5.062983e+08,28.009116,39.570000,-2.921629e-01
Pure_FEM,10,1.000000e-01,-1.000000,5,5.611833e+08,31.045428,50.800000,-3.888695e-01
Pure_FEM,10,1.000000e-01,-1.000000,6,7.428558e+08,41.095798,50.800000,-1.910276e-01
Pure_FEM,11,9.090909e-02,-1.041393,1,1.913078e+08,10.583408,10.310000,2.651876e-02
Pure_FEM,11,9.090909e-02,-1.041393,2,2.297105e+08,12.707900,23.920000,-4.687333e-01
Pure_FEM,11,9.090909e-02,-1.041393,3,4.284039e+08,23.699887,23.920000,-9.202037e-03
Pure_FEM,11,9.090909e-02,-1.041393,4,4.949986e+08,27.384001,39.570000,-3.079605e-01
Pure_FEM,11,9.090909e-02,-1.041393,5,5.433587e+08,30.059348,50.800000,-4.082805e-01
Pure_FEM,11,9.090909e-02,-1.041393,6,6.806080e+08,37.652163,50.800000,-2.588157e-01
Pure_FEM,12,8.333333e-02,-1.079181,1,1.897047e+08,10.494726,10.310000,1.791716e-02
Pure_FEM,12,8.333333e-02,-1.079181,2,2.261142e+08,12.508945,23.920000,-4.770508e-01
Pure_FEM,12,8.333333e-02,-1.079181,3,4.136312e+08,22.882643,23.920000,-4.336777e-02
Pure_FEM,12,8.333333e-02,-1.079181,4,4.867383e+08,26.927027,39.570000,-3.195091e-01
Pure_FEM,12,8.333333e-02,-1.079181,5,5.306231e+08,29.354793,50.800000,-4.221497e-01
Pure_FEM,12,8.333333e-02,-1.079181,6,6.392073e+08,35.361822,50.800000,-3.039011e-01
Pure_FEM,13,7.692308e-02,-1.113943,1,1.884737e+08,10.426622,10.310000,1.131157e-02
Pure_FEM,13,7.692308e-02,-1.113943,2,2.233994e+08,12.358760,23.920000,-4.833294e-01
Pure_FEM,13,7.692308e-02,-1.113943,3,4.027929e+08,22.283056,23.920000,-6.843412e-02
Pure_FEM,13,7.692308e-02,-1.113943,4,4.804727e+08,26.580409,39.570000,-3.282687e-01
Pure_FEM,13,7.692308e-02,-1.113943,5,5.211455e+08,28.830484,50.800000,-4.324708e-01
Pure_FEM,13,7.692308e-02,-1.113943,6,6.100130e+08,33.746751,50.800000,-3.356939e-01
Pure_FEM,14,7.142857e-02,-1.146128,1,1.875048e+08,10.373020,10.310000,6.112533e-03
Pure_FEM,14,7.142857e-02,-1.146128,2,2.212942e+08,12.242297,23.920000,-4.881983e-01
Pure_FEM,14,7.142857e-02,-1.146128,3,3.945675e+08,21.828011,23.920000,-8.745774e-02
Pure_FEM,14,7.142857e-02,-1.146128,4,4.756184e+08,26.311859,39.570000,-3.350554e-01
Pure_FEM,14,7.142857e-02,-1.146128,5,5.138959e+08,28.429423,50.800000,-4.403657e-01
Pure_FEM,14,7.142857e-02,-1.146128,6,5.885183e+08,32.557638,50.800000,-3.591016e-01
Pure_FEM,15,6.666667e-02,-1.176091,1,1.867297e+08,10.330143,10.310000,1.953742e-03
Pure_FEM,15,6.666667e-02,-1.176091,2,2.196275e+08,12.150094,23.920000,-4.920529e-01
Pure_FEM,15,6.666667e-02,-1.176091,3,3.881647e+08,21.473803,23.920000,-1.022658e-01
Pure_FEM,15,6.666667e-02,-1.176091,4,4.717622e+08,26.098530,39.570000,-3.404465e-01
Pure_FEM,15,6.666667e-02,-1.176091,5,5.082033e+08,28.114499,50.800000,-4.465650e-01
Pure_FEM,15,6.666667e-02,-1.176091,6,5.721604e+08,31.652697,50.800000,-3.769154e-01
Pure_FEM,16,6.250000e-02,-1.204120,1,1.860986e+08,10.295231,10.310000,-1.432538e-03
Pure_FEM,16,6.250000e-02,-1.204120,2,2.182833e+08,12.075728,23.920000,-4.951619e-01
Pure_FEM,16,6.250000e-02,-1.204120,3,3.830695e+08,21.191925,23.920000,-1.140499e-01
Pure_FEM,16,6.250000e-02,-1.204120,4,4.686544e+08,25.926603,39.570000,-3.447914e-01
Pure_FEM,16,6.250000e-02,-1.204120,5,5.036517e+08,27.862699,50.800000,-4.515217e-01
Pure_FEM,16,6.250000e-02,-1.204120,6,5.593798e+08,30.945655,50.800000,-3.908336e-01
Pure_FEM,17,5.882353e-02,-1.230449,1,1.855786e+08,10.266460,10.310000,-4.223120e-03
Pure_FEM,17,5.882353e-02,-1.230449,2,2.171830e+08,12.014858,23.920000,-4.977066e-01
Pure_FEM,17,5.882353e-02,-1.230449,3,3.789442e+08,20.963711,23.920000,-1.235907e-01
Pure_FEM,17,5.882353e-02,-1.230449,4,4.661049e+08,25.785558,39.570000,-3.483559e-01
Pure_FEM,17,5.882353e-02,-1.230449,5,4.999456e+08,27.657674,50.800000,-4.555576e-01
Pure_FEM,17,5.882353e-02,-1.230449,6,5.491786e+08,30.381312,50.800000,-4.019427e-01
Pure_FEM,18,5.555556e-02,-1.255273,1,1.851443e+08,10.242434,10.310000,-6.553397e-03
Pure_FEM,18,5.555556e-02,-1.255273,2,2.162700e+08,11.964352,23.920000,-4.998181e-01
Pure_FEM,18,5.555556e-02,-1.255273,3,3.755519e+08,20.776043,23.920000,-1.314363e-01
Pure_FEM,18,5.555556e-02,-1.255273,4,4.639903e+08,25.668580,39.570000,-3.513121e-01
Pure_FEM,18,5.555556e-02,-1.255273,5,4.968883e+08,27.488538,50.800000,-4.588871e-01
Pure_FEM,18,5.555556e-02,-1.255273,6,5.408901e+08,29.922780,50.800000,-4.109689e-01
Pure_FEM,19,5.263158e-02,-1.278754,1,1.847782e+08,10.222181,10.310000,-8.517854e-03
Pure_FEM,19,5.263158e-02,-1.278754,2,2.155040e+08,11.921976,23.920000,-5.015896e-01
Pure_FEM,19,5.263158e-02,-1.278754,3,3.727269e+08,20.619759,23.920000,-1.379699e-01
Pure_FEM,19,5.263158e-02,-1.278754,4,4.622137e+08,25.570292,39.570000,-3.537960e-01
Pure_FEM,19,5.263158e-02,-1.278754,5,4.943325e+08,27.347150,50.800000,-4.616703e-01
Pure_FEM,19,5.263158e-02,-1.278754,6,5.340539e+08,29.544593,50.800000,-4.184135e-01
Pure_FEM,20,5.000000e-02,-1.301030,1,1.844664e+08,10.204934,10.310000,-1.019070e-02
Pure_FEM,20,5.000000e-02,-1.301030,2,2.148546e+08,11.886051,23.920000,-5.030915e-01
Pure_FEM,20,5.000000e-02,-1.301030,3,3.703469e+08,20.488099,23.920000,-1.434741e-01
Pure_FEM,20,5.000000e-02,-1.301030,4,4.607077e+08,25.486979,39.570000,-3.559015e-01
Pure_FEM,20,5.000000e-02,-1.301030,5,4.921744e+08,27.227759,50.800000,-4.640205e-01
Pure_FEM,20,5.000000e-02,-1.301030,6,5.283425e+08,29.228627,50.800000,-4.246333e-01
Pure_FEM,21,4.761905e-02,-1.322219,1,1.841989e+08,10.190132,10.310000,-1.162637e-02
Pure_FEM,21,4.761905e-02,-1.322219,2,2.142992e+08,11.855327,23.920000,-5.043760e-01
Pure_FEM,21,4.761905e-02,-1.322219,3,3.683224e+08,20.376100,23.920000,-1.481563e-01
Pure_FEM,21,4.761905e-02,-1.322219,4,4.594186e+08,25.415666,39.570000,-3.577037e-01
Pure_FEM,21,4.761905e-02,-1.322219,5,4.903337e+08,27.125931,50.800000,-4.660250e-01
Pure_FEM,21,4.761905e-02,-1.322219,6,5.235171e+08,28.961684,50.800000,-4.298881e-01
Pure_FEM,22,4.545455e-02,-1.342423,1,1.839674e+08,10.177328,10.310000,-1.286826e-02
Pure_FEM,22,4.545455e-02,-1.342423,2,2.138204e+08,11.828836,23.920000,-5.054835e-01
Pure_FEM,22,4.545455e-02,-1.342423,3,3.665848e+08,20.279974,23.920000,-1.521750e-01
Pure_FEM,22,4.545455e-02,-1.342423,4,4.583071e+08,25.354173,39.570000,-3.592577e-01
Pure_FEM,22,4.545455e-02,-1.342423,5,4.887510e+08,27.038375,50.800000,-4.677485e-01
Pure_FEM,22,4.545455e-02,-1.342423,6,5.194004e+08,28.733939,50.800000,-4.343713e-01
Pure_FEM,23,4.347826e-02,-1.361728,1,1.837659e+08,10.166180,10.310000,-1.394956e-02
Pure_FEM,23,4.347826e-02,-1.361728,2,2.134045e+08,11.805831,23.920000,-5.064452e-01
Pure_FEM,23,4.347826e-02,-1.361728,3,3.650819e+08,20.196830,23.920000,-1.556509e-01
Pure_FEM,23,4.347826e-02,-1.361728,4,4.573413e+08,25.300746,39.570000,-3.606079e-01
Pure_FEM,23,4.347826e-02,-1.361728,5,4.873795e+08,26.962503,50.800000,-4.692421e-01
Pure_FEM,23,4.347826e-02,-1.361728,6,5.158576e+08,28.537948,50.800000,-4.382294e-01
Pure_FEM,24,4.166667e-02,-1.380211,1,1.835893e+08,10.156412,10.310000,-1.489704e-02
Pure_FEM,24,4.166667e-02,-1.380211,2,2.130410e+08,11.785721,23.920000,-5.072859e-01
Pure_FEM,24,4.166667e-02,-1.380211,3,3.637727e+08,20.124402,23.920000,-1.586788e-01
Pure_FEM,24,4.166667e-02,-1.380211,4,4.564970e+08,25.254037,39.570000,-3.617883e-01
