ndiv,h,log10_h,lambda_cr,k_num,relative_error_k,log10_Error_L2_w,log10_Error_L2_phi
15.0,0.06666666666666667,-1.1760912590556813,7.273125287706354e7,4.023592279594667,0.005898069898666813,-2.1204620122324416,-2.338775750207245
16.0,0.0625,-1.2041199826559248,7.253271832445036e7,4.0126090768925575,0.003152269223139381,-2.195572880862943,-2.3445112534568513
17.0,0.058823529411764705,-1.2304489213782739,7.26533374521476e7,4.01928189183491,0.004820472958727562,-2.2226769125327066,-2.415220535685908
18.0,0.05555555555555555,-1.255272505103306,7.268808164694884e7,4.021203988161221,0.005300997040305289,-2.252678496949071,-2.414628099108079
19.0,0.05263157894736842,-1.278753600952829,7.26831261034748e7,4.020929840725632,0.005232460181407994,-2.2926815145445762,-2.424373737176903
20.0,0.05,-1.3010299956639813,7.234491565850139e7,4.002219576823353,0.0005548942058382078,-2.4162085703326097,-2.596983012379248
21.0,0.047619047619047616,-1.3222192947339193,7.249789726419854e7,4.010682728264501,0.0026706820661253072,-2.430004201321138,-2.60716809608018
22.0,0.045454545454545456,-1.3424226808222062,7.250368707133971e7,4.011003028305984,0.002750757076495969,-2.466958581689133,-2.6023448439528654
23.0,0.043478260869565216,-1.3617278360175928,7.236560222167969e7,4.003363985761781,0.0008409964404452186,-2.4904789561214438,-2.6059271737404885
24.0,0.041666666666666664,-1.3802112417116061,7.237918977425474e7,4.004115667734481,0.001028916933620172,-2.5336538123444647,-2.666554168211189
25.0,0.04,-1.3979400086720375,7.264159336211084e7,4.018632192728493,0.004658048182123231,-2.5271359421503403,-2.6172657095855496
