ndiv,h,log10_h,lambda_cr,k_num,relative_error_k,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
15.0,0.06666666666666667,-1.1760912590556813,1.4934790107304662e8,8.262129936726039,1.0655324841815097,0.01141351955221124,0.028771621635384215,12.362813799591171
16.0,0.0625,-1.2041199826559248,1.3975176666497207e8,7.731258670373113,0.9328146675932782,0.006776462318006337,0.018863741029271762,12.337226955427393
17.0,0.058823529411764705,-1.2304489213782739,1.3164414938095045e8,7.282734205037177,0.8206835512592943,0.009451297450183874,0.02119306251895158,12.39727694738811
18.0,0.05555555555555555,-1.255272505103306,1.2428356963953902e8,6.875536877212462,0.7188842193031155,0.010896222411553715,0.022602004258293697,12.455090876494571
19.0,0.05263157894736842,-1.278753600952829,1.1821244514644934e8,6.539673975467273,0.6349184938668182,0.009188831525815677,0.01874125938084318,12.461676494475634
20.0,0.05,-1.3010299956639813,1.1275157379028708e8,6.2375711110266785,0.5593927777566696,0.00967066406523505,0.01745938468644933,12.474507486005267
21.0,0.047619047619047616,-1.3222192947339193,1.0777977682362947e8,5.962524510020518,0.4906311275051296,0.010880645416508029,0.019187493452350997,12.542149172201972
22.0,0.045454545454545456,-1.3424226808222062,1.0353610780254163e8,5.727758941781714,0.4319397354454284,0.008559832584158322,0.014817298614629064,12.527557794808285
23.0,0.043478260869565216,-1.3617278360175928,9.955645823055492e7,5.507599290188697,0.37689982254717425,0.008870973660338326,0.014280484560545356,12.550736885253654
24.0,0.041666666666666664,-1.3802112417116061,9.591288826608917e7,5.306032021658792,0.32650800541469804,0.010996227735616091,0.016838912571343543,12.620683451360211
25.0,0.04,-1.3979400086720375,9.271775557557906e7,5.129272915809934,0.2823182289524835,0.009117857141113652,0.013332722146404779,12.5973108588931
