method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mix,15,6.666667e-02,-1.176091,1,1.493479e+08,8.262130,4.000000,1.065532e+00
Mix,15,6.666667e-02,-1.176091,2,1.503482e+08,8.317469,6.250000,3.307951e-01
Mix,15,6.666667e-02,-1.176091,3,1.952361e+08,10.800726,11.111111,-2.793465e-02
Mix,15,6.666667e-02,-1.176091,4,1.965672e+08,10.874367,16.000000,-3.203520e-01
Mix,15,6.666667e-02,-1.176091,5,2.002463e+08,11.077901,18.062500,-3.866906e-01
Mix,15,6.666667e-02,-1.176091,6,2.009439e+08,11.116490,18.777778,-4.079976e-01
Mix,16,6.250000e-02,-1.204120,1,1.397518e+08,7.731259,4.000000,9.328147e-01
Mix,16,6.250000e-02,-1.204120,2,1.404168e+08,7.768051,6.250000,2.428882e-01
Mix,16,6.250000e-02,-1.204120,3,1.837137e+08,10.163295,11.111111,-8.530347e-02
Mix,16,6.250000e-02,-1.204120,4,1.841976e+08,10.190062,16.000000,-3.631211e-01
Mix,16,6.250000e-02,-1.204120,5,1.932175e+08,10.689055,18.062500,-4.082184e-01
Mix,16,6.250000e-02,-1.204120,6,1.993923e+08,11.030655,18.777778,-4.125687e-01
Mix,17,5.882353e-02,-1.230449,1,1.316441e+08,7.282734,4.000000,8.206836e-01
Mix,17,5.882353e-02,-1.230449,2,1.318908e+08,7.296380,6.250000,1.674209e-01
Mix,17,5.882353e-02,-1.230449,3,1.724453e+08,9.539907,11.111111,-1.414084e-01
Mix,17,5.882353e-02,-1.230449,4,1.737410e+08,9.611590,16.000000,-3.992756e-01
Mix,17,5.882353e-02,-1.230449,5,1.877448e+08,10.386297,18.062500,-4.249801e-01
Mix,17,5.882353e-02,-1.230449,6,1.937388e+08,10.717897,18.777778,-4.292244e-01
Mix,18,5.555556e-02,-1.255273,1,1.242836e+08,6.875537,4.000000,7.188842e-01
Mix,18,5.555556e-02,-1.255273,2,1.249349e+08,6.911569,6.250000,1.058511e-01
Mix,18,5.555556e-02,-1.255273,3,1.632278e+08,9.029984,11.111111,-1.873014e-01
Mix,18,5.555556e-02,-1.255273,4,1.633457e+08,9.036510,16.000000,-4.352181e-01
Mix,18,5.555556e-02,-1.255273,5,1.822360e+08,10.081544,18.062500,-4.418522e-01
Mix,18,5.555556e-02,-1.255273,6,1.879836e+08,10.399510,18.777778,-4.461799e-01
Mix,19,5.263158e-02,-1.278754,1,1.182124e+08,6.539674,4.000000,6.349185e-01
Mix,19,5.263158e-02,-1.278754,2,1.185237e+08,6.556891,6.250000,4.910249e-02
Mix,19,5.263158e-02,-1.278754,3,1.540626e+08,8.522955,11.111111,-2.329340e-01
Mix,19,5.263158e-02,-1.278754,4,1.549431e+08,8.571664,16.000000,-4.642710e-01
Mix,19,5.263158e-02,-1.278754,5,1.769971e+08,9.791720,18.062500,-4.578979e-01
Mix,19,5.263158e-02,-1.278754,6,1.802042e+08,9.969144,18.777778,-4.690989e-01
Mix,20,5.000000e-02,-1.301030,1,1.127516e+08,6.237571,4.000000,5.593928e-01
Mix,20,5.000000e-02,-1.301030,2,1.129949e+08,6.251030,6.250000,1.647602e-04
Mix,20,5.000000e-02,-1.301030,3,1.463414e+08,8.095805,11.111111,-2.713775e-01
Mix,20,5.000000e-02,-1.301030,4,1.469555e+08,8.129778,16.000000,-4.918889e-01
Mix,20,5.000000e-02,-1.301030,5,1.716935e+08,9.498319,18.062500,-4.741415e-01
Mix,20,5.000000e-02,-1.301030,6,1.723088e+08,9.532356,18.777778,-4.923597e-01
Mix,21,4.761905e-02,-1.322219,1,1.077798e+08,5.962525,4.000000,4.906311e-01
Mix,21,4.761905e-02,-1.322219,2,1.082055e+08,5.986078,6.250000,-4.222746e-02
Mix,21,4.761905e-02,-1.322219,3,1.394691e+08,7.715623,11.111111,-3.055939e-01
Mix,21,4.761905e-02,-1.322219,4,1.396892e+08,7.727800,16.000000,-5.170125e-01
Mix,21,4.761905e-02,-1.322219,5,1.643599e+08,9.092613,18.062500,-4.966028e-01
Mix,21,4.761905e-02,-1.322219,6,1.650980e+08,9.133446,18.777778,-5.136035e-01
Mix,22,4.545455e-02,-1.342423,1,1.035361e+08,5.727759,4.000000,4.319397e-01
Mix,22,4.545455e-02,-1.342423,2,1.036924e+08,5.736408,6.250000,-8.217474e-02
Mix,22,4.545455e-02,-1.342423,3,1.329200e+08,7.353319,11.111111,-3.382013e-01
Mix,22,4.545455e-02,-1.342423,4,1.334987e+08,7.385333,16.000000,-5.384167e-01
Mix,22,4.545455e-02,-1.342423,5,1.575601e+08,8.716441,18.062500,-5.174289e-01
Mix,22,4.545455e-02,-1.342423,6,1.575813e+08,8.717615,18.777778,-5.357483e-01
Mix,23,4.347826e-02,-1.361728,1,9.955646e+07,5.507599,4.000000,3.768998e-01
Mix,23,4.347826e-02,-1.361728,2,9.975874e+07,5.518790,6.250000,-1.169936e-01
Mix,23,4.347826e-02,-1.361728,3,1.273058e+08,7.042729,11.111111,-3.661544e-01
Mix,23,4.347826e-02,-1.361728,4,1.275553e+08,7.056532,16.000000,-5.589667e-01
Mix,23,4.347826e-02,-1.361728,5,1.505225e+08,8.327111,18.062500,-5.389835e-01
Mix,23,4.347826e-02,-1.361728,6,1.511231e+08,8.360337,18.777778,-5.547750e-01
Mix,24,4.166667e-02,-1.380211,1,9.591289e+07,5.306032,4.000000,3.265080e-01
Mix,24,4.166667e-02,-1.380211,2,9.620188e+07,5.322019,6.250000,-1.484769e-01
Mix,24,4.166667e-02,-1.380211,3,1.220434e+08,6.751607,11.111111,-3.923554e-01
Mix,24,4.166667e-02,-1.380211,4,1.222814e+08,6.764777,16.000000,-5.772015e-01
Mix,24,4.166667e-02,-1.380211,5,1.444092e+08,7.988913,18.062500,-5.577073e-01
Mix,24,4.166667e-02,-1.380211,6,1.446878e+08,8.004327,18.777778,-5.737341e-01
Mix,25,4.000000e-02,-1.397940,1,9.271776e+07,5.129273,4.000000,2.823182e-01
Mix,25,4.000000e-02,-1.397940,2,9.279801e+07,5.133713,6.250000,-1.786060e-01
Mix,25,4.000000e-02,-1.397940,3,1.171636e+08,6.481652,11.111111,-4.166514e-01
Mix,25,4.000000e-02,-1.397940,4,1.175258e+08,6.501687,16.000000,-5.936446e-01
Mix,25,4.000000e-02,-1.397940,5,1.385858e+08,7.666753,18.062500,-5.755431e-01
