mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,698,9.271776e+07,5.129273,5.859387e+00,2.599690e+01,1.743528e+01
2,699,9.279801e+07,5.133713,1.415201e+00,6.271361e+00,4.229942e+00
3,700,1.171636e+08,6.481652,1.201522e+00,6.994324e+00,3.347470e+00
4,701,1.175258e+08,6.501687,1.173199e+00,6.816025e+00,3.293395e+00
5,702,1.385858e+08,7.666753,1.136104e+00,7.568476e+00,3.216549e+00
6,703,1.388465e+08,7.681180,1.017574e+00,6.845063e+00,2.826125e+00
7,704,1.536914e+08,8.502419,1.085396e+00,8.100199e+00,2.870410e+00
8,705,1.539506e+08,8.516757,9.503737e-01,7.032945e+00,2.576217e+00
9,706,1.556120e+08,8.608667,8.748328e-01,7.172418e+00,1.581423e+00
10,707,1.600294e+08,8.853044,1.020467e+00,8.901707e+00,1.196635e+00
11,708,1.617265e+08,8.946930,1.033898e+00,7.897877e+00,2.818934e+00
12,709,1.706056e+08,9.438135,1.062480e+00,6.765161e+00,4.046869e+00
13,710,1.869467e+08,10.342144,1.037270e+00,6.426358e+00,4.327547e+00
14,711,1.877567e+08,10.386958,2.742324e+00,1.076866e+01,9.624935e+00
15,712,2.083527e+08,11.526357,9.466046e-01,5.876386e+00,4.292917e+00
16,713,2.183695e+08,12.080498,1.282174e+00,9.108673e+00,4.454414e+00
17,714,2.337230e+08,12.929875,9.157453e-01,5.789407e+00,4.428069e+00
18,715,2.616450e+08,14.474556,8.381614e-01,5.216227e+00,4.395837e+00
19,716,2.932901e+08,16.225209,7.962552e-01,5.031068e+00,4.429705e+00
20,717,3.299385e+08,18.252650,7.888169e-01,5.129576e+00,4.631466e+00
