method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mixtwo,9,1.111111e-01,-0.954243,1,2.305214e+08,12.752761,4.000000,2.188190e+00
Mixtwo,9,1.111111e-01,-0.954243,2,2.628107e+08,14.539047,6.250000,1.326248e+00
Mixtwo,9,1.111111e-01,-0.954243,3,4.365971e+08,24.153150,11.111111,1.173784e+00
Mixtwo,9,1.111111e-01,-0.954243,4,5.247503e+08,29.029903,16.000000,8.143689e-01
Mixtwo,9,1.111111e-01,-0.954243,5,5.532686e+08,30.607574,18.062500,6.945370e-01
Mixtwo,9,1.111111e-01,-0.954243,6,5.819976e+08,32.196901,18.777778,7.146279e-01
Mixtwo,10,1.000000e-01,-1.000000,1,2.246085e+08,12.425647,4.000000,2.106412e+00
Mixtwo,10,1.000000e-01,-1.000000,2,2.588255e+08,14.318580,6.250000,1.290973e+00
Mixtwo,10,1.000000e-01,-1.000000,3,4.081236e+08,22.577957,11.111111,1.032016e+00
Mixtwo,10,1.000000e-01,-1.000000,4,5.293928e+08,29.286731,16.000000,8.304207e-01
Mixtwo,10,1.000000e-01,-1.000000,5,5.546900e+08,30.686207,18.062500,6.988903e-01
Mixtwo,10,1.000000e-01,-1.000000,6,6.118652e+08,33.849218,18.777778,8.026211e-01
Mixtwo,11,9.090909e-02,-1.041393,1,2.197544e+08,12.157113,4.000000,2.039278e+00
Mixtwo,11,9.090909e-02,-1.041393,2,2.535954e+08,14.029245,6.250000,1.244679e+00
Mixtwo,11,9.090909e-02,-1.041393,3,4.074845e+08,22.542599,11.111111,1.028834e+00
Mixtwo,11,9.090909e-02,-1.041393,4,5.214797e+08,28.848968,16.000000,8.030605e-01
Mixtwo,11,9.090909e-02,-1.041393,5,5.472350e+08,30.273785,18.062500,6.760573e-01
Mixtwo,11,9.090909e-02,-1.041393,6,5.733190e+08,31.716791,18.777778,6.890599e-01
Mixtwo,12,8.333333e-02,-1.079181,1,2.152978e+08,11.910568,4.000000,1.977642e+00
Mixtwo,12,8.333333e-02,-1.079181,2,2.485365e+08,13.749380,6.250000,1.199901e+00
Mixtwo,12,8.333333e-02,-1.079181,3,4.000492e+08,22.131267,11.111111,9.918140e-01
Mixtwo,12,8.333333e-02,-1.079181,4,5.268040e+08,29.143516,16.000000,8.214698e-01
Mixtwo,12,8.333333e-02,-1.079181,5,5.432689e+08,30.054378,18.062500,6.639102e-01
Mixtwo,12,8.333333e-02,-1.079181,6,5.712395e+08,31.601750,18.777778,6.829334e-01
Mixtwo,13,7.692308e-02,-1.113943,1,2.114439e+08,11.697365,4.000000,1.924341e+00
Mixtwo,13,7.692308e-02,-1.113943,2,2.438251e+08,13.488737,6.250000,1.158198e+00
Mixtwo,13,7.692308e-02,-1.113943,3,3.947279e+08,21.836889,11.111111,9.653200e-01
Mixtwo,13,7.692308e-02,-1.113943,4,5.244136e+08,29.011278,16.000000,8.132048e-01
Mixtwo,13,7.692308e-02,-1.113943,5,5.355124e+08,29.625278,18.062500,6.401538e-01
