method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mixtwo,9,1.111111e-01,-0.954243,1,2.305214e+08,12.752761,10.310000,2.369312e-01
Mixtwo,9,1.111111e-01,-0.954243,2,2.628107e+08,14.539047,23.920000,-3.921803e-01
Mixtwo,9,1.111111e-01,-0.954243,3,4.365971e+08,24.153150,23.920000,9.747082e-03
Mixtwo,9,1.111111e-01,-0.954243,4,5.247503e+08,29.029903,39.570000,-2.663659e-01
Mixtwo,9,1.111111e-01,-0.954243,5,5.532686e+08,30.607574,50.800000,-3.974887e-01
Mixtwo,9,1.111111e-01,-0.954243,6,5.819976e+08,32.196901,50.800000,-3.662027e-01
Mixtwo,10,1.000000e-01,-1.000000,1,2.246085e+08,12.425647,10.310000,2.052034e-01
Mixtwo,10,1.000000e-01,-1.000000,2,2.588255e+08,14.318580,23.920000,-4.013972e-01
Mixtwo,10,1.000000e-01,-1.000000,3,4.081236e+08,22.577957,23.920000,-5.610547e-02
Mixtwo,10,1.000000e-01,-1.000000,4,5.293928e+08,29.286731,39.570000,-2.598754e-01
Mixtwo,10,1.000000e-01,-1.000000,5,5.546900e+08,30.686207,50.800000,-3.959408e-01
Mixtwo,10,1.000000e-01,-1.000000,6,6.118652e+08,33.849218,50.800000,-3.336768e-01
Mixtwo,11,9.090909e-02,-1.041393,1,2.197544e+08,12.157113,10.310000,1.791574e-01
Mixtwo,11,9.090909e-02,-1.041393,2,2.535954e+08,14.029245,23.920000,-4.134931e-01
Mixtwo,11,9.090909e-02,-1.041393,3,4.074845e+08,22.542599,23.920000,-5.758367e-02
Mixtwo,11,9.090909e-02,-1.041393,4,5.214797e+08,28.848968,39.570000,-2.709384e-01
Mixtwo,11,9.090909e-02,-1.041393,5,5.472350e+08,30.273785,50.800000,-4.040593e-01
Mixtwo,11,9.090909e-02,-1.041393,6,5.733190e+08,31.716791,50.800000,-3.756537e-01
Mixtwo,12,8.333333e-02,-1.079181,1,2.152978e+08,11.910568,10.310000,1.552443e-01
Mixtwo,12,8.333333e-02,-1.079181,2,2.485365e+08,13.749380,23.920000,-4.251932e-01
Mixtwo,12,8.333333e-02,-1.079181,3,4.000492e+08,22.131267,23.920000,-7.477980e-02
Mixtwo,12,8.333333e-02,-1.079181,4,5.268040e+08,29.143516,39.570000,-2.634947e-01
Mixtwo,12,8.333333e-02,-1.079181,5,5.432689e+08,30.054378,50.800000,-4.083784e-01
Mixtwo,12,8.333333e-02,-1.079181,6,5.712395e+08,31.601750,50.800000,-3.779183e-01
Mixtwo,13,7.692308e-02,-1.113943,1,2.114439e+08,11.697365,10.310000,1.345650e-01
