mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,443,1.955204e+08,10.816455,6.931925e+00,2.875720e+01,2.571570e+01
2,444,2.238638e+08,12.384449,1.021122e+00,7.090385e+00,3.473045e+00
3,445,3.682790e+08,20.373697,1.353539e+00,8.225315e+00,4.524943e+00
4,446,4.905706e+08,27.139038,9.661214e-01,6.801136e+00,6.157436e+00
5,447,5.069319e+08,28.044168,6.582818e-01,7.358588e+00,3.031703e+00
6,448,5.199454e+08,28.764092,6.945740e-01,6.532437e+00,4.323947e+00
7,449,6.994483e+08,38.694434,6.985886e-01,7.266910e+00,3.844431e+00
8,450,7.282596e+08,40.288318,7.230792e-01,7.815784e+00,2.993831e+00
9,451,7.837912e+08,43.360400,1.062937e+00,6.349042e+00,7.054839e+00
10,452,9.221948e+08,51.017076,6.783010e-01,7.057861e+00,6.289576e+00
11,453,9.274621e+08,51.308468,6.108243e-01,7.808728e+00,3.303665e+00
12,454,9.649509e+08,53.382403,5.570252e-01,6.219967e+00,5.283237e+00
13,455,1.009029e+09,55.820848,1.139297e+00,5.886563e+00,7.373961e+00
14,456,1.080898e+09,59.796740,4.408375e-01,6.603828e+00,2.999544e+00
15,457,1.137119e+09,62.907001,7.567583e-01,6.078340e+00,6.543547e+00
16,458,1.169978e+09,64.724768,4.750840e-01,6.922720e+00,3.998234e+00
17,459,1.203138e+09,66.559238,5.158030e-01,8.404303e+00,2.483535e+00
18,460,1.262919e+09,69.866426,3.514845e-01,5.481572e+00,3.917961e+00
19,461,1.265586e+09,70.013937,3.563045e-01,5.587817e+00,3.955029e+00
20,462,1.326624e+09,73.390665,7.750531e-01,7.374629e+00,5.715278e+00
