mode_rank,eigen_index,lambda_real,k_num,w_norm,phi1_norm,phi2_norm
1,570,7.236560e+07,4.003364,1.149946e+01,3.770142e+01,3.770261e+01
2,571,1.138658e+08,6.299213,1.822324e+00,1.199517e+01,5.969442e+00
3,572,2.050493e+08,11.343610,1.208090e+00,1.200529e+01,3.951560e+00
4,573,2.916183e+08,16.132722,1.825281e+00,1.200410e+01,1.200412e+01
5,574,3.400204e+08,18.810392,8.986240e-01,1.201456e+01,2.933158e+00
6,575,3.443760e+08,19.051352,1.210224e+00,1.201528e+01,7.947481e+00
7,576,4.576485e+08,25.317743,1.825960e+00,5.981675e+00,1.201888e+01
8,577,4.657888e+08,25.768074,8.992591e-01,1.201233e+01,5.892738e+00
9,578,5.225419e+08,28.907734,7.105120e-01,1.201489e+01,2.312462e+00
10,579,6.419138e+08,35.511549,7.112230e-01,1.201609e+01,4.647068e+00
11,580,6.628177e+08,36.667979,1.211345e+00,1.200871e+01,1.200874e+01
12,581,7.242668e+08,40.067427,9.007344e-01,1.201381e+01,8.910212e+00
13,582,7.593795e+08,42.009913,5.835321e-01,1.201497e+01,1.892091e+00
14,583,7.809040e+08,43.200677,1.210095e+00,7.946478e+00,1.201423e+01
15,584,8.724185e+08,48.263382,7.121588e-01,1.201347e+01,7.024275e+00
16,585,8.751335e+08,48.413581,5.840194e-01,1.201394e+01,3.801615e+00
17,586,1.060101e+09,58.646259,4.915375e-01,1.201586e+01,1.586200e+00
18,587,1.090201e+09,60.311389,5.851013e-01,1.201722e+01,5.749166e+00
19,588,1.173491e+09,64.919108,4.920219e-01,1.201631e+01,3.187449e+00
20,589,1.195335e+09,66.127583,9.027281e-01,1.201416e+01,1.201418e+01
