mode_rank,matched_m,matched_n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
1,1,1,19.7392,98.381686,0.809157,0.809157
2,1,2,49.3480,96.050098,0.789980,3.159922
3,2,1,49.3480,96.050098,3.159922,0.789980
4,2,2,78.9568,93.826466,3.086767,3.086767
5,1,3,98.6960,92.400374,0.759963,6.839664
6,3,1,98.6960,92.400374,6.839664,0.759963
7,2,3,128.3049,90.340707,2.972090,6.687203
8,3,2,128.3049,90.340707,6.687203,2.972090
9,1,4,167.7833,87.733197,0.721577,11.545226
10,4,1,167.7833,87.733197,11.545226,0.721577
11,3,3,177.6529,87.104670,6.447665,6.447665
12,2,4,197.3921,85.874252,2.825150,11.300599
13,4,2,197.3921,85.874252,11.300599,2.825150
14,3,4,246.7401,82.945098,6.139765,10.915137
15,4,3,246.7401,82.945098,10.915137,6.139765
16,1,5,256.6097,82.383084,0.677574,16.939343
17,5,1,256.6097,82.383084,16.939343,0.677574
18,2,5,286.2185,80.741828,2.656300,16.601873
19,5,2,286.2185,80.741828,16.601873,2.656300
20,4,4,315.8273,79.164689,10.417656,10.417656
21,3,5,335.5665,78.147053,5.784604,16.068344
22,5,3,335.5665,78.147053,16.068344,5.784604
23,1,6,365.1754,76.668725,0.630575,22.700700
24,6,1,365.1754,76.668725,22.700700,0.630575
25,2,6,394.7842,75.245291,2.475471,22.279238
26,6,2,394.7842,75.245291,22.279238,2.475471
27,4,5,404.6538,74.782487,9.840981,15.376532
28,5,4,404.6538,74.782487,15.376532,9.840981
29,3,6,444.1322,72.986832,5.402634,21.610535
30,6,3,444.1322,72.986832,21.610535,5.402634
31,1,7,493.4802,70.859995,0.582800,28.557205
32,7,1,493.4802,70.859995,28.557205,0.582800
33,5,5,493.4802,70.859995,14.570002,14.570002
34,4,6,513.2194,70.043567,9.217364,20.739069
35,6,4,513.2194,70.043567,20.739069,9.217364
36,2,7,523.0890,69.642368,2.291142,28.066490
37,7,2,523.0890,69.642368,28.066490,2.291142
38,3,7,572.4371,67.703392,5.011543,27.285066
39,7,3,572.4371,67.703392,27.285066,5.011543
40,5,6,602.0459,66.590980,13.692221,19.716799
41,6,5,602.0459,66.590980,19.716799,13.692221
42,1,8,641.5243,65.163409,0.535948,34.300644
43,8,1,641.5243,65.163409,34.300644,0.535948
44,4,7,641.5243,65.163409,8.575161,26.261430
45,7,4,641.5243,65.163409,26.261430,8.575161
46,2,8,671.1331,64.132263,2.109867,33.757870
47,8,2,671.1331,64.132263,33.757870,2.109867
48,6,6,710.6115,62.807116,18.596442,18.596442
49,3,8,720.4811,62.484342,4.625218,32.890440
50,8,3,720.4811,62.484342,32.890440,4.625218
51,5,7,730.3507,62.164869,12.782139,25.052992
52,7,5,730.3507,62.164869,25.052992,12.782139
53,4,8,789.5684,60.314590,7.937082,31.748328
54,8,4,789.5684,60.314590,31.748328,7.937082
55,1,9,809.3076,59.722067,0.491194,39.786739
56,9,1,809.3076,59.722067,39.786739,0.491194
57,2,9,838.9164,58.854792,1.936245,39.208962
58,9,2,838.9164,58.854792,39.208962,1.936245
59,6,7,838.9164,58.854792,17.426206,23.719002
60,7,6,838.9164,58.854792,23.719002,17.426206
61,5,8,878.3948,57.736865,11.871667,30.391468
62,8,5,878.3948,57.736865,30.391468,11.871667
63,3,9,888.2644,57.463988,4.253601,38.282411
64,9,3,888.2644,57.463988,38.282411,4.253601
65,4,9,957.3516,55.623756,7.319793,37.056451
66,9,4,957.3516,55.623756,37.056451,7.319793
67,7,7,967.2212,55.370443,22.314778,22.314778
68,6,8,986.9604,54.870677,16.246556,28.882767
69,8,6,986.9604,54.870677,28.882767,16.246556
70,1,10,996.8300,54.624162,0.449266,44.926572
71,10,1,996.8300,54.624162,44.926572,0.449266
72,2,10,1026.4389,53.897730,1.773164,44.329106
73,10,2,1026.4389,53.897730,44.329106,1.773164
74,5,9,1046.1781,53.424081,10.984886,35.591032
75,9,5,1046.1781,53.424081,35.591032,10.984886
76,3,10,1075.7869,52.729015,3.903109,43.367876
77,10,3,1075.7869,52.729015,43.367876,3.903109
78,7,8,1115.2653,51.829913,20.887914,27.282173
79,8,7,1115.2653,51.829913,27.282173,20.887914
80,4,10,1144.8741,51.175455,6.734420,42.090125
81,10,4,1144.8741,51.175455,42.090125,6.734420
82,6,9,1154.7437,50.960960,15.088935,33.950105
83,9,6,1154.7437,50.960960,33.950105,15.088935
84,1,11,1204.0917,49.914901,0.410534,49.674566
85,11,1,1204.0917,49.914901,49.674566,0.410534
86,2,11,1233.7006,49.307627,1.622156,49.070217
87,11,2,1233.7006,49.307627,49.070217,1.622156
88,5,10,1233.7006,49.307627,10.138475,40.553898
89,10,5,1233.7006,49.307627,40.553898,10.138475
90,8,8,1263.3094,48.714953,25.642523,25.642523
91,3,11,1283.0486,48.327689,3.577314,48.094997
92,11,3,1283.0486,48.327689,48.094997,3.577314
93,7,9,1283.0486,48.327689,19.476486,32.195824
94,9,7,1283.0486,48.327689,32.195824,19.476486
95,6,10,1342.2662,47.201981,13.975946,38.822073
96,10,6,1342.2662,47.201981,38.822073,13.975946
97,4,11,1352.1358,47.019441,6.187510,46.793048
98,11,4,1352.1358,47.019441,46.793048,6.187510
99,1,12,1431.0926,45.608428,0.375114,54.016457
100,12,1,1431.0926,45.608428,54.016457,0.375114
101,8,9,1431.0926,45.608428,24.007314,30.384257
102,9,8,1431.0926,45.608428,30.384257,24.007314
103,5,11,1440.9622,45.437984,9.342811,45.219205
104,11,5,1440.9622,45.437984,45.219205,9.342811
105,2,12,1460.7015,45.100889,1.483760,53.415352
106,12,2,1460.7015,45.100889,53.415352,1.483760
107,7,10,1470.5711,44.934210,18.108884,36.956906
108,10,7,1470.5711,44.934210,36.956906,18.108884
109,3,12,1510.0495,44.279634,3.277669,52.442697
110,12,3,1510.0495,44.279634,52.442697,3.277669
111,6,11,1549.5279,43.643856,12.922428,43.433716
112,11,6,1549.5279,43.643856,43.433716,12.922428
113,4,12,1579.1367,43.178876,5.682112,51.139011
114,12,4,1579.1367,43.178876,51.139011,5.682112
115,9,9,1598.8759,42.874355,28.562822,28.562822
116,8,10,1618.6151,42.574099,22.410108,35.015793
117,10,8,1618.6151,42.574099,35.015793,22.410108
118,5,12,1667.9631,41.841542,8.603322,49.555136
119,12,5,1667.9631,41.841542,49.555136,8.603322
120,1,13,1677.8327,41.698045,0.342953,57.959002
