mode_rank,matched_m,matched_n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
1,1,1,19.7392,100.000000,0.000000,0.000000
2,1,2,49.3480,100.000000,0.000000,0.000000
3,2,1,49.3480,100.000000,0.000000,0.000000
4,2,2,78.9568,100.000000,0.000000,0.000000
5,1,3,98.6960,100.000000,0.000000,0.000000
6,3,1,98.6960,100.000000,0.000000,0.000000
7,2,3,128.3049,100.000000,0.000000,0.000000
8,3,2,128.3049,100.000000,0.000000,0.000000
9,1,4,167.7833,100.000000,0.000000,0.000000
10,4,1,167.7833,100.000000,0.000000,0.000000
11,3,3,177.6529,100.000000,0.000000,0.000000
12,2,4,197.3921,100.000000,0.000000,0.000000
13,4,2,197.3921,100.000000,0.000000,0.000000
14,3,4,246.7401,100.000000,0.000000,0.000000
15,4,3,246.7401,100.000000,0.000000,0.000000
16,1,5,256.6097,100.000000,0.000000,0.000000
17,5,1,256.6097,100.000000,0.000000,0.000000
18,2,5,286.2185,100.000000,0.000000,0.000000
19,5,2,286.2185,100.000000,0.000000,0.000000
20,4,4,315.8273,100.000000,0.000000,0.000000
21,3,5,335.5665,100.000000,0.000000,0.000000
22,5,3,335.5665,100.000000,0.000000,0.000000
23,1,6,365.1754,100.000000,0.000000,0.000000
24,6,1,365.1754,100.000000,0.000000,0.000000
25,2,6,394.7842,100.000000,0.000000,0.000000
26,6,2,394.7842,100.000000,0.000000,0.000000
27,4,5,404.6538,100.000000,0.000000,0.000000
28,5,4,404.6538,100.000000,0.000000,0.000000
29,3,6,444.1322,100.000000,0.000000,0.000000
30,6,3,444.1322,100.000000,0.000000,0.000000
31,1,7,493.4802,100.000000,0.000000,0.000000
32,7,1,493.4802,100.000000,0.000000,0.000000
33,5,5,493.4802,100.000000,0.000000,0.000000
34,4,6,513.2194,100.000000,0.000000,0.000000
35,6,4,513.2194,100.000000,0.000000,0.000000
36,2,7,523.0890,100.000000,0.000000,0.000000
37,7,2,523.0890,100.000000,0.000000,0.000000
38,3,7,572.4371,100.000000,0.000000,0.000000
39,7,3,572.4371,100.000000,0.000000,0.000000
40,5,6,602.0459,99.999999,0.000000,0.000000
41,6,5,602.0459,99.999999,0.000000,0.000000
42,1,8,641.5243,99.999999,0.000000,0.000001
43,8,1,641.5243,99.999999,0.000001,0.000000
44,4,7,641.5243,99.999999,0.000000,0.000000
45,7,4,641.5243,99.999999,0.000000,0.000000
46,2,8,671.1331,99.999999,0.000000,0.000001
47,8,2,671.1331,99.999999,0.000001,0.000000
48,6,6,710.6115,99.999999,0.000000,0.000000
49,3,8,720.4811,99.999999,0.000000,0.000001
50,8,3,720.4811,99.999999,0.000001,0.000000
51,5,7,730.3507,99.999999,0.000000,0.000000
52,7,5,730.3507,99.999999,0.000000,0.000000
53,4,8,789.5684,99.999999,0.000000,0.000001
54,8,4,789.5684,99.999999,0.000001,0.000000
55,1,9,809.3076,99.999999,0.000000,0.000001
56,9,1,809.3076,99.999999,0.000001,0.000000
57,2,9,838.9164,99.999999,0.000000,0.000001
58,9,2,838.9164,99.999999,0.000001,0.000000
59,6,7,838.9164,99.999999,0.000000,0.000000
60,7,6,838.9164,99.999999,0.000000,0.000000
61,5,8,878.3948,99.999999,0.000000,0.000001
62,8,5,878.3948,99.999999,0.000001,0.000000
63,3,9,888.2644,99.999999,0.000000,0.000001
64,9,3,888.2644,99.999999,0.000001,0.000000
65,4,9,957.3516,99.999999,0.000000,0.000001
66,9,4,957.3516,99.999999,0.000001,0.000000
67,7,7,967.2212,99.999999,0.000000,0.000000
68,6,8,986.9604,99.999999,0.000000,0.000001
69,8,6,986.9604,99.999999,0.000001,0.000000
70,1,10,996.8300,99.999999,0.000000,0.000001
71,10,1,996.8300,99.999999,0.000001,0.000000
