mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,19.3550,19.7392,-1.710786,3.52e-05
2,1,1,48.4941,19.7392,-1.710786,5.92e-06
3,1,1,48.7351,19.7392,-1.710786,4.78e-06
4,1,1,76.6934,19.7392,-1.710786,2.24e-06
5,1,1,97.6341,19.7392,-1.710786,1.30e-06
6,1,1,97.7065,19.7392,-1.710786,1.37e-06
7,1,1,123.4465,19.7392,-1.710786,8.75e-07
8,1,1,125.3635,19.7392,-1.710786,6.71e-07
9,1,1,166.2054,19.7392,-1.710786,6.11e-07
10,1,1,166.4151,19.7392,-1.710786,7.37e-07
11,1,1,169.6791,19.7392,-1.710786,6.85e-07
12,1,1,191.2172,19.7392,-1.710786,4.00e-07
13,1,1,191.9004,19.7392,-1.710786,3.68e-07
14,1,1,230.1376,19.7392,-1.710786,3.41e-07
15,1,1,237.4300,19.7392,-1.710786,2.76e-07
16,1,1,254.2496,19.7392,-1.710786,2.07e-07
17,1,1,254.2964,19.7392,-1.710786,2.25e-07
18,1,1,260.9075,19.7392,-1.710786,3.85e-07
19,1,1,260.9351,19.7392,-1.710786,4.23e-07
20,1,1,277.2371,19.7392,-1.710786,2.51e-07
21,1,1,278.3015,19.7392,-1.710786,1.55e-07
22,1,1,291.4503,19.7392,-1.710786,1.69e-07
23,1,1,313.8041,19.7392,-1.710786,3.37e-07
24,1,1,314.0440,19.7392,-1.710786,2.99e-07
25,1,1,315.2236,19.7392,-1.710786,1.63e-07
26,1,1,318.9808,19.7392,-1.710786,1.08e-07
27,1,1,340.1697,19.7392,-1.710786,2.98e-07
28,1,1,341.2392,19.7392,-1.710786,2.59e-07
29,1,1,359.5525,19.7392,-1.710786,1.47e-07
30,1,1,360.0679,19.7392,-1.710786,1.20e-07
31,1,1,361.2929,19.7392,-1.710786,1.60e-07
32,1,1,372.6400,19.7392,-1.710786,1.58e-07
33,1,1,374.6162,19.7392,-1.710786,2.39e-07
34,1,1,377.6785,19.7392,-1.710786,9.58e-08
35,1,1,380.9847,19.7392,-1.710786,1.33e-07
36,1,1,381.2581,19.7392,-1.710786,1.04e-07
37,1,1,393.4302,19.7392,-1.710786,1.54e-07
38,1,1,398.8384,19.7392,-1.710786,2.00e-07
39,1,1,415.0138,19.7392,-1.710786,1.00e-07
40,1,1,416.5094,19.7392,-1.710786,8.05e-08
41,1,1,423.2624,19.7392,-1.710786,1.87e-07
42,1,1,426.3870,19.7392,-1.710786,1.05e-07
43,1,1,433.3520,19.7392,-1.710786,1.08e-07
44,1,1,439.9735,19.7392,-1.710786,1.99e-07
45,1,1,442.0571,19.7392,-1.710786,1.02e-07
46,1,1,450.1816,19.7392,-1.710786,1.97e-07
47,1,1,453.2554,19.7392,-1.710786,1.17e-07
48,1,1,456.1496,19.7392,-1.710786,1.68e-07
49,1,1,460.9741,19.7392,-1.710786,8.73e-08
50,1,1,470.5527,19.7392,-1.710786,6.44e-08
51,1,1,479.8888,19.7392,-1.710786,1.52e-07
52,1,1,482.1683,19.7392,-1.710786,9.04e-08
53,1,1,483.9519,19.7392,-1.710786,8.06e-08
54,1,1,485.0524,19.7392,-1.710786,6.25e-08
55,1,1,492.6925,19.7392,-1.710786,1.45e-07
56,1,1,493.7494,19.7392,-1.710786,1.34e-07
57,1,1,497.4801,19.7392,-1.710786,7.98e-08
58,1,1,502.8311,19.7392,-1.710786,9.34e-08
59,1,1,502.9323,19.7392,-1.710786,6.43e-08
60,1,1,525.7019,19.7392,-1.710786,8.29e-08
61,1,1,533.6535,19.7392,-1.710786,5.91e-08
62,1,1,536.1126,19.7392,-1.710786,8.95e-08
63,1,1,540.8299,19.7392,-1.710786,8.36e-08
64,1,1,546.9814,19.7392,-1.710786,8.78e-08
65,1,1,569.7346,19.7392,-1.710786,6.70e-08
66,1,1,570.0917,19.7392,-1.710786,6.86e-08
67,1,1,573.3378,19.7392,-1.710786,1.87e-07
68,1,1,574.5930,19.7392,-1.710786,7.45e-08
69,1,1,583.0075,19.7392,-1.710786,3.45e-08
70,1,1,601.2048,19.7392,-1.710786,7.62e-08
71,1,1,602.6253,19.7392,-1.710786,9.70e-08
72,1,1,603.6369,19.7392,-1.710786,8.11e-08
73,1,1,614.9421,19.7392,-1.710786,5.65e-08
74,1,1,619.6808,19.7392,-1.710786,7.93e-08
75,1,1,621.4863,19.7392,-1.710786,8.14e-08
76,1,1,622.4070,19.7392,-1.710786,4.20e-08
77,1,1,632.4247,19.7392,-1.710786,5.23e-08
78,1,1,633.9358,19.7392,-1.710786,6.21e-08
79,1,1,635.4611,19.7392,-1.710786,1.12e-07
80,1,1,642.4516,19.7392,-1.710786,4.12e-08
81,1,1,648.3674,19.7392,-1.710786,6.57e-08
82,1,1,650.9296,19.7392,-1.710786,4.59e-08
83,1,1,656.4105,19.7392,-1.710786,7.43e-08
84,1,1,657.4218,19.7392,-1.710786,5.00e-08
85,1,1,665.6467,19.7392,-1.710786,6.59e-08
86,1,1,666.9155,19.7392,-1.710786,4.18e-08
87,1,1,673.8791,19.7392,-1.710786,5.53e-08
88,1,1,675.1715,19.7392,-1.710786,5.62e-08
89,1,1,677.3034,19.7392,-1.710786,5.89e-08
90,1,1,689.7311,19.7392,-1.710786,5.48e-08
91,1,1,697.2192,19.7392,-1.710786,3.09e-08
92,1,1,699.0741,19.7392,-1.710786,5.70e-08
93,1,1,705.3518,19.7392,-1.710786,3.92e-08
94,1,1,707.7715,19.7392,-1.710786,6.43e-08
95,1,1,710.2158,19.7392,-1.710786,6.57e-08
96,1,1,717.9897,19.7392,-1.710786,6.99e-08
97,1,1,724.2425,19.7392,-1.710786,9.93e-08
98,1,1,726.2975,19.7392,-1.710786,4.22e-08
99,1,1,726.8396,19.7392,-1.710786,5.49e-08
100,1,1,735.2268,19.7392,-1.710786,6.59e-08
101,1,1,736.9840,19.7392,-1.710786,4.24e-08
102,1,1,747.1331,19.7392,-1.710786,5.27e-08
103,1,1,759.8082,19.7392,-1.710786,3.46e-08
104,1,1,764.2840,19.7392,-1.710786,3.29e-08
105,1,1,764.5936,19.7392,-1.710786,4.31e-08
106,1,1,766.5729,19.7392,-1.710786,3.74e-08
107,1,1,766.8624,19.7392,-1.710786,4.56e-08
108,1,1,771.5985,19.7392,-1.710786,4.21e-08
109,1,1,777.4791,19.7392,-1.710786,2.80e-08
110,1,1,778.2388,19.7392,-1.710786,4.58e-08
111,1,1,781.1705,19.7392,-1.710786,3.26e-08
112,1,1,785.7075,19.7392,-1.710786,4.08e-08
113,1,1,799.0153,19.7392,-1.710786,4.38e-08
114,1,1,803.0280,19.7392,-1.710786,3.00e-08
115,1,1,804.8802,19.7392,-1.710786,2.52e-08
116,1,1,805.2629,19.7392,-1.710786,3.87e-08
117,1,1,812.9273,19.7392,-1.710786,4.01e-08
118,1,1,813.8145,19.7392,-1.710786,2.94e-08
119,1,1,820.7830,19.7392,-1.710786,4.15e-08
120,1,1,822.9183,19.7392,-1.710786,3.91e-08
121,1,1,848.0537,19.7392,-1.710786,2.83e-08
122,1,1,852.9009,19.7392,-1.710786,3.12e-08
123,1,1,853.8109,19.7392,-1.710786,2.77e-08
124,1,1,866.3889,19.7392,-1.710786,4.68e-08
125,1,1,878.0858,19.7392,-1.710786,2.58e-08
126,1,1,879.1796,19.7392,-1.710786,5.29e-08
127,1,1,899.8373,19.7392,-1.710786,3.01e-08
128,1,1,905.8148,19.7392,-1.710786,2.58e-08
129,1,1,907.5833,19.7392,-1.710786,2.57e-08
130,1,1,908.6078,19.7392,-1.710786,2.66e-08
131,1,1,913.4778,19.7392,-1.710786,2.83e-08
132,1,1,914.1698,19.7392,-1.710786,2.47e-08
133,1,1,917.1895,19.7392,-1.710786,2.71e-08
134,1,1,921.1592,19.7392,-1.710786,2.19e-08
135,1,1,945.4312,19.7392,-1.710786,3.33e-08
136,1,1,950.5785,19.7392,-1.710786,3.97e-08
137,1,1,954.9871,19.7392,-1.710786,3.29e-08
138,1,1,966.7688,19.7392,-1.710786,2.73e-08
139,1,1,969.9601,19.7392,-1.710786,3.69e-08
140,1,1,970.5670,19.7392,-1.710786,2.00e-08
141,1,1,982.4976,19.7392,-1.710786,3.00e-08
142,1,1,997.4066,19.7392,-1.710786,3.09e-08
143,1,1,1003.7722,19.7392,-1.710786,1.99e-08
144,1,1,1016.5839,19.7392,-1.710786,2.14e-08
145,1,1,1024.3143,19.7392,-1.710786,1.92e-08
146,1,1,1024.3338,19.7392,-1.710786,4.08e-08
147,1,1,1029.2229,19.7392,-1.710786,2.21e-08
