mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,40.6256,19.7392,0.024534,9.99e-01
2,1,1,261.8263,19.7392,0.024534,9.61e-01
3,1,1,445.3688,19.7392,0.024534,8.90e-01
4,1,1,469.6973,19.7392,0.024534,8.76e-01
5,1,1,476.4699,19.7392,0.024534,8.90e-01
6,1,1,480.5629,19.7392,0.024534,8.67e-01
7,1,1,510.9852,19.7392,0.024534,8.78e-01
8,1,1,579.9379,19.7392,0.024534,8.22e-01
9,1,1,599.2968,19.7392,0.024534,8.26e-01
10,1,1,616.9306,19.7392,0.024534,9.17e-01
11,1,1,635.1980,19.7392,0.024534,9.51e-01
12,1,1,696.6685,19.7392,0.024534,7.78e-01
13,1,1,707.9436,19.7392,0.024534,7.91e-01
14,1,1,712.3156,19.7392,0.024534,8.07e-01
15,1,1,736.1595,19.7392,0.024534,7.71e-01
16,1,1,761.8688,19.7392,0.024534,7.92e-01
17,1,1,783.4489,19.7392,0.024534,7.65e-01
18,1,1,804.2422,19.7392,0.024534,7.66e-01
19,1,1,838.3643,19.7392,0.024534,7.42e-01
20,1,1,847.0654,19.7392,0.024534,8.70e-01
21,1,1,848.7938,19.7392,0.024534,8.16e-01
22,1,1,863.7019,19.7392,0.024534,7.64e-01
23,1,1,866.5578,19.7392,0.024534,7.20e-01
24,1,1,887.2857,19.7392,0.024534,7.23e-01
25,1,1,901.6906,19.7392,0.024534,8.14e-01
26,1,1,917.1006,19.7392,0.024534,8.38e-01
27,1,1,926.4991,19.7392,0.024534,7.90e-01
28,1,1,931.7707,19.7392,0.024534,8.12e-01
29,1,1,953.1272,19.7392,0.024534,8.25e-01
30,1,1,967.2919,19.7392,0.024534,7.66e-01
31,1,1,967.7296,19.7392,0.024534,9.62e-01
32,1,1,971.7567,19.7392,0.024534,7.59e-01
33,1,1,976.2413,19.7392,0.024534,8.76e-01
34,1,1,981.6193,19.7392,0.024534,7.93e-01
35,1,1,994.7541,19.7392,0.024534,8.41e-01
36,1,1,1000.8112,19.7392,0.024534,7.81e-01
37,1,1,1002.7192,19.7392,0.024534,7.23e-01
38,1,1,1010.0695,19.7392,0.024534,8.92e-01
39,1,1,1047.9109,19.7392,0.024534,8.79e-01
40,1,1,1052.3661,19.7392,0.024534,7.98e-01
41,1,1,1079.7718,19.7392,0.024534,7.92e-01
42,1,1,1106.2959,19.7392,0.024534,7.63e-01
43,1,1,1129.9942,19.7392,0.024534,7.94e-01
44,1,1,1136.5389,19.7392,0.024534,8.01e-01
45,1,1,1151.5306,19.7392,0.024534,8.35e-01
46,1,1,1157.2316,19.7392,0.024534,7.93e-01
47,1,1,1169.6615,19.7392,0.024534,8.29e-01
48,1,1,1171.2082,19.7392,0.024534,7.96e-01
49,1,1,1176.2965,19.7392,0.024534,8.30e-01
50,1,1,1185.6981,19.7392,0.024534,7.42e-01
51,1,1,1188.8872,19.7392,0.024534,8.63e-01
52,1,1,1189.2574,19.7392,0.024534,8.04e-01
53,1,1,1201.0213,19.7392,0.024534,7.39e-01
54,1,1,1203.0221,19.7392,0.024534,5.78e-01
55,1,1,1208.1218,19.7392,0.024534,8.14e-01
56,1,1,1208.1788,19.7392,0.024534,7.46e-01
57,1,1,1210.3769,19.7392,0.024534,9.83e-01
58,1,1,1233.3706,19.7392,0.024534,7.18e-01
59,1,1,1235.9017,19.7392,0.024534,7.85e-01
60,1,1,1240.6103,19.7392,0.024534,7.75e-01
61,1,1,1241.0466,19.7392,0.024534,7.31e-01
62,1,1,1246.0030,19.7392,0.024534,7.57e-01
63,1,1,1254.1254,19.7392,0.024534,8.07e-01
64,1,1,1261.2761,19.7392,0.024534,7.97e-01
65,1,1,1263.6758,19.7392,0.024534,8.81e-01
66,1,1,1285.7613,19.7392,0.024534,7.79e-01
67,1,1,1287.4852,19.7392,0.024534,7.46e-01
