mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,18.1876,19.7392,-1.104537,3.30e-09
2,1,1,44.0611,19.7392,-1.104537,4.83e-10
3,1,1,44.2366,19.7392,-1.104537,6.49e-10
4,1,1,66.4748,19.7392,-1.104537,3.17e-10
5,1,1,83.5489,19.7392,-1.104537,6.36e-10
6,1,1,83.6813,19.7392,-1.104537,6.56e-10
7,1,1,101.5010,19.7392,-1.104537,9.52e-11
8,1,1,102.7643,19.7392,-1.104537,1.52e-10
9,1,1,132.1690,19.7392,-1.104537,1.11e-10
10,1,1,132.2787,19.7392,-1.104537,9.55e-11
11,1,1,132.3040,19.7392,-1.104537,9.10e-11
12,1,1,147.2284,19.7392,-1.104537,4.85e-11
13,1,1,147.7172,19.7392,-1.104537,6.12e-11
14,1,1,170.0647,19.7392,-1.104537,9.16e-11
15,1,1,174.4989,19.7392,-1.104537,5.15e-11
16,1,1,186.4310,19.7392,-1.104537,3.63e-11
17,1,1,186.5260,19.7392,-1.104537,4.21e-11
18,1,1,198.2794,19.7392,-1.104537,3.28e-11
19,1,1,198.9659,19.7392,-1.104537,7.38e-11
20,1,1,204.5107,19.7392,-1.104537,6.35e-11
21,1,1,217.6169,19.7392,-1.104537,6.71e-11
22,1,1,220.5040,19.7392,-1.104537,3.24e-11
23,1,1,239.6846,19.7392,-1.104537,2.45e-11
24,1,1,244.0377,19.7392,-1.104537,2.24e-11
25,1,1,244.1161,19.7392,-1.104537,2.38e-11
26,1,1,249.5355,19.7392,-1.104537,2.84e-11
27,1,1,253.0944,19.7392,-1.104537,2.34e-11
28,1,1,253.7799,19.7392,-1.104537,2.89e-11
29,1,1,268.4377,19.7392,-1.104537,2.91e-11
30,1,1,270.4272,19.7392,-1.104537,2.29e-11
31,1,1,271.8471,19.7392,-1.104537,2.28e-11
32,1,1,287.6166,19.7392,-1.104537,2.57e-11
33,1,1,294.6759,19.7392,-1.104537,2.80e-11
34,1,1,300.9360,19.7392,-1.104537,2.02e-11
35,1,1,303.1480,19.7392,-1.104537,1.57e-11
36,1,1,303.5386,19.7392,-1.104537,1.37e-11
37,1,1,309.5549,19.7392,-1.104537,1.68e-11
