mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,334.2363,19.7392,1.202287,9.79e-01
2,1,1,355.3640,19.7392,1.202287,9.23e-01
3,1,1,389.1750,19.7392,1.202287,9.29e-01
4,1,1,412.8360,19.7392,1.202287,9.26e-01
5,1,1,533.7506,19.7392,1.202287,8.54e-01
6,1,1,536.6769,19.7392,1.202287,8.77e-01
7,1,1,542.1367,19.7392,1.202287,8.87e-01
8,1,1,560.1186,19.7392,1.202287,8.54e-01
9,1,1,616.3000,19.7392,1.202287,8.76e-01
10,1,1,650.1811,19.7392,1.202287,8.37e-01
11,1,1,681.5866,19.7392,1.202287,8.20e-01
12,1,1,717.0819,19.7392,1.202287,8.49e-01
13,1,1,803.7362,19.7392,1.202287,8.25e-01
14,1,1,834.0911,19.7392,1.202287,7.77e-01
15,1,1,869.3472,19.7392,1.202287,7.65e-01
16,1,1,898.2981,19.7392,1.202287,8.17e-01
17,1,1,903.2396,19.7392,1.202287,7.60e-01
18,1,1,913.4509,19.7392,1.202287,8.54e-01
19,1,1,923.8579,19.7392,1.202287,7.72e-01
20,1,1,934.0923,19.7392,1.202287,8.74e-01
21,1,1,934.3390,19.7392,1.202287,7.77e-01
22,1,1,934.7205,19.7392,1.202287,7.52e-01
23,1,1,944.0701,19.7392,1.202287,8.25e-01
24,1,1,964.7845,19.7392,1.202287,7.97e-01
25,1,1,984.4727,19.7392,1.202287,8.33e-01
26,1,1,1011.8141,19.7392,1.202287,7.56e-01
27,1,1,1013.5920,19.7392,1.202287,8.29e-01
28,1,1,1020.4877,19.7392,1.202287,9.04e-01
29,1,1,1030.4653,19.7392,1.202287,8.23e-01
30,1,1,1033.6452,19.7392,1.202287,8.67e-01
31,1,1,1055.4691,19.7392,1.202287,8.56e-01
32,1,1,1068.6698,19.7392,1.202287,8.29e-01
33,1,1,1088.6144,19.7392,1.202287,8.17e-01
34,1,1,1132.3902,19.7392,1.202287,7.13e-01
35,1,1,1144.2858,19.7392,1.202287,8.44e-01
36,1,1,1148.6517,19.7392,1.202287,8.89e-01
37,1,1,1155.0267,19.7392,1.202287,8.19e-01
38,1,1,1185.1395,19.7392,1.202287,8.77e-01
39,1,1,1189.2097,19.7392,1.202287,9.23e-01
40,1,1,1213.0621,19.7392,1.202287,9.82e-01
41,1,1,1213.1465,19.7392,1.202287,8.03e-01
42,1,1,1215.5788,19.7392,1.202287,8.24e-01
43,1,1,1217.7683,19.7392,1.202287,8.92e-01
44,1,1,1219.3420,19.7392,1.202287,9.06e-01
45,1,1,1224.7903,19.7392,1.202287,8.05e-01
46,1,1,1225.8888,19.7392,1.202287,9.87e-01
47,1,1,1237.3291,19.7392,1.202287,9.50e-01
48,1,1,1237.9615,19.7392,1.202287,9.79e-01
49,1,1,1243.5341,19.7392,1.202287,9.74e-01
50,1,1,1247.6581,19.7392,1.202287,9.20e-01
51,1,1,1249.9526,19.7392,1.202287,7.42e-01
52,1,1,1255.8489,19.7392,1.202287,8.44e-01
53,1,1,1270.2098,19.7392,1.202287,7.86e-01
54,1,1,1283.6276,19.7392,1.202287,9.34e-01
55,1,1,1297.4119,19.7392,1.202287,7.23e-01
56,1,1,1298.5439,19.7392,1.202287,7.93e-01
57,1,1,1301.5124,19.7392,1.202287,9.71e-01
58,1,1,1305.9155,19.7392,1.202287,7.72e-01
59,1,1,1308.5676,19.7392,1.202287,7.73e-01
60,1,1,1315.3991,19.7392,1.202287,8.82e-01
61,1,1,1322.3469,19.7392,1.202287,7.89e-01
62,1,1,1333.6293,19.7392,1.202287,1.02e+00
63,1,1,1334.3898,19.7392,1.202287,8.39e-01
64,1,1,1339.1923,19.7392,1.202287,8.20e-01
65,1,1,1365.6431,19.7392,1.202287,7.38e-01
66,1,1,1372.3663,19.7392,1.202287,8.28e-01
67,1,1,1380.0457,19.7392,1.202287,9.48e-01
68,1,1,1392.1067,19.7392,1.202287,8.49e-01
69,1,1,1396.9892,19.7392,1.202287,8.47e-01
70,1,1,1417.7935,19.7392,1.202287,7.29e-01
71,1,1,1423.9904,19.7392,1.202287,7.98e-01
72,1,1,1430.8461,19.7392,1.202287,7.92e-01
73,1,1,1431.2468,19.7392,1.202287,1.06e+00
74,1,1,1431.3632,19.7392,1.202287,7.91e-01
75,1,1,1433.7266,19.7392,1.202287,9.03e-01
76,1,1,1447.7887,19.7392,1.202287,8.27e-01
77,1,1,1448.5584,19.7392,1.202287,7.86e-01
78,1,1,1451.0761,19.7392,1.202287,7.69e-01
79,1,1,1478.5698,19.7392,1.202287,7.66e-01
80,1,1,1479.0141,19.7392,1.202287,7.38e-01
81,1,1,1490.7136,19.7392,1.202287,7.09e-01
