mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,19.8129,19.7392,-2.428096,1.93e-05
2,1,1,49.9944,19.7392,-2.428096,2.92e-06
3,1,1,49.9944,19.7392,-2.428096,3.83e-06
4,1,1,79.9696,19.7392,-2.428096,1.04e-06
5,1,1,102.1669,19.7392,-2.428096,6.46e-07
6,1,1,102.1670,19.7392,-2.428096,6.86e-07
7,1,1,132.0121,19.7392,-2.428096,5.60e-07
8,1,1,132.0121,19.7392,-2.428096,3.87e-07
9,1,1,179.0068,19.7392,-2.428096,2.50e-07
10,1,1,179.0068,19.7392,-2.428096,4.50e-07
11,1,1,183.8753,19.7392,-2.428096,3.80e-07
12,1,1,208.4923,19.7392,-2.428096,3.26e-07
13,1,1,208.4951,19.7392,-2.428096,2.29e-07
14,1,1,259.8572,19.7392,-2.428096,1.15e-07
15,1,1,259.8572,19.7392,-2.428096,1.05e-07
16,1,1,285.1091,19.7392,-2.428096,9.62e-08
17,1,1,285.1092,19.7392,-2.428096,1.40e-07
18,1,1,314.4135,19.7392,-2.428096,8.38e-08
19,1,1,314.4135,19.7392,-2.428096,7.44e-08
20,1,1,335.0298,19.7392,-2.428096,6.89e-08
21,1,1,365.4309,19.7392,-2.428096,5.60e-08
22,1,1,365.4316,19.7392,-2.428096,4.61e-08
23,1,1,426.7568,19.7392,-2.428096,7.09e-08
24,1,1,426.7568,19.7392,-2.428096,3.94e-08
25,1,1,439.8754,19.7392,-2.428096,7.51e-08
26,1,1,439.8754,19.7392,-2.428096,4.49e-08
27,1,1,455.5103,19.7392,-2.428096,3.26e-08
28,1,1,455.5136,19.7392,-2.428096,5.60e-08
29,1,1,505.6396,19.7392,-2.428096,4.99e-08
30,1,1,505.6396,19.7392,-2.428096,3.61e-08
31,1,1,543.9156,19.7392,-2.428096,2.73e-08
32,1,1,578.7487,19.7392,-2.428096,3.63e-08
33,1,1,578.7592,19.7392,-2.428096,2.78e-08
34,1,1,613.5954,19.7392,-2.428096,2.98e-08
35,1,1,613.5955,19.7392,-2.428096,2.03e-08
36,1,1,642.0294,19.7392,-2.428096,2.05e-08
37,1,1,642.0294,19.7392,-2.428096,3.13e-08
38,1,1,681.2411,19.7392,-2.428096,1.64e-08
39,1,1,681.2411,19.7392,-2.428096,1.73e-08
40,1,1,691.5743,19.7392,-2.428096,1.63e-08
41,1,1,691.5751,19.7392,-2.428096,1.56e-08
42,1,1,763.6465,19.7392,-2.428096,1.50e-08
43,1,1,763.6465,19.7392,-2.428096,1.61e-08
44,1,1,816.2468,19.7392,-2.428096,1.15e-08
45,1,1,859.0756,19.7392,-2.428096,9.99e-09
46,1,1,859.0756,19.7392,-2.428096,1.06e-08
47,1,1,864.7688,19.7392,-2.428096,1.08e-08
48,1,1,864.7706,19.7392,-2.428096,1.02e-08
49,1,1,886.6888,19.7392,-2.428096,1.12e-08
50,1,1,886.6926,19.7392,-2.428096,1.00e-08
51,1,1,934.8603,19.7392,-2.428096,9.29e-09
52,1,1,934.8603,19.7392,-2.428096,1.20e-08
53,1,1,997.4648,19.7392,-2.428096,8.67e-09
54,1,1,997.4648,19.7392,-2.428096,1.34e-08
55,1,1,1004.8783,19.7392,-2.428096,7.94e-09
56,1,1,1004.8913,19.7392,-2.428096,7.43e-09
57,1,1,1103.3806,19.7392,-2.428096,8.47e-09
58,1,1,1103.3806,19.7392,-2.428096,7.00e-09
59,1,1,1176.1932,19.7392,-2.428096,6.86e-09
60,1,1,1183.7645,19.7392,-2.428096,1.09e-08
61,1,1,1183.7645,19.7392,-2.428096,5.40e-09
62,1,1,1210.8540,19.7392,-2.428096,6.04e-09
63,1,1,1210.8540,19.7392,-2.428096,5.66e-09
64,1,1,1232.3403,19.7392,-2.428096,6.29e-09
65,1,1,1232.3632,19.7392,-2.428096,6.12e-09
66,1,1,1258.1054,19.7392,-2.428096,5.14e-09
67,1,1,1258.1061,19.7392,-2.428096,5.87e-09
68,1,1,1326.5862,19.7392,-2.428096,4.81e-09
69,1,1,1326.5862,19.7392,-2.428096,6.48e-09
70,1,1,1406.8348,19.7392,-2.428096,4.59e-09
71,1,1,1406.8348,19.7392,-2.428096,6.31e-09
72,1,1,1422.9980,19.7392,-2.428096,4.83e-09
73,1,1,1423.0000,19.7392,-2.428096,4.60e-09
74,1,1,1548.6123,19.7392,-2.428096,4.25e-09
75,1,1,1548.6123,19.7392,-2.428096,3.49e-09
76,1,1,1618.2561,19.7392,-2.428096,3.01e-09
77,1,1,1618.2561,19.7392,-2.428096,3.17e-09
78,1,1,1631.1822,19.7392,-2.428096,3.62e-09
79,1,1,1644.1488,19.7392,-2.428096,3.54e-09
80,1,1,1644.1527,19.7392,-2.428096,3.14e-09
81,1,1,1689.3809,19.7392,-2.428096,4.85e-09
82,1,1,1689.3809,19.7392,-2.428096,3.79e-09
83,1,1,1719.1075,19.7392,-2.428096,3.44e-09
84,1,1,1719.1112,19.7392,-2.428096,3.78e-09
85,1,1,1754.8008,19.7392,-2.428096,2.62e-09
86,1,1,1754.8134,19.7392,-2.428096,3.35e-09
87,1,1,1847.1882,19.7392,-2.428096,2.26e-09
88,1,1,1847.1882,19.7392,-2.428096,2.50e-09
89,1,1,1936.9290,19.7392,-2.428096,2.95e-09
90,1,1,1936.9290,19.7392,-2.428096,2.78e-09
91,1,1,1967.0504,19.7392,-2.428096,4.48e-09
92,1,1,1967.0678,19.7392,-2.428096,2.94e-09
93,1,1,2130.5986,19.7392,-2.428096,2.60e-09
94,1,1,2130.5986,19.7392,-2.428096,2.14e-09
95,1,1,2212.2914,19.7392,-2.428096,1.78e-09
96,1,1,2212.2915,19.7392,-2.428096,1.78e-09
97,1,1,2235.7490,19.7392,-2.428096,2.00e-09
98,1,1,2237.4310,19.7392,-2.428096,1.65e-09
99,1,1,2237.4310,19.7392,-2.428096,1.63e-09
100,1,1,2281.3785,19.7392,-2.428096,1.87e-09
101,1,1,2281.3793,19.7392,-2.428096,2.27e-09
102,1,1,2338.1581,19.7392,-2.428096,1.90e-09
103,1,1,2338.1611,19.7392,-2.428096,3.25e-09
104,1,1,2344.6399,19.7392,-2.428096,1.75e-09
105,1,1,2344.6399,19.7392,-2.428096,3.37e-09
106,1,1,2434.1521,19.7392,-2.428096,1.73e-09
107,1,1,2434.1543,19.7392,-2.428096,4.52e-09
