mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,relative_residual
1,1,1,64.0483,19.7392,0.351164,9.97e-01
2,1,1,134.1181,19.7392,0.351164,9.93e-01
3,1,1,293.2875,19.7392,0.351164,9.59e-01
4,1,1,314.3561,19.7392,0.351164,9.68e-01
5,1,1,316.2178,19.7392,0.351164,9.38e-01
6,1,1,328.5825,19.7392,0.351164,9.47e-01
7,1,1,401.7265,19.7392,0.351164,9.15e-01
8,1,1,454.6106,19.7392,0.351164,9.61e-01
9,1,1,461.3280,19.7392,0.351164,8.86e-01
10,1,1,480.8641,19.7392,0.351164,9.46e-01
11,1,1,508.8929,19.7392,0.351164,9.26e-01
12,1,1,535.0951,19.7392,0.351164,8.96e-01
13,1,1,590.9112,19.7392,0.351164,8.75e-01
14,1,1,601.2065,19.7392,0.351164,8.26e-01
15,1,1,641.8285,19.7392,0.351164,8.51e-01
16,1,1,651.0874,19.7392,0.351164,8.78e-01
17,1,1,668.4349,19.7392,0.351164,8.16e-01
18,1,1,699.4036,19.7392,0.351164,9.05e-01
19,1,1,749.5283,19.7392,0.351164,8.48e-01
20,1,1,750.5532,19.7392,0.351164,8.62e-01
21,1,1,778.5300,19.7392,0.351164,8.32e-01
22,1,1,799.2190,19.7392,0.351164,8.28e-01
23,1,1,805.5205,19.7392,0.351164,7.81e-01
24,1,1,805.5683,19.7392,0.351164,7.68e-01
25,1,1,849.7059,19.7392,0.351164,9.16e-01
26,1,1,860.7623,19.7392,0.351164,8.51e-01
27,1,1,871.8943,19.7392,0.351164,8.42e-01
28,1,1,915.1728,19.7392,0.351164,6.64e-01
29,1,1,919.3754,19.7392,0.351164,8.24e-01
30,1,1,929.1976,19.7392,0.351164,8.25e-01
31,1,1,950.3855,19.7392,0.351164,6.43e-01
32,1,1,974.8306,19.7392,0.351164,8.42e-01
33,1,1,1023.6710,19.7392,0.351164,6.48e-01
34,1,1,1046.3913,19.7392,0.351164,7.50e-01
35,1,1,1068.6979,19.7392,0.351164,6.55e-01
36,1,1,1069.5830,19.7392,0.351164,8.02e-01
37,1,1,1089.3707,19.7392,0.351164,5.78e-01
38,1,1,1145.7238,19.7392,0.351164,5.40e-01
39,1,1,1152.1839,19.7392,0.351164,7.87e-01
40,1,1,1171.3797,19.7392,0.351164,7.99e-01
41,1,1,1198.7671,19.7392,0.351164,5.08e-01
42,1,1,1208.6160,19.7392,0.351164,5.94e-01
43,1,1,1214.5126,19.7392,0.351164,6.23e-01
44,1,1,1227.8757,19.7392,0.351164,5.60e-01
45,1,1,1239.0663,19.7392,0.351164,4.68e-01
46,1,1,1247.9830,19.7392,0.351164,8.88e-01
47,1,1,1277.9810,19.7392,0.351164,6.91e-01
48,1,1,1284.7337,19.7392,0.351164,7.10e-01
49,1,1,1288.3610,19.7392,0.351164,5.49e-01
50,1,1,1298.1668,19.7392,0.351164,4.78e-01
51,1,1,1330.1780,19.7392,0.351164,8.31e-01
52,1,1,1367.7266,19.7392,0.351164,4.33e-01
53,1,1,1427.8031,19.7392,0.351164,7.73e-01
54,1,1,1450.6851,19.7392,0.351164,6.02e-01
55,1,1,1469.0449,19.7392,0.351164,3.81e-01
56,1,1,1470.0486,19.7392,0.351164,5.27e-01
57,1,1,1484.7136,19.7392,0.351164,6.65e-01
58,1,1,1542.3938,19.7392,0.351164,3.78e-01
59,1,1,1550.0836,19.7392,0.351164,5.26e-01
60,1,1,1634.7328,19.7392,0.351164,3.35e-01
61,1,1,1637.4394,19.7392,0.351164,4.38e-01
62,1,1,1646.8168,19.7392,0.351164,2.73e-01
63,1,1,1704.4788,19.7392,0.351164,5.43e-01
64,1,1,1725.0413,19.7392,0.351164,3.99e-01
65,1,1,1746.4807,19.7392,0.351164,3.02e-01
66,1,1,1785.8892,19.7392,0.351164,2.85e-01
67,1,1,1806.0374,19.7392,0.351164,6.54e-01
68,1,1,1816.8240,19.7392,0.351164,3.63e-01
69,1,1,1823.6934,19.7392,0.351164,5.34e-01
70,1,1,1852.1426,19.7392,0.351164,8.00e-01
71,1,1,1856.4315,19.7392,0.351164,3.96e-01
72,1,1,1857.6448,19.7392,0.351164,4.78e-01
73,1,1,1871.2085,19.7392,0.351164,5.26e-01
74,1,1,1881.6768,19.7392,0.351164,7.91e-01
75,1,1,1916.9612,19.7392,0.351164,4.14e-01
76,1,1,1986.4506,19.7392,0.351164,4.73e-01
77,1,1,2008.6949,19.7392,0.351164,4.05e-01
78,1,1,2093.0406,19.7392,0.351164,2.72e-01
