h,log10_h,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
0.125,-0.9030899869919435,-1.863242304550776,-1.6963604887990147,-1.9965934056665031
0.1111111111111111,-0.9542425094393249,-2.405844247172243,-1.8275863693700047,-1.5813196614892486
0.1,-1.0,-2.0398583678478595,-1.8694895920611434,-2.169867596744178
0.09090909090909091,-1.041392685158225,-2.5626040669543864,-1.9841644637942533,-1.737338711675985
0.08333333333333333,-1.0791812460476249,-2.187174778161855,-2.014062936829305,-2.3145137655552253
0.07692307692307693,-1.1139433523068367,-2.6963342524958547,-2.117105248574534,-1.869787126960687
0.07142857142857142,-1.146128035678238,-2.314369958845912,-2.1382445814135163,-2.438695340334453
0.06666666666666667,-1.1760912590556813,-2.8136252074284718,-2.232562962142043,-1.9848114244986854
0.0625,-1.2041199826559248,-2.4267725986097393,-2.247136237070932,-2.5473566213106564
0.058823529411764705,-1.2304489213782739,-2.919012601484304,-2.334657428561439,-2.0864429384668686
0.05555555555555555,-1.255272505103306,-2.5289017330981656,-2.344221895774845,-2.6437392875162495
0.05263157894736842,-1.278753600952829,-3.0153317193538505,-2.426169641703708,-2.1774590306958532
0.05,-1.3010299956639813,-2.6225720962080317,-2.4319748654013207,-2.7298526070891165
0.047619047619047616,-1.3222192947339193,-3.104973302452648,-2.5091286296065727,-2.2598537854836356
0.045454545454545456,-1.3424226808222062,-2.711418249447412,-2.51209722458193,-2.806525531473125
0.043478260869565216,-1.3617278360175928,-3.1910176168628737,-2.585077964826981,-2.3351027732055805
0.041666666666666664,-1.3802112417116061,-2.795990072294933,-2.586042571489337,-2.87417928302396
