n_div,mode_rank,m,n,w_h_exact
9,1,1,1,19.7390
9,2,1,2,49.3476
9,3,2,1,49.3476
9,4,2,2,78.9557
9,5,1,3,98.6942
9,6,3,1,98.6942
9,7,2,3,128.3018
9,8,3,2,128.3018
9,9,1,4,167.7781
9,10,4,1,167.7781
9,11,3,3,177.6471
9,12,2,4,197.3849
9,13,4,2,197.3849
9,14,3,4,246.7289
9,15,4,3,246.7289
9,16,1,5,256.5976
9,17,5,1,256.5976
9,18,2,5,286.2034
9,19,5,2,286.2034
9,20,4,4,315.8089
10,1,1,1,19.7390
10,2,1,2,49.3476
10,3,2,1,49.3476
10,4,2,2,78.9557
10,5,1,3,98.6942
10,6,3,1,98.6942
10,7,2,3,128.3018
10,8,3,2,128.3018
10,9,1,4,167.7781
10,10,4,1,167.7781
10,11,3,3,177.6471
10,12,2,4,197.3849
10,13,4,2,197.3849
10,14,3,4,246.7289
10,15,4,3,246.7289
10,16,1,5,256.5976
10,17,5,1,256.5976
10,18,2,5,286.2034
10,19,5,2,286.2034
10,20,4,4,315.8089
11,1,1,1,19.7390
11,2,1,2,49.3476
11,3,2,1,49.3476
11,4,2,2,78.9557
11,5,1,3,98.6942
11,6,3,1,98.6942
11,7,2,3,128.3018
11,8,3,2,128.3018
11,9,1,4,167.7781
11,10,4,1,167.7781
11,11,3,3,177.6471
11,12,2,4,197.3849
11,13,4,2,197.3849
11,14,3,4,246.7289
11,15,4,3,246.7289
11,16,1,5,256.5976
11,17,5,1,256.5976
11,18,2,5,286.2034
11,19,5,2,286.2034
11,20,4,4,315.8089
12,1,1,1,19.7390
12,2,1,2,49.3476
12,3,2,1,49.3476
12,4,2,2,78.9557
12,5,1,3,98.6942
12,6,3,1,98.6942
12,7,2,3,128.3018
12,8,3,2,128.3018
12,9,1,4,167.7781
12,10,4,1,167.7781
12,11,3,3,177.6471
12,12,2,4,197.3849
12,13,4,2,197.3849
12,14,3,4,246.7289
12,15,4,3,246.7289
12,16,1,5,256.5976
12,17,5,1,256.5976
12,18,2,5,286.2034
12,19,5,2,286.2034
12,20,4,4,315.8089
13,1,1,1,19.7390
13,2,1,2,49.3476
13,3,2,1,49.3476
13,4,2,2,78.9557
13,5,1,3,98.6942
13,6,3,1,98.6942
13,7,2,3,128.3018
13,8,3,2,128.3018
13,9,1,4,167.7781
13,10,4,1,167.7781
13,11,3,3,177.6471
13,12,2,4,197.3849
13,13,4,2,197.3849
13,14,3,4,246.7289
13,15,4,3,246.7289
13,16,1,5,256.5976
13,17,5,1,256.5976
13,18,2,5,286.2034
13,19,5,2,286.2034
13,20,4,4,315.8089
14,1,1,1,19.7390
14,2,1,2,49.3476
14,3,2,1,49.3476
14,4,2,2,78.9557
14,5,1,3,98.6942
14,6,3,1,98.6942
14,7,2,3,128.3018
14,8,3,2,128.3018
14,9,1,4,167.7781
14,10,4,1,167.7781
14,11,3,3,177.6471
14,12,2,4,197.3849
14,13,4,2,197.3849
14,14,3,4,246.7289
14,15,4,3,246.7289
14,16,1,5,256.5976
14,17,5,1,256.5976
14,18,2,5,286.2034
14,19,5,2,286.2034
14,20,4,4,315.8089
15,1,1,1,19.7390
15,2,1,2,49.3476
15,3,2,1,49.3476
15,4,2,2,78.9557
15,5,1,3,98.6942
15,6,3,1,98.6942
15,7,2,3,128.3018
15,8,3,2,128.3018
15,9,1,4,167.7781
15,10,4,1,167.7781
15,11,3,3,177.6471
15,12,2,4,197.3849
15,13,4,2,197.3849
15,14,3,4,246.7289
15,15,4,3,246.7289
15,16,1,5,256.5976
15,17,5,1,256.5976
15,18,2,5,286.2034
15,19,5,2,286.2034
15,20,4,4,315.8089
16,1,1,1,19.7390
16,2,1,2,49.3476
16,3,2,1,49.3476
16,4,2,2,78.9557
16,5,1,3,98.6942
16,6,3,1,98.6942
16,7,2,3,128.3018
16,8,3,2,128.3018
16,9,1,4,167.7781
16,10,4,1,167.7781
16,11,3,3,177.6471
16,12,2,4,197.3849
16,13,4,2,197.3849
16,14,3,4,246.7289
16,15,4,3,246.7289
16,16,1,5,256.5976
16,17,5,1,256.5976
16,18,2,5,286.2034
16,19,5,2,286.2034
16,20,4,4,315.8089
17,1,1,1,19.7390
17,2,1,2,49.3476
17,3,2,1,49.3476
17,4,2,2,78.9557
17,5,1,3,98.6942
17,6,3,1,98.6942
17,7,2,3,128.3018
17,8,3,2,128.3018
17,9,1,4,167.7781
17,10,4,1,167.7781
17,11,3,3,177.6471
17,12,2,4,197.3849
17,13,4,2,197.3849
17,14,3,4,246.7289
17,15,4,3,246.7289
17,16,1,5,256.5976
17,17,5,1,256.5976
17,18,2,5,286.2034
17,19,5,2,286.2034
17,20,4,4,315.8089
18,1,1,1,19.7390
18,2,1,2,49.3476
18,3,2,1,49.3476
18,4,2,2,78.9557
18,5,1,3,98.6942
18,6,3,1,98.6942
18,7,2,3,128.3018
18,8,3,2,128.3018
18,9,1,4,167.7781
18,10,4,1,167.7781
18,11,3,3,177.6471
18,12,2,4,197.3849
18,13,4,2,197.3849
18,14,3,4,246.7289
18,15,4,3,246.7289
18,16,1,5,256.5976
18,17,5,1,256.5976
18,18,2,5,286.2034
18,19,5,2,286.2034
18,20,4,4,315.8089
19,1,1,1,19.7390
19,2,1,2,49.3476
19,3,2,1,49.3476
19,4,2,2,78.9557
19,5,1,3,98.6942
19,6,3,1,98.6942
19,7,2,3,128.3018
19,8,3,2,128.3018
19,9,1,4,167.7781
19,10,4,1,167.7781
19,11,3,3,177.6471
19,12,2,4,197.3849
19,13,4,2,197.3849
19,14,3,4,246.7289
19,15,4,3,246.7289
19,16,1,5,256.5976
19,17,5,1,256.5976
19,18,2,5,286.2034
19,19,5,2,286.2034
19,20,4,4,315.8089
20,1,1,1,19.7390
20,2,1,2,49.3476
20,3,2,1,49.3476
20,4,2,2,78.9557
20,5,1,3,98.6942
20,6,3,1,98.6942
20,7,2,3,128.3018
20,8,3,2,128.3018
20,9,1,4,167.7781
20,10,4,1,167.7781
20,11,3,3,177.6471
20,12,2,4,197.3849
20,13,4,2,197.3849
20,14,3,4,246.7289
20,15,4,3,246.7289
20,16,1,5,256.5976
20,17,5,1,256.5976
20,18,2,5,286.2034
20,19,5,2,286.2034
20,20,4,4,315.8089
21,1,1,1,19.7390
21,2,1,2,49.3476
21,3,2,1,49.3476
21,4,2,2,78.9557
21,5,1,3,98.6942
21,6,3,1,98.6942
21,7,2,3,128.3018
21,8,3,2,128.3018
21,9,1,4,167.7781
21,10,4,1,167.7781
21,11,3,3,177.6471
21,12,2,4,197.3849
21,13,4,2,197.3849
21,14,3,4,246.7289
21,15,4,3,246.7289
21,16,1,5,256.5976
21,17,5,1,256.5976
21,18,2,5,286.2034
21,19,5,2,286.2034
21,20,4,4,315.8089
22,1,1,1,19.7390
22,2,1,2,49.3476
22,3,2,1,49.3476
22,4,2,2,78.9557
22,5,1,3,98.6942
22,6,3,1,98.6942
22,7,2,3,128.3018
22,8,3,2,128.3018
22,9,1,4,167.7781
22,10,4,1,167.7781
22,11,3,3,177.6471
22,12,2,4,197.3849
22,13,4,2,197.3849
22,14,3,4,246.7289
22,15,4,3,246.7289
22,16,1,5,256.5976
22,17,5,1,256.5976
22,18,2,5,286.2034
22,19,5,2,286.2034
22,20,4,4,315.8089
23,1,1,1,19.7390
23,2,1,2,49.3476
23,3,2,1,49.3476
23,4,2,2,78.9557
23,5,1,3,98.6942
23,6,3,1,98.6942
23,7,2,3,128.3018
23,8,3,2,128.3018
23,9,1,4,167.7781
23,10,4,1,167.7781
23,11,3,3,177.6471
23,12,2,4,197.3849
23,13,4,2,197.3849
23,14,3,4,246.7289
23,15,4,3,246.7289
23,16,1,5,256.5976
23,17,5,1,256.5976
23,18,2,5,286.2034
23,19,5,2,286.2034
23,20,4,4,315.8089
24,1,1,1,19.7390
24,2,1,2,49.3476
24,3,2,1,49.3476
24,4,2,2,78.9557
24,5,1,3,98.6942
24,6,3,1,98.6942
24,7,2,3,128.3018
24,8,3,2,128.3018
24,9,1,4,167.7781
24,10,4,1,167.7781
24,11,3,3,177.6471
24,12,2,4,197.3849
24,13,4,2,197.3849
24,14,3,4,246.7289
24,15,4,3,246.7289
24,16,1,5,256.5976
24,17,5,1,256.5976
24,18,2,5,286.2034
24,19,5,2,286.2034
24,20,4,4,315.8089
25,1,1,1,19.7390
25,2,1,2,49.3476
25,3,2,1,49.3476
25,4,2,2,78.9557
25,5,1,3,98.6942
