n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,2,37.1755,49.3476,-0.607901
9,2,2,2,80.0940,78.9557,-1.841123
9,3,2,2,80.1247,78.9557,-1.829568
9,4,2,3,118.4704,128.3018,-1.115617
9,5,1,4,159.6080,167.7781,-1.312508
9,6,1,4,160.3210,167.7781,-1.352167
9,7,2,4,194.2665,197.3849,-1.801386
9,8,2,4,194.2683,197.3849,-1.801628
9,9,1,5,263.9234,256.5976,-1.544397
9,10,2,5,298.0047,286.2034,-1.384746
9,11,2,5,298.0053,286.2034,-1.384723
9,12,3,5,328.1842,335.5458,-1.658779
9,13,3,5,329.6225,335.5458,-1.753192
9,14,2,6,391.5794,394.7554,-2.094448
9,15,2,6,391.5809,394.7554,-2.094644
9,16,4,6,508.4793,513.1708,-2.038948
9,17,2,7,544.6049,523.0386,-1.384757
9,18,2,7,544.8903,523.0386,-1.379048
9,19,3,7,572.3846,572.3766,-4.854161
9,20,3,7,572.3852,572.3766,-4.821841
10,1,1,2,36.9858,49.3476,-0.601184
10,2,2,2,78.7375,78.9557,-2.558538
10,3,2,2,78.7403,78.9557,-2.564188
10,4,2,3,116.3720,128.3018,-1.031599
10,5,1,4,153.4134,167.7781,-1.067438
10,6,1,4,154.1160,167.7781,-1.089218
10,7,2,4,187.8888,197.3849,-1.317768
10,8,2,4,187.8889,197.3849,-1.317774
10,9,1,5,254.3637,256.5976,-2.060203
10,10,2,5,276.6086,286.2034,-1.474637
10,11,2,5,276.6120,286.2034,-1.474790
10,12,4,4,307.2420,315.8089,-1.566600
10,13,4,4,308.5869,315.8089,-1.640763
10,14,1,6,368.9437,365.1508,-1.983500
10,15,1,6,368.9455,365.1508,-1.983288
10,16,1,7,475.6989,493.4353,-1.444365
10,17,1,7,478.1611,493.4353,-1.509273
10,18,1,7,478.4544,493.4353,-1.517692
10,19,4,6,506.9980,513.1708,-1.919775
10,20,4,6,507.0014,513.1708,-1.920019
11,1,1,2,36.7456,49.3476,-0.592828
11,2,2,2,77.7383,78.9557,-1.811964
11,3,2,2,77.7464,78.9557,-1.814864
11,4,2,3,114.8598,128.3018,-0.979768
11,5,1,4,149.1343,167.7781,-0.954202
11,6,1,4,149.8076,167.7781,-0.970176
11,7,3,3,183.4399,177.6471,-1.486668
11,8,3,3,183.4401,177.6471,-1.486651
11,9,3,4,247.7075,246.7289,-2.401593
11,10,1,5,262.5439,256.5976,-1.635002
11,11,1,5,262.5538,256.5976,-1.634279
11,12,2,5,293.4529,286.2034,-1.596369
11,13,2,5,294.7254,286.2034,-1.526134
11,14,1,6,353.8732,365.1508,-1.510259
11,15,1,6,353.8791,365.1508,-1.510486
11,16,3,6,438.0275,444.0958,-1.864407
11,17,3,6,438.3110,444.0958,-1.885188
11,18,3,6,453.9249,444.0958,-1.654963
11,19,3,6,467.5474,444.0958,-1.277304
11,20,3,6,467.5487,444.0958,-1.277281
12,1,1,2,36.6257,49.3476,-0.588714
12,2,2,2,77.0174,78.9557,-1.609966
12,3,2,2,77.0279,78.9557,-1.612328
12,4,2,3,113.7708,128.3018,-0.945937
12,5,2,3,146.0215,128.3018,-0.859778
12,6,2,3,146.7024,128.3018,-0.843400
12,7,3,3,180.2128,177.6471,-1.840341
12,8,3,3,180.2181,177.6471,-1.839454
12,9,3,4,242.8604,246.7289,-1.804678
12,10,1,5,252.7146,256.5976,-1.820090
12,11,1,5,252.7164,256.5976,-1.820290
12,12,2,5,283.7989,286.2034,-2.075651
12,13,2,5,285.0259,286.2034,-2.385690
12,14,3,5,343.2253,335.5458,-1.640419
12,15,3,5,343.2358,335.5458,-1.639822
12,16,4,5,411.4126,404.6236,-1.775245
12,17,4,5,411.7021,404.6236,-1.757110
12,18,3,6,438.5825,444.0958,-1.906064
12,19,3,6,441.4051,444.0958,-2.217607
12,20,3,6,441.4066,444.0958,-2.217859
13,1,1,2,36.5899,49.3476,-0.587494
13,2,2,2,76.4496,78.9557,-1.498388
13,3,2,2,76.4855,78.9557,-1.504663
13,4,1,3,112.9167,98.6942,-0.841316
13,5,2,3,143.7120,128.3018,-0.920424
13,6,2,3,144.3698,128.3018,-0.902271
13,7,3,3,177.7806,177.6471,-3.123883
13,8,3,3,177.7880,177.6471,-3.100458
13,9,3,4,239.2137,246.7289,-1.516281
13,10,3,4,245.5301,246.7289,-2.313470
13,11,3,4,245.5325,246.7289,-2.314358
13,12,2,5,276.7236,286.2034,-1.479875
13,13,2,5,277.9217,286.2034,-1.538553
13,14,3,5,335.3878,335.5458,-3.327288
13,15,3,5,335.3895,335.5458,-3.331928
13,16,2,6,392.6587,394.7554,-2.274778
13,17,2,6,392.9410,394.7554,-2.337579
13,18,4,5,422.9726,404.6236,-1.343437
13,19,4,5,422.9776,404.6236,-1.343321
13,20,3,6,427.2892,444.0958,-1.421997
14,1,1,2,36.4209,49.3476,-0.581779
14,2,2,2,75.9934,78.9557,-1.425751
14,3,2,2,76.0383,78.9557,-1.432390
14,4,1,3,112.2309,98.6942,-0.862782
14,5,2,3,141.9060,128.3018,-0.974559
14,6,2,3,142.5626,128.3018,-0.954088
14,7,3,3,175.8908,177.6471,-2.004967
14,8,3,3,175.9033,177.6471,-2.008073
14,9,3,4,236.3925,246.7289,-1.377852
14,10,3,4,240.0834,246.7289,-1.569693
14,11,3,4,240.0869,246.7289,-1.569925
14,12,1,5,271.3655,256.5976,-1.239931
14,13,2,5,272.5379,286.2034,-1.321047
14,14,3,5,329.4136,335.5458,-1.738136
14,15,3,5,329.4141,335.5458,-1.738175
14,16,1,6,378.8311,365.1508,-1.426374
14,17,1,6,379.1123,365.1508,-1.417540
14,18,4,5,409.3877,404.6236,-1.929069
14,19,4,5,409.3891,404.6236,-1.928942
14,20,4,5,418.7021,404.6236,-1.458495
15,1,1,2,36.4829,49.3476,-0.583867
15,2,2,2,75.6711,78.9557,-1.380903
15,3,2,2,75.7042,78.9557,-1.385300
15,4,1,3,111.6922,98.6942,-0.880417
15,5,2,3,140.4802,128.3018,-1.022642
15,6,2,3,141.1407,128.3018,-0.999704
15,7,3,3,174.4010,177.6471,-1.738207
15,8,3,3,174.4103,177.6471,-1.739443
15,9,3,4,234.1599,246.7289,-1.292919
15,10,3,4,235.8539,246.7289,-1.355790
15,11,3,4,235.8552,246.7289,-1.355845
15,12,1,5,267.2033,256.5976,-1.383713
15,13,1,5,268.3282,256.5976,-1.339931
15,14,4,4,324.7420,315.8089,-1.548424
15,15,4,4,324.7486,315.8089,-1.548101
15,16,1,6,368.3008,365.1508,-2.064151
15,17,1,6,368.5828,365.1508,-2.026920
15,18,2,6,399.0372,394.7554,-1.964707
15,19,2,6,399.0393,394.7554,-1.964493
15,20,4,5,411.9950,404.6236,-1.739501
16,1,1,2,36.3629,49.3476,-0.579836
16,2,2,2,75.3890,78.9557,-1.345117
16,3,2,2,75.3915,78.9557,-1.345430
16,4,1,3,111.2757,98.6942,-0.894560
16,5,2,3,139.3462,128.3018,-1.065091
16,6,2,3,139.9995,128.3018,-1.040132
16,7,3,3,173.1934,177.6471,-1.600840
16,8,3,3,173.2074,177.6471,-1.602212
16,9,3,4,232.3996,246.7289,-1.235996
16,10,3,4,232.4534,246.7289,-1.237630
16,11,3,4,232.5022,246.7289,-1.239117
16,12,1,5,263.8745,256.5976,-1.547304
16,13,1,5,265.0086,256.5976,-1.484403
16,14,4,4,321.0201,315.8089,-1.782493
16,15,4,4,321.0208,315.8089,-1.782430
16,16,1,6,360.0602,365.1508,-1.855704
16,17,1,6,360.3353,365.1508,-1.879835
16,18,2,6,390.9330,394.7554,-2.013988
16,19,2,6,390.9362,394.7554,-2.014351
16,20,4,5,406.6501,404.6236,-2.300298
17,1,1,2,36.2829,49.3476,-0.577167
17,2,2,2,75.1528,78.9557,-1.317269
17,3,2,2,75.1750,78.9557,-1.319820
17,4,1,3,110.8973,98.6942,-0.907823
17,5,2,3,138.4134,128.3018,-1.103415
17,6,2,3,139.0479,128.3018,-1.076983
17,7,1,4,172.2125,167.7781,-1.577896
17,8,1,4,172.2325,167.7781,-1.575940
17,9,3,4,229.7322,246.7289,-1.161857
17,10,3,4,229.7984,246.7289,-1.163550
17,11,3,4,230.8980,246.7289,-1.192715
17,12,1,5,261.1967,256.5976,-1.746576
17,13,1,5,262.2921,256.5976,-1.653796
17,14,4,4,317.9909,315.8089,-2.160584
17,15,4,4,317.9958,315.8089,-2.159609
17,16,1,6,353.4750,365.1508,-1.495187
17,17,1,6,353.7466,365.1508,-1.505409
17,18,2,6,384.4569,394.7554,-1.583551
17,19,2,6,384.4659,394.7554,-1.583932
17,20,4,5,402.3192,404.6236,-2.244506
18,1,1,2,36.2554,49.3476,-0.576254
18,2,2,2,74.9427,78.9557,-1.293915
18,3,2,2,74.9487,78.9557,-1.294564
18,4,1,3,110.6063,98.6942,-0.918306
18,5,2,3,137.6268,128.3018,-1.138585
18,6,2,3,138.2925,128.3018,-1.108636
18,7,1,4,171.4033,167.7781,-1.665398
18,8,1,4,171.4064,167.7781,-1.665036
18,9,3,4,227.5368,246.7289,-1.109099
18,10,3,4,227.5401,246.7289,-1.109174
18,11,3,4,229.6512,246.7289,-1.159792
18,12,1,5,259.0019,256.5976,-2.028263
18,13,1,5,260.0818,256.5976,-1.867141
18,14,4,4,315.5043,315.8089,-3.015679
18,15,4,4,315.5106,315.8089,-3.024739
18,16,3,5,348.1270,335.5458,-1.426029
18,17,3,5,348.3944,335.5458,-1.416896
18,18,1,6,379.1929,365.1508,-1.415038
18,19,1,6,379.1969,365.1508,-1.414915
18,20,2,6,398.7440,394.7554,-1.995505
19,1,1,2,36.3084,49.3476,-0.578017
19,2,2,2,74.7893,78.9557,-1.277625
19,3,2,2,74.7895,78.9557,-1.277646
19,4,1,3,110.3505,98.6942,-0.927733
19,5,2,3,136.9873,128.3018,-1.169439
19,6,2,3,137.6243,128.3018,-1.138699
19,7,1,4,170.7349,167.7781,-1.753910
19,8,1,4,170.7354,167.7781,-1.753840
19,9,3,4,225.6689,246.7289,-1.068763
19,10,3,4,225.6828,246.7289,-1.069048
19,11,3,4,228.6337,246.7289,-1.134656
19,12,1,5,257.1583,256.5976,-2.660508
19,13,1,5,258.2352,256.5976,-2.195030
19,14,4,4,313.4295,315.8089,-2.122955
19,15,4,4,313.4351,315.8089,-2.123970
19,16,3,5,343.7009,335.5458,-1.614323
19,17,3,5,343.9788,335.5458,-1.599771
19,18,1,6,374.8434,365.1508,-1.576032
19,19,1,6,374.8488,365.1508,-1.575789
19,20,2,6,395.7775,394.7554,-2.586825
20,1,1,2,36.2088,49.3476,-0.574713
20,2,2,2,74.6505,78.9557,-1.263393
20,3,2,2,74.6666,78.9557,-1.265018
20,4,1,3,110.1412,98.6942,-0.935603
20,5,2,3,136.4446,128.3018,-1.197458
20,6,2,3,137.0752,128.3018,-1.165065
20,7,1,4,170.1548,167.7781,-1.848766
20,8,1,4,170.1660,167.7781,-1.846707
20,9,3,4,224.1072,246.7289,-1.037694
20,10,3,4,224.1115,246.7289,-1.037778
20,11,3,4,227.7737,246.7289,-1.114492
20,12,1,5,255.6076,256.5976,-2.413615
20,13,1,5,256.6725,256.5976,-3.534323
20,14,4,4,311.6753,315.8089,-1.883089
20,15,4,4,311.6798,315.8089,-1.883563
20,16,3,5,340.0037,335.5458,-1.876619
20,17,3,5,340.2789,335.5458,-1.850603
20,18,1,6,371.2091,365.1508,-1.780120
20,19,1,6,371.2134,365.1508,-1.779814
20,20,2,6,393.2659,394.7554,-2.423268
21,1,1,2,36.2453,49.3476,-0.575920
21,2,2,2,74.5246,78.9557,-1.250871
21,3,2,2,74.5361,78.9557,-1.252004
21,4,1,3,109.9561,98.6942,-0.942681
21,5,2,3,135.9663,128.3018,-1.223749
21,6,2,3,136.6302,128.3018,-1.187673
21,7,1,4,169.6705,167.7781,-1.947716
21,8,1,4,169.6751,167.7781,-1.946673
21,9,3,4,222.7822,246.7289,-1.012975
21,10,3,4,222.7830,246.7289,-1.012989
21,11,3,4,227.0401,246.7289,-1.098002
21,12,1,5,254.2875,256.5976,-2.045630
21,13,1,5,255.3554,256.5976,-2.315085
21,14,4,4,310.1829,315.8089,-1.749219
21,15,4,4,310.1887,315.8089,-1.749667
21,16,3,5,336.8800,335.5458,-2.400521
21,17,3,5,337.1520,335.5458,-2.319934
21,18,1,6,368.1352,365.1508,-2.087605
21,19,1,6,368.1393,365.1508,-2.087019
21,20,2,6,391.1286,394.7554,-2.036806
22,1,1,2,36.2178,49.3476,-0.575009
22,2,2,2,74.4242,78.9557,-1.241147
22,3,2,2,74.4278,78.9557,-1.241486
22,4,1,3,109.8014,98.6942,-0.948687
22,5,2,3,135.5699,128.3018,-1.246810
22,6,2,3,136.2078,128.3018,-1.210277
22,7,1,4,169.2199,167.7781,-2.065833
22,8,1,4,169.2456,167.7781,-2.058166
22,9,2,4,221.6374,197.3849,-0.910558
22,10,2,4,221.6460,197.3849,-0.910403
22,11,3,4,226.3952,246.7289,-1.084004
22,12,1,5,253.1551,256.5976,-1.872383
22,13,1,5,254.2239,256.5976,-2.033831
22,14,4,4,308.9023,315.8089,-1.660161
22,15,4,4,308.9058,315.8089,-1.660376
22,16,3,5,334.2145,335.5458,-2.401479
22,17,3,5,334.4861,335.5458,-2.500586
22,18,1,6,365.5059,365.1508,-3.012037
22,19,1,6,365.5114,365.1508,-3.005369
22,20,2,6,389.2950,394.7554,-1.859098
23,1,1,2,36.2021,49.3476,-0.574489
23,2,2,2,74.3388,78.9557,-1.233036
23,3,2,2,74.3530,78.9557,-1.234371
23,4,1,3,109.6765,98.6942,-0.953600
23,5,2,3,135.2140,128.3018,-1.268617
23,6,2,3,135.8587,128.3018,-1.229887
23,7,1,4,168.8547,167.7781,-2.192669
23,8,1,4,168.8591,167.7781,-2.190919
23,9,2,4,220.6435,197.3849,-0.928731
23,10,2,4,220.6482,197.3849,-0.928642
23,11,3,4,225.8305,246.7289,-1.072106
23,12,1,5,252.1809,256.5976,-1.764163
23,13,1,5,253.2350,256.5976,-1.882576
23,14,4,4,307.7755,315.8089,-1.594522
23,15,4,4,307.7974,315.8089,-1.595706
23,16,3,5,331.9192,335.5458,-1.966258
23,17,3,5,332.1930,335.5458,-2.000342
23,18,1,6,363.2518,365.1508,-2.283948
23,19,1,6,363.2529,365.1508,-2.284213
23,20,2,6,387.6907,394.7554,-1.747234
24,1,1,2,36.1475,49.3476,-0.572689
24,2,2,2,74.2695,78.9557,-1.226562
24,3,2,2,74.2819,78.9557,-1.227715
24,4,1,3,109.5729,98.6942,-0.957715
24,5,2,3,134.9276,128.3018,-1.286998
24,6,2,3,135.5704,128.3018,-1.246783
24,7,1,4,168.5476,167.7781,-2.338532
24,8,1,4,168.5476,167.7781,-2.338498
24,9,2,4,219.7866,197.3849,-0.945033
24,10,2,4,219.7900,197.3849,-0.944967
24,11,3,4,225.3382,246.7289,-1.061995
24,12,3,4,251.3373,246.7289,-1.728671
24,13,1,5,252.3904,256.5976,-1.785268
24,14,4,4,306.8166,315.8089,-1.545553
24,15,4,4,306.8194,315.8089,-1.545688
24,16,3,5,329.9228,335.5458,-1.775787
24,17,3,5,330.1969,335.5458,-1.797493
24,18,1,6,361.2887,365.1508,-1.975652
24,19,1,6,361.2919,365.1508,-1.976014
24,20,2,6,386.3158,394.7554,-1.670005
25,1,1,2,36.7183,49.3476,-0.591889
25,2,2,2,74.1915,78.9557,-1.219394
25,3,2,2,74.1964,78.9557,-1.219846
25,4,1,3,109.3759,98.6942,-0.965655
25,5,2,3,134.6583,128.3018,-1.305016
25,6,2,3,135.2828,128.3018,-1.264318
25,7,1,4,168.2691,167.7781,-2.533626
25,8,1,4,168.2754,167.7781,-2.528139
25,9,2,4,219.0307,197.3849,-0.959940
25,10,2,4,219.0335,197.3849,-0.959883
25,11,3,4,224.9241,246.7289,-1.053669
25,12,3,4,250.5942,246.7289,-1.805037
25,13,3,4,251.6287,246.7289,-1.702036
25,14,4,4,305.9703,315.8089,-1.506489
25,15,4,4,305.9854,315.8089,-1.507156
25,16,3,5,328.1901,335.5458,-1.659131
25,17,3,5,328.4505,335.5458,-1.674782
25,18,1,6,359.5789,365.1508,-1.816474
25,19,1,6,359.5811,365.1508,-1.816643
25,20,2,6,385.0964,394.7554,-1.611393
