n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,1,20.0094,19.7392,-1.863520
9,2,1,2,51.7305,49.3476,-1.316152
9,3,1,2,51.7305,49.3476,-1.316152
9,4,2,2,82.6273,78.9557,-1.332529
9,5,1,3,112.1452,98.6942,-0.865538
9,6,1,3,112.1453,98.6942,-0.865537
9,7,2,3,142.4791,128.3018,-0.956641
9,8,2,3,142.4791,128.3018,-0.956640
9,9,2,4,201.5396,197.3849,-1.676772
9,10,2,4,214.4236,197.3849,-1.063877
9,11,2,4,214.4236,197.3849,-1.063877
9,12,3,4,242.9761,246.7289,-1.817872
9,13,3,4,243.0172,246.7289,-1.822649
9,14,2,5,299.3358,286.2034,-1.338332
9,15,2,5,299.3358,286.2034,-1.338332
9,16,2,6,387.9957,394.7554,-1.766400
9,17,2,6,387.9958,394.7554,-1.766403
9,18,2,6,391.9113,394.7554,-2.142382
9,19,4,5,415.5908,404.6236,-1.566955
9,20,4,5,415.5908,404.6236,-1.566955
10,1,1,1,19.8165,19.7392,-2.406803
10,2,1,2,51.2692,49.3476,-1.409584
10,3,1,2,51.2693,49.3476,-1.409580
10,4,2,2,82.5460,78.9557,-1.342254
10,5,1,3,109.0683,98.6942,-0.978342
10,6,1,3,109.0750,98.6942,-0.978065
10,7,2,3,139.5348,128.3018,-1.057738
10,8,2,3,139.5348,128.3018,-1.057738
10,9,2,4,194.9512,197.3849,-1.909049
10,10,2,4,204.0539,197.3849,-1.471254
10,11,2,4,204.0539,197.3849,-1.471254
10,12,3,4,234.1273,246.7289,-1.291796
10,13,3,4,234.1275,246.7289,-1.291802
10,14,2,5,288.1713,286.2034,-2.162667
10,15,2,5,288.1713,286.2034,-2.162666
10,16,1,6,355.1473,365.1508,-1.562323
10,17,1,6,355.1557,365.1508,-1.562686
10,18,1,6,379.7678,365.1508,-1.397614
10,19,2,6,383.4737,394.7554,-1.543952
10,20,2,6,383.4737,394.7554,-1.543953
11,1,1,1,19.9191,19.7392,-2.040273
11,2,1,2,50.9208,49.3476,-1.496476
11,3,1,2,50.9208,49.3476,-1.496470
11,4,2,2,81.3996,78.9557,-1.509301
11,5,1,3,107.3620,98.6942,-1.056385
11,6,1,3,107.3620,98.6942,-1.056383
11,7,2,3,137.4997,128.3018,-1.144545
11,8,2,3,137.4997,128.3018,-1.144545
11,9,2,4,193.1235,197.3849,-1.665763
11,10,2,4,196.8310,197.3849,-2.551901
11,11,2,4,196.8310,197.3849,-2.551902
11,12,3,4,225.9456,246.7289,-1.074505
11,13,3,4,225.9630,246.7289,-1.074869
11,14,2,5,280.0823,286.2034,-1.669845
11,15,2,5,280.0823,286.2034,-1.669845
11,16,3,5,334.2786,335.5458,-2.422917
11,17,3,5,334.2787,335.5458,-2.422938
