mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.8347,19.7390,-2.314370,-2.138245,-2.438695
2,1,2,50.1820,49.3476,-1.771870,-0.145029,-0.145702
3,1,2,50.1820,49.3476,-1.771867,-0.147190,-0.146364
4,2,2,80.2612,78.9557,-1.781589,-1.555255,-1.579020
5,3,1,103.1955,98.6942,-1.340962,-0.150233,-0.150487
6,3,1,103.1955,98.6942,-1.340955,-0.133702,-0.136152
7,3,2,133.1055,128.3018,-1.426659,-0.150033,-0.150334
8,3,2,133.1055,128.3018,-1.426659,-0.150033,-0.150334
9,3,3,182.4339,177.6471,-1.569508,0.013560,0.014348
10,3,3,182.4339,177.6471,-1.569508,0.013560,0.014348
11,3,3,185.7161,177.6471,-1.342739,-1.194154,-1.492008
12,2,4,211.8650,197.3849,-1.134542,-0.149613,-0.147084
13,2,4,211.8697,197.3849,-1.134401,-0.149460,-0.150164
14,1,5,263.8064,256.5976,-1.551389,0.012218,0.012992
15,1,5,263.8064,256.5976,-1.551389,0.012218,0.012992
16,5,2,294.1800,286.2034,-1.554856,0.003891,0.004209
17,5,2,294.1801,286.2034,-1.554852,0.004441,0.004804
18,4,4,323.3701,315.8089,-1.620835,0.000222,0.000239
19,4,4,323.3701,315.8089,-1.620835,0.000222,0.000239
20,3,5,340.7924,335.5458,-1.805868,0.095457,0.100252
21,1,6,374.8460,365.1508,-1.575912,0.038962,0.041845
22,1,6,374.8466,365.1508,-1.575885,0.038963,0.041845
23,3,6,447.3958,444.0958,-2.128970,0.029586,0.032107
24,3,6,447.3958,444.0958,-2.128970,0.029586,0.032107
25,3,6,450.8259,444.0958,-1.819457,0.031625,0.033866
26,3,6,450.8259,444.0958,-1.819457,0.031625,0.033866
27,7,1,475.8260,493.4353,-1.447488,0.020565,0.021440
28,7,1,475.8318,493.4353,-1.447631,0.008170,0.008527
29,7,2,526.0663,523.0386,-2.237413,0.130232,0.138807
30,7,2,526.0663,523.0386,-2.237413,0.027962,0.030293
31,7,3,559.7415,572.3766,-1.656102,0.076378,0.079420
32,5,6,600.1466,601.9790,-2.516558,0.000000,-0.000000
33,5,6,600.1650,601.9790,-2.520941,0.000000,-0.000000
34,8,2,656.5171,671.0500,-1.664401,0.064880,0.070498
35,8,2,656.5171,671.0500,-1.664403,0.049282,0.053710
36,2,8,684.5083,671.0500,-1.697766,0.063610,0.071571
37,2,8,684.5083,671.0500,-1.697766,0.063610,0.071571
38,6,6,706.8254,710.5184,-2.284200,0.070547,0.075876
39,6,6,706.8254,710.5184,-2.284200,0.070547,0.075876
40,7,5,733.9467,730.2523,-2.295937,-0.000000,-0.000000
41,7,5,733.9473,730.2523,-2.295858,0.064126,0.071138
42,1,9,806.5456,809.1867,-2.486265,0.068055,0.074998
43,1,9,806.5456,809.1867,-2.486265,-0.000000,0.000000
44,6,7,850.4347,838.7865,-1.857394,0.106705,0.117414
45,9,3,911.2591,888.1188,-1.584103,0.025190,0.028917
46,9,3,911.2608,888.1188,-1.584071,0.000000,0.000000
47,9,4,943.1178,957.1826,-1.832863,0.029134,0.033696
48,9,4,943.1178,957.1826,-1.832863,0.000000,-0.000000
49,7,7,969.9285,967.0487,-2.526081,0.058348,0.067794
50,7,7,969.9351,967.0487,-2.525092,0.058103,0.067514
51,10,2,1017.3815,1026.2445,-2.063670,-0.000000,-0.000000
