h,log10_h,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
0.125,-0.9030899869919435,-1.4252343021432652,-1.5339351359727749,-1.2638540614659077
0.1111111111111111,-0.9542425094393249,-1.4938652606414238,-1.8039355663647114,-1.3986147147819175
0.1,-1.0,-1.5444217015229726,-1.7759763535113384,-1.4348345749118754
0.09090909090909091,-1.041392685158225,-1.5869719094199877,-1.7208493828512244,-1.4554385110823969
0.08333333333333333,-1.0791812460476249,-1.617484178790634,-1.9274045717191446,-1.5557409710379577
0.07692307692307693,-1.1139433523068367,-1.646511850702734,-2.203985919143702,-1.654334370104596
0.07142857142857142,-1.146128035678238,-1.6687860946427362,-2.0947109952921137,-1.6642710655686181
0.06666666666666667,-1.1760912590556813,-1.6922373940554538,-1.9679456585398984,-1.661427376628003
0.0625,-1.2041199826559248,-1.7110342957088018,-2.197175597747945,-1.7467455946888546
0.058823529411764705,-1.2304489213782739,-1.731977921800803,-2.3845241882125467,-1.8138931300492098
0.05555555555555555,-1.255272505103306,-1.7493335218654944,-2.284639146751627,-1.818050330591638
0.05263157894736842,-1.278753600952829,-1.7687344130766907,-2.2721588391369374,-1.840640161738295
0.05,-1.3010299956639813,-1.7848289630431744,-2.4188207052842077,-1.8906035625264517
0.047619047619047616,-1.3222192947339193,-1.803109864185353,-2.5009883007692184,-1.9314667407069896
0.045454545454545456,-1.3424226808222062,-1.8181354117992439,-2.51110122411562,-1.9510056267937028
0.043478260869565216,-1.3617278360175928,-1.8355676749617507,-2.4439617480688365,-1.9606036544013608
0.041666666666666664,-1.3802112417116061,-1.8499973153097393,-2.555118643646958,-1.9991423748695505
