h,log10_h,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
0.1111111111111111,-0.9542425094393249,-1.6817865396858844,-1.1747097714281212,-1.0048789809366074,0.36719913943136784
0.1,-1.0,-1.967690772374136,-1.3924506905805676,-1.200230605389532,0.372831574970764
0.09090909090909091,-1.041392685158225,-1.69717153989224,-1.5499680509739786,-1.3170427450371858,0.38353041227526485
0.08333333333333333,-1.0791812460476249,-1.666478469757382,-1.6634559114827014,-1.3971471064812733,0.3928724478541179
0.07692307692307693,-1.1139433523068367,-1.6849110536219671,-1.7698373211281013,-1.4682589395554082,0.40106286560870824
0.07142857142857142,-1.146128035678238,-1.7134680384839043,-1.8606795156878426,-1.5302031868790866,0.40833162145440854
0.06666666666666667,-1.1760912590556813,-1.742205642471226,-1.9435552698204817,-1.5862771564907507,0.414993163228107
0.0625,-1.2041199826559248,-1.7683997564778835,-2.021821460034432,-1.6378443871725403,0.42122473890550544
0.058823529411764705,-1.2304489213782739,-1.7924860986106608,-2.092937535553027,-1.6847911956001524,0.4270815725381948
0.05555555555555555,-1.255272505103306,-1.814531650629524,-2.16400515729982,-1.7290195072579004,0.4326636485418571
0.05263157894736842,-1.278753600952829,-1.83513975847879,-2.2249152465989046,-1.768975563741536,0.43794552084262234
0.05,-1.3010299956639813,-1.8543174647605154,-2.2878404844421105,-1.8071916020710732,0.4430266567810158
0.047619047619047616,-1.3222192947339193,-1.872698418330427,-2.3410718494594427,-1.8420174812690766,0.4478720470881178
0.045454545454545456,-1.3424226808222062,-1.8898476654862866,-2.3965243784950307,-1.8755479548703113,0.45255653873832735
0.043478260869565216,-1.3617278360175928,-1.9064978011587672,-2.4426873899204,-1.906321831610954,0.45704873196528334
0.041666666666666664,-1.3802112417116061,-1.9223797751675495,-2.490833279967917,-1.9360758195167105,0.4614082278942461
0.04,-1.3979400086720375,-1.9378303882190786,-2.5305850547018625,-1.9636140679872498,0.4656082518430971
