n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,2,43.2261,49.3476,-0.906413
9,2,2,2,87.0522,78.9557,-0.989086
9,3,1,3,91.3602,98.6942,-1.128946
9,4,2,3,135.1329,128.3018,-1.273745
9,5,1,4,152.4812,167.7781,-1.040132
9,6,1,4,160.7415,167.7781,-1.377374
9,7,3,3,179.5931,177.6471,-1.960415
9,8,2,4,193.5332,197.3849,-1.709660
9,9,2,4,209.3974,197.3849,-1.215682
9,10,2,4,212.8913,197.3849,-1.104804
9,11,3,4,229.2798,246.7289,-1.150447
9,12,1,5,251.9905,256.5976,-1.745824
9,13,1,5,253.6504,256.5976,-1.939849
9,14,1,5,256.3457,256.5976,-3.008045
9,15,1,5,260.6804,256.5976,-1.798286
9,16,1,5,270.5555,256.5976,-1.264431
9,17,4,4,313.8237,315.8089,-2.201606
9,18,4,4,323.9756,315.8089,-1.587377
9,19,4,4,324.4514,315.8089,-1.562786
9,20,1,6,354.7121,365.1508,-1.543827
10,1,1,2,42.5267,49.3476,-0.859428
10,2,2,2,86.3810,78.9557,-1.026670
10,3,1,3,89.5010,98.6942,-1.030821
10,4,2,3,134.1644,128.3018,-1.340140
10,5,1,4,150.2786,167.7781,-0.981710
10,6,1,4,158.3016,167.7781,-1.248089
10,7,2,4,188.0583,197.3849,-1.325591
10,8,2,4,212.7978,197.3849,-1.107430
10,9,2,4,217.4024,197.3849,-0.993904
10,10,2,4,218.6453,197.3849,-0.967742
10,11,3,4,235.0617,246.7289,-1.325254
10,12,3,4,238.6547,246.7289,-1.485122
10,13,3,4,250.2280,246.7289,-1.848259
10,14,1,5,256.2576,256.5976,-2.877820
10,15,2,5,272.7495,286.2034,-1.327825
10,16,2,5,279.0755,286.2034,-1.603715
10,17,2,5,289.6324,286.2034,-1.921504
10,18,2,5,293.1831,286.2034,-1.612839
10,19,2,5,298.3903,286.2034,-1.370782
10,20,4,4,325.4673,315.8089,-1.514521
11,1,1,2,41.9243,49.3476,-0.822674
11,2,2,2,84.8590,78.9557,-1.126287
11,3,2,2,87.7137,78.9557,-0.954975
11,4,2,3,133.2682,128.3018,-1.412193
11,5,1,4,149.3783,167.7781,-0.959922
11,6,1,4,155.5434,167.7781,-1.137144
11,7,2,4,191.9798,197.3849,-1.562512
11,8,2,4,208.5869,197.3849,-1.246018
11,9,3,4,231.7969,246.7289,-1.218102
11,10,3,4,233.0317,246.7289,-1.255588
11,11,3,4,233.8764,246.7289,-1.283233
11,12,3,4,241.7607,246.7289,-1.696022
11,13,3,4,250.7261,246.7289,-1.790462
11,14,2,5,280.3854,286.2034,-1.691898
11,15,2,5,289.4241,286.2034,-1.948732
11,16,2,5,291.9381,286.2034,-1.698167
11,17,2,5,297.1542,286.2034,-1.417231
11,18,4,4,301.7038,315.8089,-1.350047
11,19,4,4,307.1317,315.8089,-1.561041
11,20,4,4,310.2864,315.8089,-1.757282
12,1,1,2,41.1698,49.3476,-0.780633
12,2,2,2,83.9490,78.9557,-1.198990
12,3,2,2,86.0059,78.9557,-1.049182
12,4,2,3,131.0734,128.3018,-1.665501
12,5,2,3,147.2340,128.3018,-0.831031
12,6,1,4,152.8439,167.7781,-1.050554
12,7,2,4,191.1400,197.3849,-1.499789
12,8,2,4,205.7491,197.3849,-1.372889
12,9,3,4,233.9554,246.7289,-1.285910
12,10,3,4,234.1177,246.7289,-1.291464
12,11,3,4,250.8410,246.7289,-1.778158
12,12,1,5,253.7885,256.5976,-1.960687
12,13,1,5,257.7633,256.5976,-2.342669
12,14,2,5,281.0441,286.2034,-1.744082
12,15,2,5,290.6510,286.2034,-1.808553
12,16,4,4,301.7068,315.8089,-1.350139
12,17,4,4,312.1514,315.8089,-1.936240
12,18,4,4,317.5715,315.8089,-2.253271
12,19,4,4,319.1911,315.8089,-1.970225
12,20,3,5,332.6765,335.5458,-2.067974
13,1,1,2,40.6633,49.3476,-0.754531
13,2,2,2,82.6132,78.9557,-1.334194
13,3,2,2,84.5048,78.9557,-1.153160
13,4,2,3,129.3958,128.3018,-2.069207
13,5,2,3,146.0404,128.3018,-0.859315
13,6,1,4,150.3428,167.7781,-0.983307
13,7,2,4,191.2599,197.3849,-1.508208
13,8,2,4,201.4106,197.3849,-1.690473
13,9,3,4,231.2278,246.7289,-1.201859
13,10,3,4,231.3745,246.7289,-1.205988
13,11,3,4,250.4372,246.7289,-1.823047
13,12,1,5,269.0619,256.5976,-1.313584
13,13,1,5,269.2829,256.5976,-1.305950
13,14,2,5,285.7866,286.2034,-2.836689
13,15,2,5,287.9009,286.2034,-2.226860
13,16,4,4,320.6764,315.8089,-1.812124
13,17,3,5,326.4421,335.5458,-1.566534
13,18,3,5,326.8459,335.5458,-1.586240
13,19,3,5,333.1526,335.5458,-2.146773
13,20,3,5,339.0579,335.5458,-1.980186
14,1,1,2,40.0307,49.3476,-0.723998
14,2,2,2,81.7586,78.9557,-1.449771
14,3,2,2,83.1183,78.9557,-1.278017
14,4,2,3,127.2846,128.3018,-2.100836
14,5,2,3,144.2358,128.3018,-0.905909
14,6,1,4,148.1165,167.7781,-0.931118
14,7,2,4,189.1415,197.3849,-1.379205
14,8,2,4,198.3390,197.3849,-2.315717
14,9,3,4,229.9776,246.7289,-1.168173
14,10,3,4,230.0702,246.7289,-1.170581
14,11,1,5,254.7341,256.5976,-2.138934
14,12,2,5,280.3955,286.2034,-1.692652
14,13,2,5,281.7872,286.2034,-1.811621
14,14,2,5,282.5596,286.2034,-1.895114
14,15,2,5,284.7614,286.2034,-2.297709
14,16,4,4,318.4569,315.8089,-2.076506
14,17,4,4,322.8322,315.8089,-1.652888
14,18,3,5,332.1707,335.5458,-1.997470
14,19,3,5,346.8263,335.5458,-1.473422
14,20,1,6,351.5582,365.1508,-1.429172
15,1,1,2,39.5837,49.3476,-0.703646
15,2,2,2,80.6728,78.9557,-1.662594
15,3,2,2,81.9561,78.9557,-1.420195
15,4,2,3,125.6780,128.3018,-1.689301
15,5,2,3,143.1332,128.3018,-0.937053
15,6,2,3,146.1657,128.3018,-0.856256
15,7,2,4,188.0910,197.3849,-1.327114
15,8,2,4,194.9396,197.3849,-1.906978
15,9,3,4,227.2251,246.7289,-1.102101
15,10,3,4,227.6191,246.7289,-1.110964
15,11,3,4,251.6338,246.7289,-1.701591
15,12,2,5,279.4841,286.2034,-1.629350
15,13,2,5,280.9621,286.2034,-1.737237
15,14,2,5,295.0068,286.2034,-1.512025
15,15,2,5,296.3939,286.2034,-1.448480
15,16,3,5,325.9239,335.5458,-1.542491
15,17,3,5,326.9869,335.5458,-1.593334
15,18,3,5,331.9951,335.5458,-1.975437
15,19,3,5,345.6673,335.5458,-1.520507
15,20,1,6,366.3349,365.1508,-2.489062
16,1,1,2,39.0559,49.3476,-0.680782
16,2,2,2,79.9997,78.9557,-1.878675
16,3,2,2,80.9067,78.9557,-1.607119
16,4,2,3,123.9301,128.3018,-1.467583
16,5,2,3,141.6831,128.3018,-0.981735
16,6,2,3,144.4369,128.3018,-0.900461
16,7,3,3,186.0366,177.6471,-1.325822
16,8,2,4,192.2635,197.3849,-1.585926
16,9,3,4,225.9881,246.7289,-1.075394
16,10,3,4,226.2419,246.7289,-1.080743
16,11,1,5,251.9691,256.5976,-1.743814
16,12,2,5,275.8435,286.2034,-1.441320
16,13,2,5,277.1306,286.2034,-1.498933
16,14,4,4,308.3429,315.8089,-1.626333
16,15,4,4,308.9642,315.8089,-1.664065
16,16,4,4,322.9037,315.8089,-1.648488
16,17,4,4,324.8594,315.8089,-1.542755
16,18,3,5,328.8412,335.5458,-1.699380
16,19,3,5,345.9200,335.5458,-1.509796
16,20,2,6,380.1608,394.7554,-1.432135
17,1,1,2,38.7144,49.3476,-0.666604
17,2,2,2,79.1403,78.9557,-2.631071
17,3,2,2,80.0478,78.9557,-1.859109
17,4,2,3,122.5982,128.3018,-1.352086
17,5,2,3,140.8154,128.3018,-1.010851
17,6,2,3,142.9973,128.3018,-0.941048
17,7,3,3,184.7340,177.6471,-1.399098
17,8,2,4,189.6458,197.3849,-1.406621
17,9,3,4,223.7947,246.7289,-1.031736
17,10,3,4,224.2082,246.7289,-1.039639
17,11,3,4,249.1504,246.7289,-2.008128
17,12,2,5,272.9957,286.2034,-1.335846
17,13,2,5,275.2041,286.2034,-1.415310
17,14,4,4,321.1959,315.8089,-1.768077
17,15,4,4,321.5097,315.8089,-1.743489
17,16,4,4,323.7108,315.8089,-1.601694
17,17,3,5,327.0784,335.5458,-1.598001
17,18,3,5,327.7939,335.5458,-1.636344
