n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,1,18.9975,19.7392,-1.425138
9,2,1,2,47.3363,49.3476,-1.389807
9,3,1,2,48.1074,49.3476,-1.599773
9,4,2,2,73.1509,78.9557,-1.133599
9,5,1,3,95.8028,98.6942,-1.533180
9,6,1,3,95.9966,98.6942,-1.563307
9,7,2,3,113.5862,128.3018,-0.940454
9,8,2,3,120.2315,128.3018,-1.201345
9,9,2,3,145.4321,128.3018,-0.874468
9,10,2,3,146.6629,128.3018,-0.844335
9,11,1,4,152.0633,167.7781,-1.028426
9,12,1,4,160.6012,167.7781,-1.368801
9,13,1,4,160.9589,167.7781,-1.391000
9,14,1,4,172.0407,167.7781,-1.595057
9,15,3,3,178.9897,177.6471,-2.121590
9,16,3,3,181.5510,177.6471,-1.658053
9,17,3,3,183.8159,177.6471,-1.459354
9,18,3,3,184.5963,177.6471,-1.407618
9,19,2,4,202.2593,197.3849,-1.607397
9,20,2,4,204.3501,197.3849,-1.452378
10,1,1,1,19.1059,19.7392,-1.493752
10,2,1,2,47.5820,49.3476,-1.446391
10,3,1,2,48.3430,49.3476,-1.691281
10,4,2,2,74.3948,78.9557,-1.238333
10,5,1,3,96.1861,98.6942,-1.594932
10,6,1,3,96.3387,98.6942,-1.622201
10,7,2,3,116.2966,128.3018,-1.028861
10,8,2,3,121.7361,128.3018,-1.290951
10,9,1,4,154.1494,167.7781,-1.090281
10,10,1,4,162.6672,167.7781,-1.516236
10,11,1,4,162.7316,167.7781,-1.521748
10,12,1,4,163.3483,167.7781,-1.578352
10,13,1,4,163.3531,167.7781,-1.578828
10,14,3,3,179.1000,177.6471,-2.087306
10,15,3,3,184.0457,177.6471,-1.443474
10,16,2,4,198.2668,197.3849,-2.349892
10,17,2,4,201.4571,197.3849,-1.685487
10,18,2,4,205.1995,197.3849,-1.402407
10,19,2,4,215.6381,197.3849,-1.033976
10,20,2,4,216.0668,197.3849,-1.023894
11,1,1,1,19.1755,19.7392,-1.544294
11,2,1,2,47.8925,49.3476,-1.530371
11,3,1,2,48.4155,49.3476,-1.723811
11,4,2,2,74.8708,78.9557,-1.286206
11,5,1,3,96.7271,98.6942,-1.700456
11,6,1,3,96.8205,98.6942,-1.721579
11,7,2,3,118.3708,128.3018,-1.111240
11,8,2,3,122.8339,128.3018,-1.370410
11,9,1,4,159.8104,167.7781,-1.323405
11,10,1,4,163.4953,167.7781,-1.593011
11,11,1,4,164.1359,167.7781,-1.663370
11,12,3,3,177.2099,177.6471,-2.608964
11,13,3,3,177.5652,177.6471,-3.336702
11,14,3,3,182.7350,177.6471,-1.543018
11,15,3,3,185.7889,177.6471,-1.338837
11,16,2,4,205.5173,197.3849,-1.385094
11,17,2,4,218.6258,197.3849,-0.968141
11,18,2,4,220.1485,197.3849,-0.938073
11,19,3,4,226.8164,246.7289,-1.093094
11,20,3,4,242.3757,246.7289,-1.753417
12,1,1,1,19.2281,19.7392,-1.586831
12,2,1,2,48.0013,49.3476,-1.564123
12,3,1,2,48.5414,49.3476,-1.786867
12,4,2,2,75.5241,78.9557,-1.361895
12,5,1,3,96.8982,98.6942,-1.739979
12,6,1,3,97.0098,98.6942,-1.767831
12,7,2,3,119.7982,128.3018,-1.178628
12,8,2,3,123.5321,128.3018,-1.429740
12,9,1,4,162.2225,167.7781,-1.480009
12,10,1,4,164.6055,167.7781,-1.723318
12,11,1,4,165.0189,167.7781,-1.783961
12,12,3,3,185.8817,177.6471,-1.333916
12,13,3,3,187.4257,177.6471,-1.259278
12,14,2,4,191.6464,197.3849,-1.536516
12,15,2,4,192.0830,197.3849,-1.570880
12,16,2,4,215.1122,197.3849,-1.046672
12,17,3,4,226.6334,246.7289,-1.089122
12,18,3,4,237.4377,246.7289,-1.424149
12,19,3,4,237.7912,246.7289,-1.440995
12,20,3,4,248.2555,246.7289,-2.208494
13,1,1,1,19.2627,19.7392,-1.617333
13,2,1,2,48.1842,49.3476,-1.627558
13,3,1,2,48.5739,49.3476,-1.804731
13,4,2,2,75.7723,78.9557,-1.394494
13,5,1,3,97.1809,98.6942,-1.814351
13,6,1,3,97.2682,98.6942,-1.840151
13,7,2,3,120.8956,128.3018,-1.238639
13,8,2,3,124.1204,128.3018,-1.486908
13,9,1,4,164.9188,167.7781,-1.768484
13,10,1,4,165.0377,167.7781,-1.786921
13,11,1,4,165.4091,167.7781,-1.850174
13,12,3,3,187.2629,177.6471,-1.266570
13,13,2,4,188.7924,197.3849,-1.361193
13,14,2,4,205.7907,197.3849,-1.370733
13,15,2,4,205.9859,197.3849,-1.360764
13,16,2,4,218.3826,197.3849,-0.973142
13,17,3,4,231.1605,246.7289,-1.199977
13,18,3,4,250.5402,246.7289,-1.811139
13,19,3,4,251.3884,246.7289,-1.723874
13,20,1,5,253.5404,256.5976,-1.923927
14,1,1,1,19.2935,19.7392,-1.646350
14,2,1,2,48.2424,49.3476,-1.649853
14,3,1,2,48.6490,49.3476,-1.849077
14,4,2,2,76.1653,78.9557,-1.451719
14,5,1,3,97.2764,98.6942,-1.842676
14,6,1,3,97.3740,98.6942,-1.873633
14,7,2,3,121.7646,128.3018,-1.292837
14,8,2,3,124.5042,128.3018,-1.528724
14,9,1,4,165.5339,167.7781,-1.873686
14,10,1,4,165.8258,167.7781,-1.934192
14,11,1,4,166.1872,167.7781,-2.023109
14,12,2,4,188.9601,197.3849,-1.369756
14,13,2,4,189.9958,197.3849,-1.426724
14,14,2,4,219.4318,197.3849,-0.951966
14,15,2,4,219.7359,197.3849,-0.946016
14,16,3,4,223.8601,246.7289,-1.032976
14,17,3,4,233.0213,246.7289,-1.255258
14,18,1,5,252.3029,256.5976,-1.776323
14,19,1,5,252.4365,256.5976,-1.790047
14,20,1,5,268.5882,256.5976,-1.330410
15,1,1,1,19.3158,19.7392,-1.668615
15,2,1,2,48.3656,49.3476,-1.701171
15,3,1,2,48.6680,49.3476,-1.861044
15,4,2,2,76.3193,78.9557,-1.476376
15,5,1,3,97.4510,98.6942,-1.899732
15,6,1,3,97.5327,98.6942,-1.929253
15,7,2,3,122.4212,128.3018,-1.338808
15,8,2,3,124.8674,128.3018,-1.572376
15,9,1,4,165.7731,167.7781,-1.922626
15,10,1,4,166.0463,167.7781,-1.986241
15,11,1,4,167.8331,167.7781,-3.484365
15,12,2,4,189.7019,197.3849,-1.409782
15,13,2,4,190.6936,197.3849,-1.469800
15,14,3,4,225.4156,246.7289,-1.063569
15,15,3,4,233.5483,246.7289,-1.272285
15,16,3,4,233.8950,246.7289,-1.283861
15,17,3,4,235.1082,246.7289,-1.326990
15,18,1,5,253.2597,256.5976,-1.885788
15,19,1,5,253.3304,256.5976,-1.895087
15,20,2,5,274.5038,286.2034,-1.388503
16,1,1,1,19.3380,19.7392,-1.692057
16,2,1,2,48.4031,49.3476,-1.718063
16,3,1,2,48.7205,49.3476,-1.895939
16,4,2,2,76.5855,78.9557,-1.522601
16,5,1,3,97.5141,98.6942,-1.922357
16,6,1,3,97.5992,98.6942,-1.954856
16,7,2,3,123.0084,128.3018,-1.384493
16,8,2,3,125.1126,128.3018,-1.604554
16,9,1,4,166.0534,167.7781,-1.988026
16,10,1,4,166.2757,167.7781,-2.047969
16,11,1,4,168.5885,167.7781,-2.316032
16,12,2,4,190.7519,197.3849,-1.473602
16,13,2,4,191.4394,197.3849,-1.521125
16,14,3,4,228.6309,246.7289,-1.134589
16,15,3,4,236.2000,246.7289,-1.369837
16,16,3,4,247.2325,246.7289,-2.690141
16,17,3,4,247.2595,246.7289,-2.667402
16,18,1,5,253.7389,256.5976,-1.953083
16,19,1,5,253.8903,256.5976,-1.976729
16,20,2,5,275.4914,286.2034,-1.426805
17,1,1,1,19.3550,19.7392,-1.710845
17,2,1,2,48.4941,49.3476,-1.762059
17,3,1,2,48.7351,49.3476,-1.906165
17,4,2,2,76.6934,78.9557,-1.542835
17,5,1,3,97.6341,98.6942,-1.968932
17,6,1,3,97.7065,98.6942,-1.999631
17,7,2,3,123.4465,128.3018,-1.422015
17,8,2,3,125.3635,128.3018,-1.640135
17,9,1,4,166.2054,167.7781,-2.028100
17,10,1,4,166.4151,167.7781,-2.090243
17,11,1,4,169.6791,167.7781,-1.945755
17,12,2,4,191.2172,197.3849,-1.505191
17,13,2,4,191.9004,197.3849,-1.556177
17,14,3,4,230.1376,246.7289,-1.172340
17,15,3,4,237.4300,246.7289,-1.423791
17,16,1,5,254.2496,256.5976,-2.038565
17,17,1,5,254.2964,256.5976,-2.047305
17,18,1,5,260.9075,256.5976,-1.774778
17,19,1,5,260.9351,256.5976,-1.772013
17,20,2,5,277.2371,286.2034,-1.504059
18,1,1,1,19.3731,19.7392,-1.731780
18,2,1,2,48.5209,49.3476,-1.775944
18,3,1,2,48.7756,49.3476,-1.935940
18,4,2,2,76.8898,78.9557,-1.582287
18,5,1,3,97.6805,98.6942,-1.988342
18,6,1,3,97.7540,98.6942,-2.021035
18,7,2,3,123.8670,128.3018,-1.461355
18,8,2,3,125.5379,128.3018,-1.666710
18,9,1,4,166.3797,167.7781,-2.079118
18,10,1,4,166.5564,167.7781,-2.137768
18,11,1,4,170.1865,167.7781,-1.842997
18,12,2,4,191.9297,197.3849,-1.558500
18,13,2,4,192.4244,197.3849,-1.599788
18,14,3,4,232.0775,246.7289,-1.226342
18,15,3,4,238.1590,246.7289,-1.459247
18,16,1,5,254.5191,256.5976,-2.091510
18,17,1,5,254.6097,256.5976,-2.110875
18,18,2,5,274.3346,286.2034,-1.382269
18,19,2,5,274.4797,286.2034,-1.387611
18,20,2,5,278.1248,286.2034,-1.549336
19,1,1,1,19.3874,19.7392,-1.749127
19,2,1,2,48.5921,49.3476,-1.815061
19,3,1,2,48.7885,49.3476,-1.945848
19,4,2,2,76.9716,78.9557,-1.599836
19,5,1,3,97.7690,98.6942,-2.028050
19,6,1,3,97.8320,98.6942,-2.058641
19,7,2,3,124.1809,128.3018,-1.493238
19,8,2,3,125.7249,128.3018,-1.697129
19,9,1,4,166.4852,167.7781,-2.113167
19,10,1,4,166.6524,167.7781,-2.173303
19,11,1,4,170.9595,167.7781,-1.722112
19,12,2,4,192.2495,197.3849,-1.584742
19,13,2,4,192.7510,197.3849,-1.629364
19,14,3,4,233.1711,246.7289,-1.260030
19,15,3,4,238.9742,246.7289,-1.502656
19,16,1,5,254.8227,256.5976,-2.160082
19,17,1,5,254.8811,256.5976,-2.174623
19,18,2,5,278.9488,286.2034,-1.596062
19,19,2,5,279.7861,286.2034,-1.649322
19,20,2,5,287.9605,286.2034,-2.211881
20,1,1,1,19.4028,19.7392,-1.768518
20,2,1,2,48.6129,49.3476,-1.827169
20,3,1,2,48.8217,49.3476,-1.972378
20,4,2,2,77.1237,78.9557,-1.634463
20,5,1,3,97.8051,98.6942,-2.045329
20,6,1,3,97.8680,98.6942,-2.077188
20,7,2,3,124.4991,128.3018,-1.528135
20,8,2,3,125.8577,128.3018,-1.720112
20,9,1,4,166.6037,167.7781,-2.154913
20,10,1,4,166.7469,167.7781,-2.211398
20,11,1,4,171.3208,167.7781,-1.675397
20,12,2,4,192.7646,197.3849,-1.630645
20,13,2,4,193.1340,197.3849,-1.666829
20,14,3,4,234.5370,246.7289,-1.306150
20,15,3,4,239.4967,246.7289,-1.532949
20,16,1,5,254.9906,256.5976,-2.203259
20,17,1,5,255.0646,256.5976,-2.223726
20,18,2,5,279.4243,286.2034,-1.625501
20,19,2,5,280.2233,286.2034,-1.679966
20,20,2,5,298.0187,286.2034,-1.384231
21,1,1,1,19.4150,19.7392,-1.784604
21,2,1,2,48.6703,49.3476,-1.862505
21,3,1,2,48.8334,49.3476,-1.982158
21,4,2,2,77.1892,78.9557,-1.650279
21,5,1,3,97.8736,98.6942,-2.080134
21,6,1,3,97.9282,98.6942,-2.110042
21,7,2,3,124.7331,128.3018,-1.555727
21,8,2,3,126.0041,128.3018,-1.746929
21,9,1,4,166.6803,167.7781,-2.184217
21,10,1,4,166.8174,167.7781,-2.242152
21,11,1,4,171.9004,167.7781,-1.609595
21,12,2,4,192.9982,197.3849,-1.653175
21,13,2,4,193.3830,197.3849,-1.693051
21,14,3,4,235.3343,246.7289,-1.335521
21,15,3,4,240.0790,246.7289,-1.569409
21,16,1,5,255.1860,256.5976,-2.259546
21,17,1,5,255.2394,256.5976,-2.276298
21,18,2,5,280.1548,286.2034,-1.675016
21,19,2,5,280.8248,286.2034,-1.726003
21,20,2,5,299.7122,286.2034,-1.326058
22,1,1,1,19.4284,19.7392,-1.802875
22,2,1,2,48.6870,49.3476,-1.873347
22,3,1,2,48.8612,49.3476,-2.006347
22,4,2,2,77.3109,78.9557,-1.681275
22,5,1,3,97.9028,98.6942,-2.095844
22,6,1,3,97.9568,98.6942,-2.126568
22,7,2,3,124.9825,128.3018,-1.587187
22,8,2,3,126.1098,128.3018,-1.767385
22,9,1,4,166.7660,167.7781,-2.219526
22,10,1,4,166.8847,167.7781,-2.273702
22,11,1,4,172.1698,167.7781,-1.582104
22,12,2,4,193.3879,197.3849,-1.693579
22,13,2,4,193.6745,197.3849,-1.725894
22,14,3,4,236.3494,246.7289,-1.376046
22,15,3,4,240.4727,246.7289,-1.595909
22,16,1,5,255.2984,256.5976,-2.295589
22,17,1,5,255.3605,256.5976,-2.316875
22,18,2,5,280.5129,286.2034,-1.701526
22,19,2,5,281.1483,286.2034,-1.752946
22,20,4,4,301.0798,315.8089,-1.331247
23,1,1,1,19.4389,19.7392,-1.817893
23,2,1,2,48.7343,49.3476,-1.905657
23,3,1,2,48.8719,49.3476,-2.016016
23,4,2,2,77.3646,78.9557,-1.695688
23,5,1,3,97.9573,98.6942,-2.126884
23,6,1,3,98.0047,98.6942,-2.155698
23,7,2,3,125.1643,128.3018,-1.611642
23,8,2,3,126.2282,128.3018,-1.791505
23,9,1,4,166.8248,167.7781,-2.245509
23,10,1,4,166.9390,167.7781,-2.300919
23,11,1,4,172.6188,167.7781,-1.539830
23,12,2,4,193.5658,197.3849,-1.713350
23,13,2,4,193.8694,197.3849,-1.749322
23,14,3,4,236.9615,246.7289,-1.402444
23,15,3,4,240.9109,246.7289,-1.627445
23,16,1,5,255.4320,256.5976,-2.342724
23,17,1,5,255.4778,256.5976,-2.360136
23,18,2,5,281.0458,286.2034,-1.744227
23,19,2,5,281.5893,286.2034,-1.792583
23,20,4,4,302.1889,315.8089,-1.365248
24,1,1,1,19.4507,19.7392,-1.835315
24,2,1,2,48.7482,49.3476,-1.915559
24,3,1,2,48.8958,49.3476,-2.038345
24,4,2,2,77.4647,78.9557,-1.723907
24,5,1,3,97.9815,98.6942,-2.141364
24,6,1,3,98.0284,98.6942,-2.170886
24,7,2,3,125.3638,128.3018,-1.640178
24,8,2,3,126.3148,128.3018,-1.810035
24,9,1,4,166.8891,167.7781,-2.275836
24,10,1,4,166.9893,167.7781,-2.327755
24,11,3,3,172.8283,177.6471,-1.566621
24,12,2,4,193.8708,197.3849,-1.749495
24,13,2,4,194.1003,197.3849,-1.778828
24,14,3,4,237.7358,246.7289,-1.438311
24,15,3,4,241.2185,246.7289,-1.651037
24,16,1,5,255.5115,256.5976,-2.373400
24,17,1,5,255.5647,256.5976,-2.395205
24,18,2,5,281.3133,286.2034,-1.767357
24,19,2,5,281.8373,286.2034,-1.816577
24,20,4,4,303.2486,315.8089,-1.400422
25,1,1,1,19.4602,19.7392,-1.849736
25,2,1,2,48.7880,49.3476,-1.945422
25,3,1,2,48.9056,49.3476,-2.047891
25,4,2,2,77.5096,78.9557,-1.737180
25,5,1,3,98.0261,98.6942,-2.169446
25,6,1,3,98.0674,98.6942,-2.197121
25,7,2,3,125.5088,128.3018,-1.662159
25,8,2,3,126.4129,128.3018,-1.832021
25,9,1,4,166.9357,167.7781,-2.299235
25,10,1,4,167.0325,167.7781,-2.352231
25,11,3,3,173.1860,177.6471,-1.600120
25,12,2,4,194.0105,197.3849,-1.767114
25,13,2,4,194.2567,197.3849,-1.800013
25,14,3,4,238.2185,246.7289,-1.462270
25,15,3,4,241.5608,246.7289,-1.678890
25,16,1,5,255.6074,256.5976,-2.413556
25,17,1,5,255.6473,256.5976,-2.431412
25,18,2,5,281.7203,286.2034,-1.805092
25,19,2,5,282.1739,286.2034,-1.851420
25,20,4,4,304.0693,315.8089,-1.429770
