mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
1,1,1,19.2627,19.7390,-1.617484,-1.927405,-1.555741
2,2,1,48.1842,49.3476,-1.627558,-0.150208,-0.149838
3,2,1,48.5739,49.3476,-1.804730,-0.150078,-0.149838
4,2,2,75.7723,78.9557,-1.394495,-0.996793,-0.918559
5,1,3,97.1809,98.6942,-1.814358,-0.112099,-0.111133
6,1,3,97.2682,98.6942,-1.840158,-0.149204,-0.148687
7,2,3,120.8956,128.3018,-1.238639,-0.144916,-0.142273
8,2,3,124.1204,128.3018,-1.486908,-0.146947,-0.145964
9,1,4,164.9188,167.7781,-1.768484,0.018685,0.017707
10,1,4,165.0377,167.7781,-1.786922,-0.147890,-0.147368
11,1,4,165.4091,167.7781,-1.850174,-0.146297,-0.145585
12,3,3,187.2629,177.6471,-1.266570,0.028601,0.029230
13,4,2,188.7924,197.3849,-1.361192,-0.125101,-0.122519
14,2,4,205.7907,197.3849,-1.370734,0.000198,0.000036
15,2,4,205.9859,197.3849,-1.360764,0.000676,0.000515
16,2,4,218.3826,197.3849,-0.973142,0.032873,0.033173
17,4,3,231.1605,246.7289,-1.199977,-0.134903,-0.133910
18,3,4,250.5402,246.7289,-1.811139,0.000393,0.000316
19,3,4,251.3884,246.7289,-1.723875,0.001718,0.001698
20,5,1,253.5404,256.5976,-1.923927,0.000709,0.000160
21,5,1,254.0802,256.5976,-2.008313,-0.010253,-0.010713
22,1,5,269.4594,256.5976,-1.299951,0.018667,0.018288
23,1,5,270.3446,256.5976,-1.271042,0.005587,0.005158
24,2,5,272.1563,286.2034,-1.309088,-0.137886,-0.135781
25,2,5,276.9710,286.2034,-1.491359,0.019953,0.009455
26,2,5,277.4417,286.2034,-1.514086,0.022031,0.014605
27,5,2,292.0984,286.2034,-1.686190,0.000924,0.000651
28,4,4,303.1244,315.8089,-1.396151,0.003445,0.001026
29,4,4,306.0827,315.8089,-1.511481,-0.004367,-0.004433
30,4,4,317.2851,315.8089,-2.330285,0.000832,0.000407
31,4,4,320.9503,315.8089,-1.788348,0.000607,0.000320
32,5,3,328.0106,335.5458,-1.648658,0.009596,0.008373
33,5,3,334.9167,335.5458,-2.727050,0.017291,0.010402
34,3,5,338.3907,335.5458,-2.071674,0.010075,0.004839
35,3,5,339.0256,335.5458,-1.984192,0.018259,0.010436
36,3,5,341.7716,335.5458,-1.731554,0.017510,0.009881
37,6,1,350.5420,365.1508,-1.397861,-0.012469,-0.014100
38,6,1,359.3922,365.1508,-1.802161,-0.050524,-0.053928
39,6,1,359.7116,365.1508,-1.826940,0.008443,0.004518
40,6,1,360.4689,365.1508,-1.892056,-0.059929,-0.062539
41,6,1,362.1157,365.1508,-2.080305,-0.004779,-0.005963
42,6,1,363.1721,365.1508,-2.266092,0.003784,0.001986
43,1,6,367.5076,365.1508,-2.190139,0.008210,0.007061
44,1,6,373.8792,365.1508,-1.621536,0.008077,0.005149
45,1,6,374.3762,365.1508,-1.597483,0.010003,0.008253
46,2,6,381.8473,394.7554,-1.485467,0.020405,0.015242
47,2,6,383.4386,394.7554,-1.542606,0.000965,0.000809
48,6,2,396.3215,394.7554,-2.401526,0.002792,0.002416
49,5,4,401.8364,404.6236,-2.161890,0.005718,0.004025
50,4,5,405.9009,404.6236,-2.500748,0.011707,0.010609
51,4,5,415.3404,404.6236,-1.576983,-0.001713,-0.002615
52,4,5,419.6002,404.6236,-1.431637,0.006368,0.003758
53,6,3,424.4712,444.0958,-1.354675,0.019828,0.012244
54,6,3,428.9083,444.0958,-1.465992,-0.005585,-0.010310
55,6,3,430.8310,444.0958,-1.524777,0.001764,0.001132
56,6,3,433.6610,444.0958,-1.628994,0.000663,0.000340
57,3,6,447.4363,444.0958,-2.123661,0.000423,0.000390
58,3,6,464.0306,444.0958,-1.347866,0.047043,0.045587
59,3,6,464.4389,444.0958,-1.339060,0.034065,0.032494
60,7,1,471.3610,493.4353,-1.349343,0.023063,0.019047
61,7,1,474.1335,493.4353,-1.407634,0.006277,0.002623
62,7,1,480.2311,493.4353,-1.572518,0.002490,0.001918
63,7,1,482.8965,493.4353,-1.670439,-0.002675,-0.003992
64,7,1,487.3050,493.4353,-1.905751,0.015134,0.009586
65,5,5,496.4733,493.4353,-2.210647,0.006294,0.004432
66,5,5,498.1035,493.4353,-2.024077,0.000107,0.000067
67,5,5,501.1803,493.4353,-1.804208,-0.006388,-0.006193
68,7,2,531.5952,523.0386,-1.786231,0.004449,0.002733
