n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,0,46.3906,35.9920,-0.539233
9,2,2,0,97.1451,73.4130,-0.490437
9,3,3,0,100.2589,73.4130,-0.436895
9,4,4,0,153.5822,108.2700,-0.378293
9,5,5,0,190.3884,131.6400,-0.350392
9,6,6,0,193.3004,132.2400,-0.335603
10,1,1,0,44.6949,35.9920,-0.616540
10,2,2,0,92.4186,73.4130,-0.586892
10,3,3,0,94.9685,73.4130,-0.532214
10,4,4,0,144.9093,108.2700,-0.470561
10,5,5,0,172.2104,131.6400,-0.511179
10,6,6,0,174.1297,132.2400,-0.499256
11,1,1,0,43.3999,35.9920,-0.686511
11,2,2,0,89.2667,73.4130,-0.665642
11,3,3,0,91.2909,73.4130,-0.613456
11,4,4,0,139.8255,108.2700,-0.535433
11,5,5,0,163.6821,131.6400,-0.613667
11,6,6,0,165.4266,132.2400,-0.600400
12,1,1,0,42.3766,35.9920,-0.751069
12,2,2,0,87.0311,73.4130,-0.731656
12,3,3,0,88.7035,73.4130,-0.681352
12,4,4,0,135.9963,108.2700,-0.591615
12,5,5,0,157.8546,131.6400,-0.700845
12,6,6,0,159.6070,132.2400,-0.684136
13,1,1,0,41.5116,35.9920,-0.814298
13,2,2,0,85.2067,73.4130,-0.794123
13,3,3,0,86.5596,73.4130,-0.746961
13,4,4,0,132.7970,108.2700,-0.644864
13,5,5,0,153.8005,131.6400,-0.773808
13,6,6,0,155.4256,132.2400,-0.756145
14,1,1,0,40.8072,35.9920,-0.873595
14,2,2,0,83.6900,73.4130,-0.853908
14,3,3,0,84.8546,73.4130,-0.807285
14,4,4,0,130.0131,108.2700,-0.697187
14,5,5,0,150.6783,131.6400,-0.839759
14,6,6,0,152.1607,132.2400,-0.822057
15,1,1,0,40.2097,35.9920,-0.931132
15,2,2,0,82.4801,73.4130,-0.908306
15,3,3,0,83.4420,73.4130,-0.864516
15,4,4,0,127.6216,108.2700,-0.747792
15,5,5,0,148.2150,131.6400,-0.899933
15,6,6,0,149.5264,132.2400,-0.883658
16,1,1,0,39.7811,35.9920,-0.977674
16,2,2,0,81.4034,73.4130,-0.963206
16,3,3,0,82.1909,73.4130,-0.922385
16,4,4,0,125.5298,108.2700,-0.797473
16,5,5,0,146.2387,131.6400,-0.955074
16,6,6,0,147.3695,132.2400,-0.941539
17,1,1,0,39.2389,35.9920,-1.044735
17,2,2,0,80.4790,73.4130,-1.016600
17,3,3,0,81.1819,73.4130,-0.975415
17,4,4,0,123.6950,108.2700,-0.846284
17,5,5,0,144.5706,131.6400,-1.007768
17,6,6,0,145.5214,132.2400,-0.998120
18,1,1,0,38.9816,35.9920,-1.080595
18,2,2,0,79.7366,73.4130,-1.064807
18,3,3,0,80.3256,73.4130,-1.026134
18,4,4,0,122.1108,108.2700,-0.893346
18,5,5,0,143.2108,131.6400,-1.056026
18,6,6,0,143.9846,132.2400,-1.051524
19,1,1,0,38.5779,35.9920,-1.143598
19,2,2,0,79.0642,73.4130,-1.113631
19,3,3,0,79.5603,73.4130,-1.077086
19,4,4,0,120.6729,108.2700,-0.940985
19,5,5,0,142.0029,131.6400,-1.103906
19,6,6,0,142.6830,132.2400,-1.102538
20,1,1,0,38.2582,35.9920,-1.200900
20,2,2,0,78.5124,73.4130,-1.158258
20,3,3,0,78.9462,73.4130,-1.122795
20,4,4,0,119.4695,108.2700,-0.985309
20,5,5,0,141.0057,131.6400,-1.147849
20,6,6,0,141.5710,132.2400,-1.151435
21,1,1,0,38.0305,35.9920,-1.246901
21,2,2,0,78.0091,73.4130,-1.203387
21,3,3,0,78.3962,73.4130,-1.168260
21,4,4,0,118.4164,108.2700,-1.028197
21,5,5,0,140.1320,131.6400,-1.190379
21,6,6,0,140.5616,132.2400,-1.201158
22,1,1,0,37.8275,35.9920,-1.292457
22,2,2,0,77.5554,73.4130,-1.248517
22,3,3,0,77.8714,73.4130,-1.216595
22,4,4,0,117.4651,108.2700,-1.070949
22,5,5,0,139.4066,131.6400,-1.229158
22,6,6,0,139.7154,132.2400,-1.247726
23,1,1,0,37.7074,35.9920,-1.321851
23,2,2,0,77.1741,73.4130,-1.290456
23,3,3,0,77.4509,73.4130,-1.259612
23,4,4,0,116.6641,108.2700,-1.110534
23,5,5,0,138.7480,131.6400,-1.267638
23,6,6,0,138.9894,132.2400,-1.292098
24,1,1,0,37.5537,35.9920,-1.362611
24,2,2,0,76.8208,73.4130,-1.333294
24,3,3,0,77.0942,73.4130,-1.299782
24,4,4,0,115.8790,108.2700,-1.153178
24,5,5,0,138.1816,131.6400,-1.303705
24,6,6,0,138.3381,132.2400,-1.336172
25,1,1,0,37.3411,35.9920,-1.426159
25,2,2,0,76.5061,73.4130,-1.375377
25,3,3,0,76.7936,73.4130,-1.336778
25,4,4,0,115.2518,108.2700,-1.190541
25,5,5,0,137.6677,131.6400,-1.339238
25,6,6,0,137.7535,132.2400,-1.379932
