n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
9,1,1,1,20.1497,19.7390,-1.681787
9,2,2,1,48.8901,49.3476,-2.032890
9,3,1,2,50.2214,49.3476,-1.751837
9,4,2,2,77.9049,78.9557,-1.875889
9,5,1,3,96.6265,98.6942,-1.678793
9,6,3,1,100.0024,98.6942,-1.877626
9,7,2,3,120.2463,128.3018,-1.202137
9,8,2,3,127.8243,128.3018,-2.429245
9,9,1,4,162.6254,167.7781,-1.512698
9,10,1,4,165.1161,167.7781,-1.799533
9,11,1,4,166.5512,167.7781,-2.135931
9,12,3,3,182.9463,177.6471,-1.525347
9,13,4,2,195.3091,197.3849,-1.978119
9,14,2,4,208.3481,197.3849,-1.255378
9,15,4,3,232.1992,246.7289,-1.229964
9,16,5,1,255.7179,256.5976,-2.464931
9,17,1,5,266.6626,256.5976,-1.406436
9,18,1,5,268.5444,256.5976,-1.332000
9,19,2,5,281.2989,286.2034,-1.766076
9,20,5,2,286.8674,286.2034,-2.634491
10,1,1,1,19.5264,19.7390,-1.967691
10,2,2,1,48.2965,49.3476,-1.671639
10,3,2,1,49.1453,49.3476,-2.387323
10,4,2,2,76.2983,78.9557,-1.472930
10,5,1,3,96.8761,98.6942,-1.734658
10,6,1,3,98.0355,98.6942,-2.175606
10,7,2,3,119.6529,128.3018,-1.171271
10,8,2,3,125.2272,128.3018,-1.620439
10,9,1,4,162.0748,167.7781,-1.468609
10,10,1,4,165.6219,167.7781,-1.891045
10,11,1,4,166.3361,167.7781,-2.065790
10,12,3,3,185.8555,177.6471,-1.335299
10,13,4,2,191.3914,197.3849,-1.517635
10,14,2,4,211.8544,197.3849,-1.134859
10,15,4,3,231.4121,246.7289,-1.207053
10,16,3,4,251.0967,246.7289,-1.751951
10,17,3,4,251.2968,246.7289,-1.732501
10,18,1,5,260.1757,256.5976,-1.855598
10,19,1,5,268.1471,256.5976,-1.346687
10,20,2,5,272.5896,286.2034,-1.322695
11,1,1,1,19.3426,19.7390,-1.697172
11,2,2,1,48.1883,49.3476,-1.629092
11,3,2,1,48.7982,49.3476,-1.953432
11,4,2,2,75.9767,78.9557,-1.423316
11,5,1,3,97.1645,98.6942,-1.809686
