mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
1,1,1,19.3135,19.7390,-1.666478,-1.663456,-1.397147,0.392872
2,2,1,48.2449,49.3476,-1.650812,-0.149864,-0.149251,0.207143
3,2,1,48.7299,49.3476,-1.902519,-0.149707,-0.149312,0.210997
4,2,2,76.1143,78.9557,-1.443851,-0.889002,-0.808159,0.291777
5,1,3,97.3450,98.6942,-1.864205,-0.148348,-0.148460,0.220659
6,1,3,97.4546,98.6942,-1.901010,-0.147163,-0.146343,0.183127
7,2,3,121.1119,128.3018,-1.251511,-0.145513,-0.142126,0.172705
8,2,3,124.7755,128.3018,-1.560908,-0.145246,-0.143543,0.179281
9,1,4,165.2278,167.7781,-1.818148,0.014962,0.014031,0.019346
10,1,4,165.8388,167.7781,-1.937092,-0.143784,-0.142774,0.169444
11,1,4,166.1856,167.7781,-2.022657,-0.140936,-0.139937,0.163159
12,4,2,188.8308,197.3849,-1.363138,-0.087818,-0.084465,0.087187
13,4,2,190.3832,197.3849,-1.450110,-0.138372,-0.136842,0.200661
14,2,4,220.2502,197.3849,-0.936137,0.074994,0.075779,0.121905
15,4,3,234.0599,246.7289,-1.289478,-0.108167,-0.103926,0.113025
16,5,1,253.1408,256.5976,-1.870587,-0.141144,-0.140222,0.163986
17,5,1,253.1777,256.5976,-1.875239,-0.130659,-0.129568,0.145706
18,2,5,272.5566,286.2034,-1.321644,-0.132385,-0.128549,0.148533
19,2,5,274.8174,286.2034,-1.400305,0.032152,0.027139,0.037428
20,2,5,274.9111,286.2034,-1.403893,-0.129813,-0.126350,0.148969
21,4,4,303.5984,315.8089,-1.412690,0.000000,-0.000000,-0.000000
22,4,4,314.7244,315.8089,-2.464178,-0.051460,-0.053273,0.102301
23,5,3,330.0960,335.5458,-1.789371,0.041516,0.033783,0.053246
24,6,1,358.7122,365.1508,-1.753682,-0.050117,-0.049499,0.060477
25,6,1,360.8346,365.1508,-1.927374,-0.127418,-0.125205,0.140979
26,6,1,364.7997,365.1508,-3.017151,-0.045238,-0.048335,0.108067
27,1,6,374.5421,365.1508,-1.589746,0.014753,0.013143,0.020048
28,1,6,376.9935,365.1508,-1.489021,0.002260,0.002215,0.002802
29,2,6,385.7036,394.7554,-1.639593,-0.033040,-0.033895,0.048840
30,5,4,401.4200,404.6236,-2.101422,0.000000,0.000000,-0.000000
31,4,5,412.8263,404.6236,-1.693094,-0.024401,-0.026094,0.072372
32,6,3,430.8879,444.0958,-1.526643,0.004224,0.003364,0.005315
33,6,3,431.1142,444.0958,-1.534148,-0.000000,-0.000000,0.000000
34,3,6,455.6370,444.0958,-1.585226,0.001399,0.001161,0.002150
35,7,1,474.5335,493.4353,-1.416728,-0.066827,-0.065108,0.066929
36,7,1,475.6423,493.4353,-1.442982,-0.087825,-0.086579,0.094995
37,7,1,481.8133,493.4353,-1.627951,0.004113,0.002400,0.012000
38,7,1,483.5878,493.4353,-1.699904,0.009621,0.008201,0.011297
39,7,1,488.2174,493.4353,-1.975736,0.011529,0.010580,0.012590
40,5,5,499.7208,493.4353,-1.894893,0.000000,0.000000,0.000000
41,6,4,512.0886,513.1708,-2.675946,0.000000,0.000000,-0.000000
42,2,7,520.4316,523.0386,-2.302397,0.000000,0.000000,0.000000
43,7,2,523.6680,523.0386,-2.919593,0.010720,0.009246,0.004057
44,7,3,558.2398,572.3766,-1.607332,0.001836,0.001430,0.002408
45,7,3,562.2820,572.3766,-1.753591,0.009876,0.008619,0.006306
46,3,7,572.6832,572.3766,-3.271057,0.008303,0.007702,0.009848
47,5,6,597.3878,601.9790,-2.117655,0.015961,0.010862,0.025124
48,8,1,636.8833,641.4484,-2.147719,0.000000,0.000000,0.000000
49,8,1,638.5807,641.4484,-2.349636,0.000000,0.000000,-0.000000
50,2,8,681.1716,671.0500,-1.821505,0.013456,0.013441,0.014848
51,2,8,681.3239,671.0500,-1.815021,0.024812,0.024774,0.027340
52,2,8,687.3703,671.0500,-1.614027,-0.085677,-0.073514,0.088651
53,2,8,687.9157,671.0500,-1.599751,-0.074487,-0.064774,0.076927
54,6,6,696.7143,710.5184,-1.711569,0.000000,0.000000,0.000000
55,6,6,700.4484,710.5184,-1.848549,0.002841,0.002646,0.003020
56,6,6,707.1908,710.5184,-2.329455,0.001308,0.000980,0.001867
57,3,8,715.5041,720.3854,-2.169033,0.012484,0.011190,0.014353
58,8,3,724.5272,720.3854,-2.240369,0.018759,0.017783,0.021190
59,7,5,744.3638,730.2523,-1.713901,0.000000,0.000000,-0.000000
60,7,5,746.3360,730.2523,-1.657086,0.000000,-0.000000,0.000000
61,8,4,760.5469,789.4533,-1.436332,0.004775,0.004257,0.007640
62,8,4,760.5469,789.4533,-1.436333,0.003399,0.002975,0.004510
63,8,4,760.6875,789.4533,-1.438449,-0.000000,-0.000000,0.000000
64,8,4,767.1559,789.4533,-1.549071,0.006596,0.006060,0.006515
65,8,4,771.0806,789.4533,-1.633152,0.001735,0.001589,0.001775
66,8,4,774.4888,789.4533,-1.722262,-0.002057,-0.002773,0.011577
67,8,4,779.1283,789.4533,-1.883435,0.000000,0.000000,-0.000000
68,4,8,795.3185,789.4533,-2.129044,-0.013446,-0.012551,0.018170
69,1,9,801.0653,809.1867,-1.998418,0.001264,0.001157,0.001361
70,1,9,807.1406,809.1867,-2.597108,0.004879,0.004646,0.005223
