mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
1,5798.766438383425,922.9023425041067,1,1,5769.321520089672,918.2160382087188,19.162269147979007,19.064967169121854,0.5103705555535725,0.5103705555535725,1.396442946672319e-05,0,11.24668393269135,2.0340063690311325
2,16891.892857983126,2688.428246526698,1,2,13763.685069037629,2190.5585138974534,55.81997495552419,45.48267990501187,22.727981447226068,22.727981447226068,1.5584655601986387e-06,0,16.8568925275036,1.9399496322742589
3,16891.893276205825,2688.4283130889075,2,1,13763.685069037629,2190.5585138974534,55.8199763375588,45.48267990501187,22.72798448582145,22.72798448582145,1.8173797337694204e-06,0,16.85690270549805,1.9399507964351212
4,24237.213228819663,3857.472292138926,2,2,21120.735623820692,3361.469476268149,80.09289703640414,69.79436487526272,14.75553532086305,14.75553532086305,1.1297794305711743e-06,0,18.487300895917752,1.9999984738566727
5,40942.28649987268,6516.167277939311,3,1,25733.673489295496,4095.6413397342403,135.29551875914888,85.03801330987261,59.10004654758503,59.10004654758503,4.722939214783743e-07,1,26.37090397943023,2.921256708781069
6,43188.31961432837,6873.634550453019,1,3,25733.67348929564,4095.6413397342635,142.71763025679215,85.0380133098731,67.8280391343789,67.8280391343789,2.951590423272122e-07,1,21.62060774642295,2.0318925187729344
7,43188.3221886391,6873.634960167296,2,3,32283.93410886528,5138.147695878953,142.7176387637109,106.68362678910695,33.776515721420196,33.776515721420196,2.965754173147217e-07,1,21.62057109163097,2.0318890584710223
8,43852.770473501616,6979.385189132098,3,2,32283.93410886528,5138.147695878953,144.91333624605303,106.68362678910695,35.83465486462968,35.83465486462968,4.2022523545473305e-07,1,24.574552523478825,1.9999944831537384
9,44489.17913922164,7080.672774107958,1,4,40435.63918572103,6435.531853487844,147.0163756200674,133.62128126397894,10.024671391696538,10.024671391696538,3.149067674410272e-07,1,12.8639825264911,1.1584686641323505
10,84167.8494234976,13395.729285163976,4,1,40435.63918572103,6435.531853487844,278.13622110796007,133.62128126397894,108.1526374219395,108.1526374219395,4.6995181445072985e-07,1,2433.2124839918574,1.999999212416591
11,84544.82442683002,13455.726720366414,3,3,42383.20988535649,6745.497357355768,279.3819509632101,140.05711107842072,99.47716243181588,99.47716243181588,1.312854801317795e-06,0,4578.077978891156,1.921539133469049
12,84544.82453424082,13455.726737461375,2,4,46181.48317046337,7350.01132589442,279.38195131815365,152.60866592377968,83.07082997350282,83.07082997350282,5.377806764407617e-07,1,4578.084029846865,1.9215401389908344
13,95770.28476125227,15242.314221071718,4,2,46181.48317046337,7350.01132589442,316.47695979376556,152.60866592377968,107.37810521967985,107.37810521967985,4.461451969194382e-07,1,902.3177961585906,1.550880796466662
14,107873.69483999688,17168.63176337219,4,3,55173.682376701785,8781.164278834282,356.4731907166173,182.32376882594457,95.51657636965837,95.51657636965837,4.863973071229859e-07,1,2232.8606484715783,1.7278667444165257
15,107873.69499478268,17168.63178800711,3,4,55173.68237670185,8781.164278834292,356.47319122811354,182.3237688259448,95.51657665020095,95.51657665020095,2.0711589500678617e-07,1,2232.8605913017736,1.7278665630625063
16,123318.50534597624,19626.74970051644,1,5,56894.84205927859,9055.095350166857,407.51122078730543,188.01141385090637,116.74812844632034,116.74812844632034,2.593587629236888e-07,1,31214693874.478664,1.57211548708157
17,134253.6336917153,21367.129430085115,5,1,56894.84205927866,9055.095350166868,443.64681527197695,188.0114138509066,135.968022464737,135.968022464737,3.2688838968364216e-07,1,158180.80612625155,1.9999845092381303
18,134447.41573531178,21397.97080020594,2,5,61920.728574696885,9854.99003251458,444.2871762375198,204.61966857869848,117.12828455034037,117.12828455034037,4.835418111189891e-07,1,6135.523599300313,1.497194527455454
19,134447.4159805403,21397.970839235273,5,2,61920.728574696885,9854.99003251458,444.2871770478879,204.61966857869848,117.12828494637661,117.12828494637661,1.5494648501726952e-07,1,6135.52408796049,1.4971944430625768
20,134521.69263228873,21409.792335517348,4,4,66756.69035149952,10624.657253896185,444.53262738760026,220.60030896853021,101.51042827914405,101.51042827914405,2.316428505293156e-07,1,17838941900.319347,1.6993227332806804
21,138659.40613854292,22068.329893135804,3,5,69884.34945913962,11122.439661183493,458.2058768116924,230.93579087844404,98.41267352658853,98.41267352658853,3.8884888548499145e-07,1,13532.08651722607,1.9999982556236944
22,142232.4766995692,22637.001734939266,5,3,69884.34945913962,11122.439661183493,470.0132397228624,230.93579087844404,103.52550721350065,103.52550721350065,7.954773284880327e-07,1,5255.261093123336,2.035235358457199
23,142232.47686060783,22637.00176056936,6,1,74443.24920110803,11848.011090178132,470.01324025502134,246.0008680465813,91.06161859803777,91.06161859803777,1.4656446842511974e-07,1,5255.261277075717,2.035235231130753
24,143501.85123119567,22839.028966282578,1,6,74443.24920110813,11848.011090178148,474.20794159317904,246.00086804658164,92.76677572673651,92.76677572673651,2.2795359710975837e-07,1,26572953072.98914,1.5756057352049757
