mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,k_num,k_ref,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,phi_1_norm,phi_2_norm,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,16,w1,9.458912253472652e6,0.0,104.65598985560207,4.0,true,true,10.637107118835429,2.0096635394588676,-3.111900601595198e-10,4,1.0,21,1.0,7.4053497077399095,7.366824011867357,true,0.0,0.0
2,17,w2,1.3990114366895234e7,0.0,154.7904482064486,4.0,true,true,15.009938298163647,2.0608407459256894,-0.9999951452222233,18,1.0,24,1.0,13.227800852157598,6.787964919640567,true,0.0,0.0
3,18,w3,2.42401163067175e7,0.0,268.19927052004084,4.0,true,true,15.548821633002566,2.1120043386023384,-1.0,17,0.8785726757418206,21,1.0,13.874058958321555,6.694458892970434,true,0.0,0.0
4,19,w4,3.2067765211217396e7,0.0,354.80651693379195,4.0,true,true,16.172718908721766,2.0273357420411697,-0.9999963253641772,25,1.0,17,1.0,13.448050975173816,8.751952448379482,true,0.0,0.0
5,20,w5,3.2861071794967663e7,0.0,363.5838777503985,4.0,true,true,17.22542791485764,2.1499033502298586,-1.0,19,0.9220619504601898,17,1.0,12.245283955315967,11.92251245704145,true,0.0,0.0
6,21,w6,5.2223507500621125e7,0.0,577.8151572557841,4.0,true,true,15.611700787700991,1.9902390340471197,-0.6964495263018824,24,1.0,21,1.0,11.445110392585713,10.429458191755957,true,0.0,0.0
7,22,w7,6.274204795580246e7,0.0,694.1951630824636,4.0,true,true,16.1607930539424,2.111139099742909,-0.99999999398604,22,1.0,20,1.0,8.093539506168941,13.827832154606602,true,0.0,0.0
8,23,w8,9.05314756574576e7,0.0,1001.6649847387193,4.0,true,true,15.408343811392907,2.1466261135000195,-1.0,17,0.9999996989387143,25,1.0,8.672488146715352,12.553764562234374,true,0.0,0.0
9,24,w9,1.3459270372325113e8,0.0,1489.1704519541615,4.0,true,true,1834.569551454173,1.7658250233960988,-0.9998801478292633,23,1.0,19,1.0,1121.6909454608808,1451.7064937017492,true,0.0,0.0
10,25,w10,1.368173906490636e8,0.0,1513.7849960053807,4.0,true,true,908.0775206790651,2.068805583533307,-0.26725711042014777,20,1.0,18,1.0,559.6592278521274,715.1098183398519,true,0.0,0.0
11,26,w11,1.459907360042147e8,0.0,1615.2813956657294,4.0,true,true,323.0708480119009,1.8287030845813748,-0.9999986118927094,23,1.0,19,1.0,202.85389704135036,251.43930706095742,true,0.0,0.0
12,27,w12,1.6248539971081424e8,0.0,1797.7828621441486,4.0,true,true,278.8533907363789,1.4153356374113297,-0.6833303141935584,20,1.0,21,1.0,187.22857419459416,206.6462468937397,true,0.0,0.0
13,28,w13,1.7433601027647492e8,0.0,1928.9012556663158,4.0,true,true,1.8638261889672667e7,2.08944640649112,-1.0,20,0.8257491189868857,23,1.0,1.31792547681612e7,1.3179227975261698e7,true,0.0,0.0
14,29,w14,1.899894129244401e8,0.0,2102.094779914271,4.0,true,true,407.77733238119833,1.895693480597007,-0.659233037990854,19,1.0,22,1.0,254.88523087044328,318.295897294129,true,0.0,0.0
15,30,w15,1.9276385038458037e8,0.0,2132.7919140986846,4.0,true,true,366.67321620037006,1.6650874159287958,-1.0,19,0.9999656538649953,23,1.0,231.93609228130066,283.9931760798146,true,0.0,0.0
16,31,w16,2.0617653411959827e8,0.0,2281.1935120089606,4.0,true,true,274.3397626004293,1.642431741699306,-0.6369485696432285,17,1.0,21,1.0,180.11992235254283,206.9212926050572,true,0.0,0.0
17,32,w17,2.3107528279035506e8,0.0,2556.680070978491,4.0,true,true,315.9838769205881,1.9363386199017751,-1.0,25,0.9999941284727526,17,1.0,221.3499957498563,225.49110946565725,true,0.0,0.0
18,33,w18,2.478211924840012e8,0.0,2741.9613917115003,4.0,true,true,436.6672254700369,1.525426929915348,-0.7414935485144362,22,1.0,21,1.0,322.89686031908036,293.96182825064517,true,0.0,0.0
19,34,w19,3.0461485446590924e8,0.0,3370.3419869600625,4.0,true,true,15.387959699745856,1.9996924859464311,-0.6954280533563838,22,1.0,21,1.0,7.303804735514033,13.395707150730594,true,0.0,0.0
20,35,w20,4.452460254330187e8,0.0,4926.323690534051,4.0,true,true,426.2735824393395,1.9566024321819853,-1.0,19,0.9991293014914079,23,1.0,282.91015800701274,318.85291481972973,true,0.0,0.0
21,36,w21,4.542660547317715e8,0.0,5026.123759452223,4.0,true,true,316.5013190899246,1.8087099502878121,-0.24265982021391416,25,1.0,23,1.0,213.5512599097514,233.5929642453638,true,0.0,0.0
22,37,w22,4.9104379280942875e8,0.0,5433.042703198021,4.0,true,true,235.25912805119313,1.91090859305806,-1.0,20,0.9999981591902029,22,1.0,165.58956287669497,167.10267031397717,true,0.0,0.0
23,38,w23,5.572048030546284e8,0.0,6165.066199294619,4.0,true,true,133.2203227333605,1.8337328746454644,-0.6960199440174012,22,1.0,21,1.0,99.63324246585702,88.41667720891185,true,0.0,0.0
24,39,w24,5.869707735134584e8,0.0,6494.405030113964,4.0,true,true,804.526302465591,2.1438331515609113,-0.9999946040984717,24,1.0,18,1.0,623.9471820683984,507.8857049841813,true,0.0,0.0
25,40,w25,1.9004417640448182e9,0.0,21027.006980217786,4.0,true,true,815.2674705297444,2.1501279441835313,-5.578616605804343e-8,13,1.0,22,1.0,567.3213918113195,585.4936924058693,true,0.0,0.0
26,41,w26,1.9370372696754506e9,0.0,21431.909654374005,4.0,true,true,882.3952569682966,2.042944530866815,-0.9999656965002816,20,1.0,22,1.0,621.8971053471321,625.9881838011386,true,0.0,0.0
27,42,w27,2.0736664062565057e9,0.0,22943.61175592981,4.0,true,true,709.0633476166441,1.6310034735521939,-0.4992015254964147,25,1.0,21,1.0,517.5566570609485,484.6682138255891,true,0.0,0.0
28,43,w28,2.335944688218106e9,0.0,25845.53033607528,4.0,true,true,1616.4159068270462,2.0103260312941607,-0.9999997653945882,19,1.0,23,1.0,1241.4757391946514,1035.1494246841103,true,0.0,0.0
29,44,w29,2.542946549077055e9,0.0,28135.855488652043,4.0,true,true,1617.9765838046803,2.1560694366169466,-0.8148066341884935,22,1.0,21,1.0,1277.3062107366613,993.1426992725667,true,0.0,0.0
30,45,w30,8.897306485669344e15,0.0,9.844223017974797e10,4.0,true,true,10.615034627132978,2.4515503732088697,-1.0,12,0.9999999999904703,6,1.0,7.10427723274063,7.49653959525425,true,0.0,0.0
31,46,w31,9.062584801516046e15,0.0,1.0027091462919438e11,4.0,true,true,11.881073853301686,2.49165362098669,-0.8502136330351412,5,1.0,6,1.0,8.035659767452074,8.389263986929066,true,0.0,0.0
32,47,w32,1.6170696286175978e16,0.0,1.7891700241354272e11,4.0,true,true,8.342892574572076,2.6586261631614603,-1.0,7,0.99999999948505,5,1.0,5.802740141676938,5.372501306056087,true,0.0,0.0
33,48,w33,1.6426636654120014e16,0.0,1.8174879658113913e11,4.0,true,true,10.198448690631666,2.7048007706298303,-0.9999999999299696,7,1.0,13,1.0,6.955849679390254,6.950436225473445,true,0.0,0.0
34,49,w34,4.045334298843946e16,0.0,4.475868408514941e11,4.0,true,true,6.589743308937227,2.410808526368685,-1.0,6,0.999999999958416,12,1.0,4.161177562733909,4.505254756200908,true,0.0,0.0
35,50,w35,4.106762366299018e16,0.0,4.54383410089217e11,4.0,true,true,7.658383916338066,2.4471157913322954,-0.9085363586266005,4,1.0,12,1.0,4.997039645171482,5.262324894799079,true,0.0,0.0
36,51,w36,5.000000002038908e16,0.0,5.532136629127545e11,4.0,true,true,8.220346016366701,2.2692317162727202,-0.9999999999999243,15,1.0,9,1.0,6.982337662341273,3.6975176559021947,true,0.0,0.0
37,52,w37,5.000000010260463e16,0.0,5.532136638224099e11,4.0,true,true,10.499771475414626,2.236059426300685,-1.0,16,0.9999999986175324,8,1.0,7.819379050979543,6.64097511929421,true,0.0,0.0
38,53,w38,5.000000031386845e16,0.0,5.532136661598905e11,4.0,true,true,9.975324863529366,2.2207309397146364,-0.9999999999993155,9,1.0,15,1.0,6.747809629996941,7.003036871505237,true,0.0,0.0
39,54,w39,1.7668644682546157e17,0.0,1.9549071279098894e12,4.0,true,true,10.706951706227633,2.452820018013953,-1.0,1,0.9999999997146848,2,1.0,7.432322483247942,7.3063719658752655,true,0.0,0.0
40,55,w40,1.794066969774398e17,0.0,1.9850047189099133e12,4.0,true,true,10.994612115473675,2.4875000078013425,-0.9999999999722646,1,1.0,3,1.0,7.521743718610974,7.623464482270853,true,0.0,0.0
