mode_rank,eigen_index,vtk_w_field,omega_sq,omega,node_row,node_id,x,y,w_normalized
1,1,w1,3.3625692206921995e7,5798.766438383425,1,1,0.0,0.0,-2.910739551173907e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,2,2,1.0,0.0,-2.910807219793186e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,3,3,1.0,1.0,-2.9106979575365345e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,4,4,0.0,1.0,-2.9105919242790266e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,5,5,0.24999999999941094,0.0,3.09292191461514e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,6,6,0.4999999999986921,0.0,9.203075148800053e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,7,7,0.7499999999993406,0.0,3.092999368115049e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,8,8,1.0,0.24999999999941094,3.0929567675028984e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,9,9,1.0,0.4999999999986921,9.203156964523573e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,10,10,1.0,0.7499999999993406,3.092905428095553e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,11,11,0.7500000000003471,1.0,3.092936172795602e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,12,12,0.5000000000020595,1.0,9.203147525705928e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,13,13,0.2500000000010405,1.0,3.092814518397714e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,14,14,0.0,0.7500000000003471,3.092776501243038e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,15,15,0.0,0.5000000000020595,9.20317883781996e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,16,16,0.0,0.2500000000010405,3.09272885339421e-11
1,1,w1,3.3625692206921995e7,5798.766438383425,17,17,0.24999999999981837,0.25000000000063316,0.5111987926107037
1,1,w1,3.3625692206921995e7,5798.766438383425,18,18,0.2500000000002257,0.5000000000012177,0.7231668265731837
1,1,w1,3.3625692206921995e7,5798.766438383425,19,19,0.25000000000063316,0.7500000000000954,0.5111987770157154
1,1,w1,3.3625692206921995e7,5798.766438383425,20,20,0.49999999999953393,0.2500000000002257,0.7231682296028126
1,1,w1,3.3625692206921995e7,5798.766438383425,21,21,0.5000000000003757,0.5000000000003757,1.0
1,1,w1,3.3625692206921995e7,5798.766438383425,22,22,0.5000000000012177,0.749999999999844,0.7231666047847937
1,1,w1,3.3625692206921995e7,5798.766438383425,23,23,0.7499999999995922,0.24999999999981837,0.5112003112111336
1,1,w1,3.3625692206921995e7,5798.766438383425,24,24,0.749999999999844,0.49999999999953393,0.7231677283737143
1,1,w1,3.3625692206921995e7,5798.766438383425,25,25,0.7500000000000953,0.7499999999995921,0.5111983048562353
2,2,w2,2.853360443255813e8,16891.892857983126,1,1,0.0,0.0,3.3830195153350585e-11
2,2,w2,2.853360443255813e8,16891.892857983126,2,2,1.0,0.0,-1.6369480097885059e-16
2,2,w2,2.853360443255813e8,16891.892857983126,3,3,1.0,1.0,-3.382998672266502e-11
2,2,w2,2.853360443255813e8,16891.892857983126,4,4,0.0,1.0,-2.28804087167045e-16
2,2,w2,2.853360443255813e8,16891.892857983126,5,5,0.24999999999941094,0.0,-2.2502171715826898e-10
2,2,w2,2.853360443255813e8,16891.892857983126,6,6,0.4999999999986921,0.0,-2.765302712775061e-10
2,2,w2,2.853360443255813e8,16891.892857983126,7,7,0.7499999999993406,0.0,-2.086960149921182e-11
2,2,w2,2.853360443255813e8,16891.892857983126,8,8,1.0,0.24999999999941094,2.087090939264304e-11
2,2,w2,2.853360443255813e8,16891.892857983126,9,9,1.0,0.4999999999986921,2.765324293245789e-10
2,2,w2,2.853360443255813e8,16891.892857983126,10,10,1.0,0.7499999999993406,2.2502115402126485e-10
2,2,w2,2.853360443255813e8,16891.892857983126,11,11,0.7500000000003471,1.0,2.2502084454309364e-10
2,2,w2,2.853360443255813e8,16891.892857983126,12,12,0.5000000000020595,1.0,2.7652960432700164e-10
2,2,w2,2.853360443255813e8,16891.892857983126,13,13,0.2500000000010405,1.0,2.0869639355905286e-11
2,2,w2,2.853360443255813e8,16891.892857983126,14,14,0.0,0.7500000000003471,-2.0870182813553277e-11
2,2,w2,2.853360443255813e8,16891.892857983126,15,15,0.0,0.5000000000020595,-2.7653229576661984e-10
2,2,w2,2.853360443255813e8,16891.892857983126,16,16,0.0,0.2500000000010405,-2.2502109724931802e-10
2,2,w2,2.853360443255813e8,16891.892857983126,17,17,0.24999999999981837,0.25000000000063316,-1.0
2,2,w2,2.853360443255813e8,16891.892857983126,18,18,0.2500000000002257,0.5000000000012177,-0.6639692205444986
2,2,w2,2.853360443255813e8,16891.892857983126,19,19,0.25000000000063316,0.7500000000000954,-3.3512101495192584e-6
2,2,w2,2.853360443255813e8,16891.892857983126,20,20,0.49999999999953393,0.2500000000002257,-0.66396416289194
2,2,w2,2.853360443255813e8,16891.892857983126,21,21,0.5000000000003757,0.5000000000003757,1.2469172824313264e-7
2,2,w2,2.853360443255813e8,16891.892857983126,22,22,0.5000000000012177,0.749999999999844,0.6639642796426599
2,2,w2,2.853360443255813e8,16891.892857983126,23,23,0.7499999999995922,0.24999999999981837,5.1640739625737314e-6
2,2,w2,2.853360443255813e8,16891.892857983126,24,24,0.749999999999844,0.49999999999953393,0.6639699376910255
2,2,w2,2.853360443255813e8,16891.892857983126,25,25,0.7500000000000953,0.7499999999995921,0.9999981987428949
3,3,w3,2.8533605845472753e8,16891.893276205825,1,1,0.0,0.0,5.169805449771569e-17
