mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,1,w1,3.3625692206921995e7,5798.766438383425,true,true,11.24668393269135,2.0340063690311325,-2.910807219793186e-11,2,1.0,21,1.0,true,0.0,0.0
2,2,w2,2.853360443255813e8,16891.892857983126,true,true,16.8568925275036,1.9399496322742589,-1.0,17,0.9999981987428949,25,1.0,true,0.0,0.0
3,3,w3,2.8533605845472753e8,16891.893276205825,true,true,16.85690270549805,1.9399507964351215,-1.0,23,0.9999993313836173,19,1.0,true,0.0,0.0
4,4,w4,5.874425050992708e8,24237.213228819663,true,true,18.487300895917752,1.9999984738566732,-0.9999994020005644,19,1.0,25,1.0,true,0.0,0.0
5,5,w5,1.6762708238376565e9,40942.28649987268,true,true,26.37090397943023,2.9212567087810695,-1.0,20,0.9639031365604865,17,1.0,true,0.0,0.0
6,6,w6,1.8652309511093805e9,43188.31961432837,true,true,21.62060774642295,2.0318925187729344,-0.9999995532946684,19,1.0,23,1.0,true,0.0,0.0
7,7,w7,1.865231173469696e9,43188.3221886391,true,true,21.62057109163097,2.0318890584710223,-0.9999961111815122,17,1.0,25,1.0,true,0.0,0.0
8,8,w8,1.9230654782016153e9,43852.770473501616,true,true,24.574552523478825,1.9999944831537386,-1.0,24,0.9999958593618397,20,1.0,true,0.0,0.0
9,9,w9,1.979287060481754e9,44489.17913922164,true,true,12.8639825264911,1.1584686641323503,-0.21558506315808756,17,1.0,21,1.0,true,0.0,0.0
10,10,w10,7.084226876576565e9,84167.8494234976,true,true,2433.2124839918574,1.999999212416591,-1.0,24,0.9999996169500786,20,1.0,true,0.0,0.0
11,11,w11,7.147827337363513e9,84544.82442683002,true,true,4578.077978891156,1.921539133469049,-0.9999987029036922,25,1.0,17,1.0,true,0.0,0.0
12,12,w12,7.147827355525568e9,84544.82453424082,true,true,4578.084029846865,1.9215401389908342,-0.9999996129952181,23,1.0,19,1.0,true,0.0,0.0
13,13,w13,9.171947443251352e9,95770.28476125229,true,true,902.3177961585906,1.550880796466662,-0.5643600211499085,24,1.0,21,1.0,true,0.0,0.0
14,14,w14,1.1636734038432766e10,107873.69483999687,true,true,2232.8606484715783,1.7278667444165257,-1.0,25,0.999999921972485,17,1.0,true,0.0,0.0
15,15,w15,1.16367340718274e10,107873.69499478268,true,true,2232.8605913017736,1.7278665630625065,-0.9999998962622969,19,1.0,23,1.0,true,0.0,0.0
16,16,w16,1.520745376076557e10,123318.50534597624,true,true,3.1214693874478664e10,1.5721154870815701,-0.6322645202022533,20,1.0,17,1.0,true,0.0,0.0
17,17,w17,1.8024038159429276e10,134253.6336917153,true,true,158180.80612625155,1.9999845092381303,-1.0,17,0.9999940702666957,23,1.0,true,0.0,0.0
18,18,w18,1.8076107597903763e10,134447.41573531178,true,true,6135.523599300313,1.497194527455454,-1.0,25,0.9999999792452102,17,1.0,true,0.0,0.0
19,19,w19,1.8076107663844444e10,134447.4159805403,true,true,6135.52408796049,1.4971944430625768,-1.0,19,0.9999999363093044,23,1.0,true,0.0,0.0
20,20,w20,1.8096085788655968e10,134521.69263228873,true,true,1.7838941900319347e10,1.6993227332806804,-0.9948458055133517,23,1.0,19,1.0,true,0.0,0.0
21,21,w21,1.9226430910693398e10,138659.40613854292,true,true,13532.08651722607,1.9999982556236946,-0.9999992578348705,24,1.0,20,1.0,true,0.0,0.0
22,22,w22,2.02300774280935e10,142232.4766995692,true,true,5255.261093123336,2.035235358457199,-0.9999999584203811,17,1.0,25,1.0,true,0.0,0.0
23,23,w23,2.0230077473903343e10,142232.47686060783,true,true,5255.261277075717,2.035235231130753,-1.0,23,0.9999999590435708,19,1.0,true,0.0,0.0
24,24,w24,2.0592781306780212e10,143501.85123119567,true,true,2.657295307298914e10,1.5756057352049755,-0.6091371968103697,23,1.0,20,1.0,true,0.0,0.0
25,25,w25,2.1147457950721153e10,145421.6557144126,true,true,8462.722823903208,1.9999993098928843,-0.9999996022804345,17,1.0,19,1.0,true,0.0,0.0
26,26,w26,2.185490086203541e10,147834.03147460808,true,true,13158.060696072467,2.2264744762144657,-1.0,24,0.9999993759808009,20,1.0,true,0.0,0.0
27,27,w27,2.185490086292001e10,147834.03147759993,true,true,13158.090051965562,2.2264784807490607,-0.9999997454547903,24,1.0,22,1.0,true,0.0,0.0
28,28,w28,2.2638703907231472e10,150461.63599812236,true,true,39255.337739719784,1.9999978139913395,-0.9999995070926085,22,1.0,18,1.0,true,0.0,0.0
29,29,w29,2.3595436069637917e10,153608.05991105386,true,true,7133.770263890405,1.3288866164548563,-0.43669275583371336,18,1.0,21,1.0,true,0.0,0.0
30,30,w30,2.457862979686191e10,156775.73089245002,true,true,3.3054279423507782e10,1.716257408863007,-0.9722104694411495,23,1.0,17,1.0,true,0.0,0.0
31,31,w31,2.4639755942619617e10,156970.55756612326,true,true,2141.6141335720304,1.9999996830167728,-1.0,23,0.9999999564282267,25,1.0,true,0.0,0.0
32,32,w32,2.4967305106904575e10,158010.45885290182,true,true,941.7252161745361,1.8254262067065583,-1.0,17,0.999999896527986,25,1.0,true,0.0,0.0
33,33,w33,2.4967305176772522e10,158010.45907398828,true,true,941.7252036391768,1.825426216327178,-0.999999951768192,23,1.0,19,1.0,true,0.0,0.0
34,34,w34,2.7120416736754883e10,164682.77607799452,true,true,1565.3390796844421,1.727628334629749,-1.0,25,0.9999999576909742,17,1.0,true,0.0,0.0
35,35,w35,2.7120416781522133e10,164682.77621391416,true,true,1565.3390895398868,1.7276283414696436,-1.0,23,0.9999999250640846,19,1.0,true,0.0,0.0
36,36,w36,2.7342816202165424e10,165356.63337817875,true,true,508.4392922530174,1.9999999390274201,-1.0,18,0.9999999601990759,22,1.0,true,0.0,0.0
37,37,w37,2.7993301808735344e10,167311.98943511295,true,true,243.71769850160786,1.2304157260120279,-0.32805882976690953,17,1.0,21,1.0,true,0.0,0.0
38,38,w38,2.8091967873696907e10,167606.5866059473,true,true,127711.28683470258,1.9999825994791611,-1.0,25,0.9999846533094927,23,1.0,true,0.0,0.0
39,39,w39,2.8483516474388103e10,168770.6031108146,true,true,5.299621461179724e10,1.4808865405282818,-0.6921117409137506,19,1.0,21,1.0,true,0.0,0.0
40,40,w40,2.848351650052359e10,168770.60318824364,true,true,1.9556827645135226e9,1.244042134180952,-0.3762654314181967,23,1.0,21,1.0,true,0.0,0.0
41,41,w41,3.0292101143793148e10,174046.26150478827,true,true,399.20782297499426,1.9999993350466494,-1.0,20,0.9999996558303501,24,1.0,true,0.0,0.0
42,42,w42,3.05247407552393e10,174713.3101833953,true,true,618.898895778549,2.94288037125231,-1.0,18,0.9763403922340913,17,1.0,true,0.0,0.0
43,43,w43,3.068016548394158e10,175157.54475312098,true,true,1743.954018306112,2.32306177938557,-0.9999990467129776,17,1.0,25,1.0,true,0.0,0.0
44,44,w44,3.068016548862011e10,175157.54476647617,true,true,1743.9545675821576,2.3230628158697377,-1.0,23,0.9999999295337655,19,1.0,true,0.0,0.0
45,45,w45,3.1536292690644276e10,177584.60713317548,true,true,496.58545058841685,2.296685132268341,-1.0,22,0.9999998128279152,20,1.0,true,0.0,0.0
46,46,w46,3.1536292701088787e10,177584.6071625826,true,true,496.58550100420365,2.2966853484416405,-1.0,22,0.9999999942184142,24,1.0,true,0.0,0.0
47,47,w47,3.1886239871610207e10,178567.18587582157,true,true,7.805544590995293e9,2.535278063910465,-0.9926138432639436,18,1.0,17,1.0,true,0.0,0.0
48,48,w48,3.2556985592327522e10,180435.54414894956,true,true,393.4032121592066,1.33214482046401,-0.41384807779671035,19,1.0,21,1.0,true,0.0,0.0
49,49,w49,3.478773816132297e10,186514.71298887648,true,true,413.133863639766,1.4230202412898396,-0.99999999093992,25,1.0,17,1.0,true,0.0,0.0
50,50,w50,3.478773824209825e10,186514.71320541512,true,true,413.13384555132296,1.4230202182878902,-1.0,23,0.9999999506936446,19,1.0,true,0.0,0.0
51,51,w51,3.607330234336492e10,189929.73001445804,true,true,411.6141209349999,1.9999999221655829,-0.9999999938488493,25,1.0,19,1.0,true,0.0,0.0
52,52,w52,3.645984553668563e10,190944.6137933344,true,true,3.661116447564581e9,1.2326121691884284,-0.35746222138038886,23,1.0,17,1.0,true,0.0,0.0
53,53,w53,3.701320148735261e10,192388.15318868417,true,true,460.0446377401739,1.66640588766703,-1.0,17,0.9999998418873712,25,1.0,true,0.0,0.0
54,54,w54,3.7013201559600914e10,192388.1533764512,true,true,460.04466947579084,1.6664059508366589,-1.0,23,0.9999998946914912,19,1.0,true,0.0,0.0
55,55,w55,3.714247146099077e10,192723.82172681915,true,true,4159.752809181249,1.9999793942240471,-0.9999909239431071,17,1.0,19,1.0,true,0.0,0.0
56,56,w56,3.7296423461048e10,193122.81962794557,true,true,1544.1410979711407,1.9999990571847313,-1.0,24,0.9999998313435836,20,1.0,true,0.0,0.0
57,57,w57,3.839148118700327e10,195937.4420242422,true,true,970.9438873958981,2.697737993182918,4.574609951650964e-8,8,1.0,17,1.0,true,0.0,0.0
