index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,3.09487407583098e7,0.0,18.383695196579577,1.0,1.0,1.0
2.0,1.8563881613104248e8,0.0,45.02416986631718,1.0,1.0,1.0
3.0,1.8563894802762672e8,0.0,45.02418586117559,1.0,1.0,1.0
4.0,4.264165326532848e8,0.0,68.23832161310733,1.0,1.0,1.0
5.0,6.878364713891202e8,0.0,86.66703103008197,1.0,1.0,1.0
6.0,6.903787828809179e8,0.0,86.82704825720856,1.0,1.0,1.0
7.0,1.0348270156681607e9,0.0,106.30292099042394,1.0,1.0,1.0
8.0,1.0348272107408953e9,0.0,106.30293100987656,1.0,1.0,1.0
9.0,1.7743845658380094e9,0.0,139.19870494710452,1.0,1.0,1.0
10.0,1.8014153904684188e9,0.0,140.25496805430862,1.0,1.0,1.0
11.0,1.8014154519727056e9,0.0,140.25497044861527,1.0,1.0,1.0
12.0,2.235537103805232e9,0.0,156.24360842464287,1.0,1.0,1.0
13.0,2.247891757177799e9,0.0,156.6747522365412,1.0,1.0,1.0
14.0,3.100953431622042e9,0.0,184.0174216570613,1.0,1.0,1.0
15.0,3.1009537527248316e9,0.0,184.01743118453524,1.0,1.0,1.0
16.0,3.7766499591826077e9,0.0,203.07884565920222,1.0,1.0,1.0
17.0,3.7814862618719225e9,0.0,203.2088334193211,1.0,1.0,1.0
18.0,4.2858849205952425e9,0.0,216.337383114662,1.0,1.0,1.0
19.0,4.285885117995068e9,0.0,216.33738809670913,1.0,1.0,1.0
20.0,4.535564481138755e9,0.0,222.54968913488779,1.0,1.0,1.0
21.0,5.21277328292052e9,0.0,238.58642930705864,1.0,1.0,1.0
22.0,5.24111867117638e9,0.0,239.23422808880437,1.0,1.0,1.0
23.0,5.407798188558746e9,0.0,243.00855174059515,1.0,1.0,1.0
24.0,6.7265165530428705e9,0.0,271.02317384169964,1.0,1.0,1.0
25.0,6.726516598189859e9,0.0,271.0231747512254,1.0,1.0,1.0
26.0,6.8695081311364155e9,0.0,273.88871607280515,1.0,1.0,1.0
27.0,6.869508536980311e9,0.0,273.8887241633452,1.0,1.0,1.0
28.0,7.394735063024436e9,0.0,284.16633665553496,1.0,1.0,1.0
29.0,7.414765600982516e9,0.0,284.55094510953404,1.0,1.0,1.0
30.0,8.373093422502629e9,0.0,302.38085285568053,1.0,1.0,1.0
31.0,8.373093466541158e9,0.0,302.38085365087096,1.0,1.0,1.0
32.0,8.936596559229763e9,0.0,312.39019579171975,1.0,1.0,1.0
33.0,9.849450844139492e9,0.0,327.9573192017572,1.0,1.0,1.0
34.0,9.89639224104259e9,0.0,328.73789448766786,1.0,1.0,1.0
35.0,1.1313303961553074e10,0.0,351.4843940492374,1.0,1.0,1.0
36.0,1.1321064066167059e10,0.0,351.60491976442006,1.0,1.0,1.0
37.0,1.1836948995700006e10,0.0,359.52674870313064,1.0,1.0,1.0
38.0,1.1836949335967411e10,0.0,359.5267538706461,1.0,1.0,1.0
39.0,1.202770235151129e10,0.0,362.4120716511845,1.0,1.0,1.0
40.0,1.202770248747358e10,0.0,362.41207369955475,1.0,1.0,1.0
41.0,1.2626182755886328e10,0.0,371.31915611004865,1.0,1.0,1.0
42.0,1.262618283317436e10,0.0,371.31915724651753,1.0,1.0,1.0
43.0,1.2745260551922512e10,0.0,373.06600652832714,1.0,1.0,1.0
44.0,1.2789043002169033e10,0.0,373.7062343387997,1.0,1.0,1.0
45.0,1.4183542701446917e10,0.0,393.55340971690276,1.0,1.0,1.0
46.0,1.418354285773429e10,0.0,393.55341188517025,1.0,1.0,1.0
47.0,1.4976623207719337e10,0.0,404.40663375901136,1.0,1.0,1.0
48.0,1.615134935664014e10,0.0,419.9675403820042,1.0,1.0,1.0
49.0,1.6216342463680052e10,0.0,420.81166773675153,1.0,1.0,1.0
50.0,1.736700236855113e10,0.0,435.48555184366137,1.0,1.0,1.0
51.0,1.7367002534318893e10,0.0,435.48555392201274,1.0,1.0,1.0
52.0,1.780640495762721e10,0.0,440.9602500648886,1.0,1.0,1.0
53.0,1.7841452903573975e10,0.0,441.3940027991181,1.0,1.0,1.0
54.0,1.8617745574532646e10,0.0,450.8944240882742,1.0,1.0,1.0
55.0,1.863611534203576e10,0.0,451.11681362484205,1.0,1.0,1.0
56.0,1.8636115456723885e10,0.0,451.1168150129463,1.0,1.0,1.0
57.0,1.8882730851417206e10,0.0,454.0918639410707,1.0,1.0,1.0
58.0,1.888273091954895e10,0.0,454.09186476028674,1.0,1.0,1.0
59.0,1.9835358951392796e10,0.0,465.405328449524,1.0,1.0,1.0
60.0,1.9909450110322586e10,0.0,466.2737341999039,1.0,1.0,1.0
61.0,2.159974466561601e10,0.0,485.6636817268992,1.0,1.0,1.0
62.0,2.1599744713651592e10,0.0,485.66368226693186,1.0,1.0,1.0
63.0,2.2401066396349552e10,0.0,494.5903810711821,1.0,1.0,1.0
64.0,2.2845019810739017e10,0.0,499.4673325987096,1.0,1.0,1.0
65.0,2.2846886249245518e10,0.0,499.4877354267681,1.0,1.0,1.0
66.0,2.3864605540707634e10,0.0,510.4914225572525,1.0,1.0,1.0
67.0,2.3944424642067272e10,0.0,511.34442119903355,1.0,1.0,1.0
68.0,2.522817752071588e10,0.0,524.8730308619575,1.0,1.0,1.0
69.0,2.524750594249925e10,0.0,525.0740565787761,1.0,1.0,1.0
70.0,2.557457173922591e10,0.0,528.4641174122864,1.0,1.0,1.0
71.0,2.557457188160928e10,0.0,528.464118883367,1.0,1.0,1.0
72.0,2.6141692064085476e10,0.0,534.2913786875223,1.0,1.0,1.0
73.0,2.6233057488708492e10,0.0,535.2242406475035,1.0,1.0,1.0
74.0,2.687447485540992e10,0.0,541.7280363993323,1.0,1.0,1.0
75.0,2.6874475018580456e10,0.0,541.728038043905,1.0,1.0,1.0
76.0,2.708869806481745e10,0.0,543.8828760567909,1.0,1.0,1.0
77.0,2.7088698210178787e10,0.0,543.8828775160625,1.0,1.0,1.0
78.0,2.7131980070345703e10,0.0,544.3172074885886,1.0,1.0,1.0
79.0,2.7131980152893013e10,0.0,544.3172083166136,1.0,1.0,1.0
80.0,2.8392446359389168e10,0.0,556.8173077810438,1.0,1.0,1.0
81.0,2.850184547497128e10,0.0,557.8890145778875,1.0,1.0,1.0
82.0,3.0195697680646816e10,0.0,574.2273231679795,1.0,1.0,1.0
83.0,3.0195697829330475e10,0.0,574.2273245817277,1.0,1.0,1.0
84.0,3.0619037051841156e10,0.0,578.2386052540122,1.0,1.0,1.0
85.0,3.239085981150873e10,0.0,594.7337128006747,1.0,1.0,1.0
86.0,3.2475889367209892e10,0.0,595.5138217455008,1.0,1.0,1.0
87.0,3.3071557205608444e10,0.0,600.9504178260001,1.0,1.0,1.0
88.0,3.4285518789903896e10,0.0,611.8805971639814,1.0,1.0,1.0
89.0,3.4285518820859962e10,0.0,611.880597440212,1.0,1.0,1.0
90.0,3.503912946548665e10,0.0,618.5687461900368,1.0,1.0,1.0
91.0,3.503912967626429e10,0.0,618.5687480505349,1.0,1.0,1.0
92.0,3.504500918572782e10,0.0,618.6206432929214,1.0,1.0,1.0
