mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.5555420968025608,2.51759412552863e10,1.0445810549284705e-17,NaN,NaN,6.7152220250138e-18,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.8521843380839753,4.318701321958171e10,3.830838206057325e-17,NaN,NaN,2.068281286742875e-17,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.1909467792854063,3.701924438989907e10,8.217620433071226e-17,NaN,NaN,3.7507165900905473e-17,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.994468532544536,6.2773235190125885e10,1.843116012173349e-16,NaN,NaN,6.155068895004116e-17,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.06976102280145,6.294295778484935e10,9.074911883354741e-17,NaN,NaN,4.384521586492978e-17,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7421000051252014,7.368102665866823e10,2.233822290810636e-16,NaN,NaN,8.146392497120622e-17,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.797896677196509,7.216411382482101e10,2.509701393271591e-16,NaN,NaN,8.969957374502874e-17,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.387260970801401,6.985084913051524e10,1.7304467056626491e-16,NaN,NaN,7.248670031587456e-17,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.266710515888754,6.1034236330609406e10,1.21371472848219e-16,NaN,NaN,5.3545202176216347e-17,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.246190144401834,6.99828470216376e10,1.9171763127031716e-16,NaN,NaN,8.535236063969644e-17,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.8076966128110032,8.72428338375996e10,2.8636921222392383e-16,NaN,NaN,1.019943575517646e-16,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7441512986474894,7.726081544656049e10,4.573817393869846e-16,NaN,NaN,1.6667511722564805e-16,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.0800394755988654,5.855651522161822e10,1.7807757688056348e-16,NaN,NaN,8.561259484236137e-17,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.138955882807205,5.741508385090861e10,2.1960030377949218e-16,NaN,NaN,1.0266705617662611e-16,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.4475092616296603,1.0143968398891008e11,2.977965293854617e-16,NaN,NaN,1.2167330030333594e-16,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.906529794877718,1.1819900399440529e11,7.224728904871504e-16,NaN,NaN,2.4856889193442654e-16,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.029262963455886,4.375286927138105e10,2.1698823201758395,NaN,NaN,1.069295778443852,0.0
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.189973094187871,6.635163736362771e10,2019.8472106227564,NaN,NaN,922.3159937368071,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.9091997441740336,9.005192025872481e10,875.8641476607982,NaN,NaN,301.06703722039185,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.8644684381744945,7.836192631847878e10,3112.5369210279214,NaN,NaN,1086.601925700225,0.0
