mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.8044640255018598,2.0091773243885164e16,6.493773404254175e-17,NaN,NaN,3.598726997313298e-17,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.557915600973569,1.9626887636443418e17,1.0716141782777297e-16,NaN,NaN,4.189403973570755e-17,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.2387498582710412,2.0520177114966346e17,1.129815253405393e-16,NaN,NaN,5.046634617223093e-17,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.967812836407206,1.25946517235277e17,1.0914398889075329e-16,NaN,NaN,5.546461882524673e-17,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.8401569663372905,2.309300544773393e17,1.69824952175801e-16,NaN,NaN,5.979421355531974e-17,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.6320320766011545,4.680285002775954e17,2.0829577037169563e-16,NaN,NaN,7.913876590769976e-17,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2808571825497124,1.4243068157381064e18,3.933119260213501e-16,NaN,NaN,1.1988084337023426e-16,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.149608396537598,1.2647621128966182e18,4.774460969914583e-16,NaN,NaN,1.515890348515455e-16,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.1054539375456773,1.0277588186872911e18,3.8102607060719005e-16,NaN,NaN,1.2269577275015874e-16,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.828285361002047,1.2219549379722742e18,3.3223633447364057e-16,NaN,NaN,1.1746917020987264e-16,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.000521752246311,1.5353663391136745e18,4.711232151606206e-16,NaN,NaN,2.3550017120864293e-16,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.4042993569346454,2.1404618830211174e18,5.582352979599761e-16,NaN,NaN,2.3218211008120743e-16,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7101708497948773,1.747816072308832e18,1.5700073158185735e-15,NaN,NaN,5.793019712898917e-16,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.6833995742891394,1.6447111671112748e18,1.0652337357791304e-15,NaN,NaN,3.969717167676461e-16,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.935385236136554,6.675437803582821e18,2.549255170380955e-15,NaN,NaN,6.477777949087419e-16,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7600510610062687,4.1154960420340014e18,1.0317616616254279e-15,NaN,NaN,3.7381977319262517e-16,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2759999949958583,6.80620224085546e18,2.2520395725400227e-15,NaN,NaN,6.874357680036779e-16,0.0
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.7818271411094053,5.413070625438682e18,4.650479633407172e-15,NaN,NaN,1.2296912206418155e-15,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.140386571844703,3.6441624693450906e18,1.5669248038711433e-15,NaN,NaN,4.98959210283055e-16,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.7425764404877393,7.136038547519883e18,4.126312021174942e-15,NaN,NaN,1.1025324630743398e-15,0.0
21.0,21.0,4.702894558417575e10,0.0,1.0,0.0,0.0,1.0,2.432659507910974,1.9275384309559544e10,0.4098621444549317,2759.9539117967483,1.4318541419660253e-7,0.16848315315894635,1.0
22.0,22.0,4.7658649448635796e10,0.0,1.0,0.0,0.0,1.0,2.4461064757314883,1.8731570515946114e10,0.3930361160347651,3360.398626179292,1.7939759099850157e-7,0.16067825335249597,1.0
23.0,23.0,5.287611755171847e10,0.0,1.0,0.0,0.0,1.0,3.221461771913223,3.861730254772697e10,0.7303354329712849,4035.699843877811,1.0450496481182512e-7,0.22670932783956008,1.0
24.0,24.0,5.661509919086921e10,0.0,1.0,0.0,0.0,1.0,2.9243662494656903,3.6675449097444725e10,0.6478033150106807,3724.5395234557927,1.0155402633407129e-7,0.22151921467738198,1.0
25.0,25.0,6.1125384348014084e10,0.0,1.0,0.0,0.0,1.0,3.2996480207326777,7.201768268860762e10,1.1781959818323617,4265.8099627365655,5.9232813435294945e-8,0.3570671703252599,1.0
26.0,26.0,6.6268958530922134e10,0.0,1.0,0.0,0.0,1.0,2.7749683567131487,9.071583105022414e10,1.3689038305210697,2500.7042136824425,2.7566348466631736e-8,0.49330430280743365,1.0
27.0,27.0,6.96948743320647e10,0.0,1.0,0.0,0.0,1.0,2.6988926631956627,1.1167131095442548e11,1.602288720890616,2844.9059138165194,2.5475709805544042e-8,0.5936837513920998,1.0
28.0,28.0,7.415462321619818e10,0.0,1.0,0.0,0.0,1.0,3.6692811567098893,2.957796867085934e11,3.988688435386507,6600.537969799426,2.2315724292126067e-8,1.0870490063408003,1.0
29.0,29.0,7.680054995482872e10,0.0,1.0,0.0,0.0,1.0,4.363127535224005,5.054194649010295e10,0.6580935599522341,5987.389055939936,1.1846375877275429e-7,0.15083069533021276,1.0
30.0,30.0,8.009658551957118e10,0.0,1.0,0.0,0.0,1.0,3.768014205138494,7.950837311644537e10,0.9926562108572216,4670.677508143141,5.874447338147164e-8,0.263442799526478,1.0
31.0,31.0,8.747519132227274e10,0.0,1.0,0.0,0.0,1.0,2.781443144760975,4.206832385618488e11,4.8091719721898185,4103.769280233194,9.755010193090585e-9,1.7290204120289856,1.0
32.0,32.0,9.482949631300006e10,0.0,1.0,0.0,0.0,1.0,3.4230185215688804,8.28189791075235e10,0.873346193864711,5622.6650297785545,6.78910202964369e-8,0.2551391961105802,1.0
33.0,33.0,1.1597931104614134e11,0.0,1.0,0.0,0.0,1.0,3.298108898727382,1.2277654757909006e11,1.0586073121490542,4565.6647644356635,3.718678244714903e-8,0.32097403228787613,1.0
34.0,34.0,1.197334114846281e11,0.0,1.0,0.0,0.0,1.0,3.492494087776603,1.015904235782187e11,0.8484717982641014,4000.92487040395,3.938289387408126e-8,0.2429415131248674,1.0
35.0,35.0,1.2538823490736995e11,0.0,1.0,0.0,0.0,1.0,2.85633504258369,3.743848459959684e11,2.98580522287906,5178.714417470112,1.3832596226789534e-8,1.045327378744147,1.0
36.0,36.0,1.2825150794979086e11,0.0,1.0,0.0,0.0,1.0,3.004389170605994,3.780531391765671e11,2.9477481055401396,6183.467849016184,1.6356081199841354e-8,0.9811472276561196,1.0
37.0,37.0,1.2985818119121776e11,0.0,1.0,0.0,0.0,1.0,2.277802538749781,2.9576009001472775e10,0.2277562243976655,2111.153885564342,7.138062074635799e-8,0.09998945058805413,1.0
38.0,38.0,1.503548536053882e11,0.0,1.0,0.0,0.0,1.0,7.071065729669723,1.6538185203666602e11,1.0999435544522922,7814.884594231997,4.725358009247602e-8,0.1555555550610995,1.0
39.0,39.0,1.560922915762259e11,0.0,1.0,0.0,0.0,1.0,3.730664973513371,6.936635686459647e10,0.44439322672149834,4697.2490529798415,6.771653072194376e-8,0.11911903906583951,1.0
40.0,40.0,1.905395637966596e11,0.0,1.0,0.0,0.0,1.0,2.8693933186504172,5.229037424610661e10,0.2744331550077855,5210.947037816488,9.965403982941429e-8,0.09564152576226867,1.0
