mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,NaN,false,false,true,1.4641629112119499,3.1035215482938805e-19,-7.279188244976807e-20,2,1.3613591994906938e-20,62,1.0353195232718069,1.0353195232878067,0.0,0.0
2,2,w2,-Inf,NaN,false,false,true,2.0234627212841048,2.1325963120921267e-11,-9.354640759439276e-13,62,5.001920946789999e-12,2,1.430631966029575,1.4309764366336803,0.0,0.0
3,3,w3,-Inf,NaN,false,false,true,2.053489818097878,3.391445065405891e-10,-7.884927108980292e-11,2,1.8311538861819898e-11,62,1.448181789468753,1.4558811550682067,0.0,0.0
4,4,w4,-Inf,NaN,false,false,true,4.404912827884742,1.890860622275338e-7,-4.487975951664014e-8,2,7.69777259265145e-9,64,3.1149658050282962,3.1145216414030488,0.0,0.0
5,5,w5,-Inf,NaN,false,false,true,2.4169241566891984,1.9164528236732714e-8,-3.832138796893938e-9,2,1.739784214602445e-9,62,1.7102510588418243,1.7077949803527974,0.0,0.0
6,6,w6,-Inf,NaN,false,false,true,3.166099589829197,8.264234130040394e-8,-4.321757733165466e-9,64,1.6876308720667295e-8,2,2.1841059159262453,2.2921317502998333,0.0,0.0
7,7,w7,-Inf,NaN,false,false,true,3.5946375489176656,8.967875384583541e-8,-4.798081530630319e-9,3,1.9063640109476337e-8,2,2.5240319804632723,2.559429950142697,0.0,0.0
8,8,w8,-Inf,NaN,false,false,true,2.309591041010968,4.7644729102864726e-7,-9.379276880333276e-8,2,9.912654751210705e-9,64,1.6354476566894063,1.630804016105869,0.0,0.0
9,9,w9,-Inf,NaN,false,false,true,3.4167194243937176,4.670404032017975e-6,-1.9351188935638216e-7,64,1.1136900003633026e-6,2,2.419075712906228,2.412891278162933,0.0,0.0
10,10,w10,-Inf,NaN,false,false,true,3.1611934594007995,4.837623140424722e-7,-7.30853695521765e-8,2,6.78293285692019e-8,34,2.271281700724248,2.198732253757454,0.0,0.0
11,11,w11,-Inf,NaN,false,false,true,4.087302463936149,2.347896245639126e-5,-1.9232638468829774e-6,64,4.863570674672075e-6,2,2.8442511292187813,2.935349543935944,0.0,0.0
12,12,w12,-Inf,NaN,false,false,true,2.5573205679361286,5.288035368030923e-5,-2.608651404449343e-6,64,1.2521222585210892e-5,2,1.8127206332517893,1.8038659568205355,0.0,0.0
13,13,w13,-Inf,NaN,false,false,true,4.764009002899266,4.2009436043841724e-5,-1.8311675105258605e-6,64,9.616014832256285e-6,2,3.370156902817239,3.3671685773560243,0.0,0.0
