mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.414213562373095,1.3717007404033573e10,1.388102310138034e-17,NaN,NaN,9.81536556479316e-18,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.9435437610614352,4.981978248542399e10,1.0252818569694211e-16,NaN,NaN,5.275321695918387e-17,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.7990271279595424,3.986451775925698e10,6.80670218824307e-17,NaN,NaN,3.78354616362191e-17,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.3152383696173278,6.202748700422789e10,1.7888698964663213e-16,NaN,NaN,7.726504190417305e-17,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.431693195068347,7.666201673115602e10,2.0474574739385635e-16,NaN,NaN,8.419884046601595e-17,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.513512795830768,9.99145425121176e10,5.092230007983885e-16,NaN,NaN,2.0259415493847917e-16,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.9926987687922257,5.756292413120721e10,3.4743723224217204e-16,NaN,NaN,1.7435511964146676e-16,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.476735432759023,8.612163971699904e10,6.650328512199508e-16,NaN,NaN,2.685118654272735e-16,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.864695228395514,1.1547952493772832e11,7.51877826121199e-16,NaN,NaN,2.624634616165846e-16,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.9318825382293068,6.763877245559067e10,6.391454171942449e-16,NaN,NaN,3.308407237740563e-16,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.614268926668746,8.16861518592889e10,3.6566434623318345e-15,NaN,NaN,1.3987250603905325e-15,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.139683707441732,5.834892225332374e10,14.038311559151865,NaN,NaN,6.560928379426919,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.6489007154985895,9.040678086661162e10,3926.6576811372256,NaN,NaN,1482.3725397341402,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.5157538656290113,1.1606296278443744e11,2196.049662550735,NaN,NaN,872.9191247815727,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.117991029216937,1.2424459151556157e11,4583.408834577169,NaN,NaN,1469.9878196019897,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.0246491866370806,1.5485578160200467e11,3785.987233820389,NaN,NaN,1251.7111903578455,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.2680929877489064,8.163956514316835e10,2960.2692731887287,NaN,NaN,1305.179853374006,0.0
