mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
1,1,w1,-Inf,0.0,1,0.0,0.0,-1.2885164096664962e-55,1.4960518897404194e-12,-1.4960519015472663e-12
1,1,w1,-Inf,0.0,2,1.0,0.0,-4.6070443666715185e-57,7.645413778048143e-14,-7.645414958766662e-14
1,1,w1,-Inf,0.0,3,1.0,1.0,-4.051534243066951e-59,-1.0,0.9999999999999998
1,1,w1,-Inf,0.0,4,0.0,1.0,-1.1159721305074839e-57,3.010475473053853e-12,-3.010475434230332e-12
1,1,w1,-Inf,0.0,5,0.2499999999994109,0.0,1.3013547801582612e-55,1.6108462657354575e-13,-1.610846383810234e-13
1,1,w1,-Inf,0.0,6,0.4999999999986921,0.0,-3.6663359538375317e-56,-6.051511587398166e-21,-5.755749453888482e-21
1,1,w1,-Inf,0.0,7,0.7499999999993406,0.0,1.005469625781429e-56,-2.0111507611412549e-13,2.0111506430723276e-13
1,1,w1,-Inf,0.0,8,1.0,0.2499999999994109,6.891578218658424e-58,8.903075387744044e-23,-8.268509526161096e-22
1,1,w1,-Inf,0.0,9,1.0,0.4999999999986921,-3.432214156883088e-58,-1.0150529947967069e-10,1.0150529948174724e-10
1,1,w1,-Inf,0.0,10,1.0,0.7499999999993406,5.386044147459034e-58,2.1606850714052973e-20,-1.0960769898734448e-20
1,1,w1,-Inf,0.0,11,0.7500000000003471,1.0,-3.8946370379910075e-58,-1.6067706519737533e-12,1.606770690797276e-12
1,1,w1,-Inf,0.0,12,0.5000000000020595,1.0,1.7617595428698664e-59,3.623156200098458e-20,2.5919601842227535e-21
1,1,w1,-Inf,0.0,13,0.2500000000010405,1.0,2.7090831638730845e-58,5.686650265476541e-12,-5.686650226653019e-12
1,1,w1,-Inf,0.0,14,0.0,0.7500000000003471,2.691340738976907e-57,9.306333714824808e-21,1.3397471005677068e-21
1,1,w1,-Inf,0.0,15,0.0,0.5000000000020595,-1.203542369989979e-56,4.214065578696737e-11,-4.2140655784890855e-11
1,1,w1,-Inf,0.0,16,0.0,0.2500000000010405,3.3728743882932923e-56,1.508504085434993e-21,-2.2463242841283838e-21
1,1,w1,-Inf,0.0,17,0.2499999999998184,0.2500000000006332,-8.691281777383577e-41,2.74224723757387e-22,-1.0120449224620972e-21
1,1,w1,-Inf,0.0,18,0.2500000000002257,0.5000000000012177,-6.290814499891509e-41,-2.1475757838752995e-21,4.224077496546998e-21
1,1,w1,-Inf,0.0,19,0.2500000000006332,0.7500000000000954,2.828177192902026e-41,-1.3142159344245602e-20,2.3788240159619618e-20
1,1,w1,-Inf,0.0,20,0.4999999999995339,0.2500000000002257,-1.963251788136999e-41,-1.6409146319249327e-19,1.6335364299377715e-19
1,1,w1,-Inf,0.0,21,0.5000000000003757,0.5000000000003757,-3.3757345310707637e-41,-1.8297017568806923e-21,3.906203469533221e-21
1,1,w1,-Inf,0.0,22,0.5000000000012177,0.749999999999844,6.675323947797119e-41,1.5992453269160346e-20,-5.346372453804805e-21
1,1,w1,-Inf,0.0,23,0.7499999999995922,0.2499999999998184,-1.1345326508533524e-41,2.9648069721813994e-20,-3.038588992054133e-20
1,1,w1,-Inf,0.0,24,0.749999999999844,0.4999999999995339,8.584195051987138e-42,1.3651765461998722e-21,7.113251664334921e-22
1,1,w1,-Inf,0.0,25,0.7500000000000953,0.7499999999995921,1.0656048345346442e-40,2.4450602621011052e-20,-1.3804521805674034e-20
2,2,w2,-Inf,0.0,1,0.0,0.0,1.4610499713352507e-38,0.15611186878288583,-0.1555804667289265
2,2,w2,-Inf,0.0,2,1.0,0.0,5.195075490396567e-39,0.0017579650534565497,-0.0012265629994971498
2,2,w2,-Inf,0.0,3,1.0,1.0,5.754602625554337e-41,-0.004954434607074957,-0.004954434875720131
2,2,w2,-Inf,0.0,4,0.0,1.0,1.0693750600353909e-39,0.049851920071274564,-0.059760789554069646
2,2,w2,-Inf,0.0,5,0.2499999999994109,0.0,-1.7549530555538518e-38,0.0910920820373535,-0.09056067998339415
2,2,w2,-Inf,0.0,6,0.4999999999986921,0.0,8.813041746379124e-39,-0.00022868817297583814,0.0007600902269351903
2,2,w2,-Inf,0.0,7,0.7499999999993406,0.0,-2.8986742063590435e-39,0.0989032805203579,-0.09837187846639855
2,2,w2,-Inf,0.0,8,1.0,0.2499999999994109,-2.8282414976337344e-40,6.95055640270564e-6,-1.4082611228008467e-5
2,2,w2,-Inf,0.0,9,1.0,0.4999999999986921,9.599754178490466e-40,-0.8917415102707597,0.8915892999261007
2,2,w2,-Inf,0.0,10,1.0,0.7499999999993406,-3.2243334006651254e-39,-0.0011938703325790842,0.000402447967425134
2,2,w2,-Inf,0.0,11,0.7500000000003471,1.0,3.0237726861628824e-39,-0.031593562823541026,0.021684693340745975
2,2,w2,-Inf,0.0,12,0.5000000000020595,1.0,-7.079510562892989e-40,-0.004199620899969204,-0.0057092485828258745
2,2,w2,-Inf,0.0,13,0.2500000000010405,1.0,-8.189932171521801e-41,0.21319119074094797,-0.22310006022374296
2,2,w2,-Inf,0.0,14,0.0,0.7500000000003471,-7.564981482493347e-40,-0.0004881027610949517,-0.00030331960407863924
2,2,w2,-Inf,0.0,15,0.0,0.5000000000020595,7.42209989813958e-39,0.9998477896553357,-1.0
2,2,w2,-Inf,0.0,16,0.0,0.2500000000010405,-2.0878309897498412e-39,-0.00023875782067135274,0.00023162576584382017
2,2,w2,-Inf,0.0,17,0.2499999999998184,0.2500000000006332,1.9905541297173058e-22,1.1239956516153488e-5,-1.837201134312832e-5
2,2,w2,-Inf,0.0,18,0.2500000000002257,0.5000000000012177,1.440857470758389e-22,0.000457173305621902,-0.0006093836502852809
2,2,w2,-Inf,0.0,19,0.2500000000006332,0.7500000000000954,-6.482719296926262e-23,0.0003998629469586996,-0.0011912853121273789
2,2,w2,-Inf,0.0,20,0.4999999999995339,0.2500000000002257,4.4929512105773704e-23,0.008160002015195128,-0.008167134070021535
2,2,w2,-Inf,0.0,21,0.5000000000003757,0.5000000000003757,7.729766520931951e-23,7.584066073892154e-5,-0.00022805100540097944
2,2,w2,-Inf,0.0,22,0.5000000000012177,0.749999999999844,-1.5298557686138967e-22,0.0005839525966536335,-0.001375374961817407
