ndiv,lambda_numeric,lambda_exact
9,-Inf,4.000000
9,-Inf,6.250000
9,-Inf,11.111111
9,-Inf,16.000000
9,-Inf,18.062500
9,-Inf,18.777778
9,-Inf,25.000000
9,-Inf,25.000000
9,-Inf,27.040000
9,-Inf,33.640000
9,-Inf,36.000000
9,-Inf,38.027778
9,-Inf,39.062500
9,-Inf,42.250000
9,-Inf,44.444444
9,-Inf,46.240000
9,-Inf,51.020408
9,-Inf,56.250000
9,-Inf,57.326531
9,-Inf,64.000000
9,-Inf,66.015625
9,-Inf,67.240000
9,-Inf,68.653061
9,-Inf,69.444444
9,-Inf,72.250000
9,-Inf,75.111111
9,-Inf,83.012346
9,-Inf,83.265625
9,-Inf,86.224490
9,-Inf,89.197531
9,-Inf,100.000000
9,-Inf,100.000000
9,-Inf,100.000000
9,-Inf,100.000000
9,-Inf,100.000000
9,-Inf,102.010000
9,-Inf,103.361111
9,-Inf,105.062500
9,-Inf,108.160000
9,-Inf,111.755102
9,-Inf,116.160494
9,-Inf,118.810000
9,-Inf,123.008264
9,-Inf,123.765625
9,-Inf,128.444444
9,-5.8612938350985325e+30,129.132231
9,-1.5659854347224452e+30,134.560000
9,-4.3677847578281621e+29,138.716049
9,-9.0363192005078443e+28,139.669421
9,-8.3062836940402286e+28,144.000000
9,-6.5805287503653916e+28,146.006944
9,-2.0162747026047638e+28,147.448980
9,-1.5468139209987923e+28,148.840000
9,-3.9163381100110566e+26,152.111111
9,-6.0695122322209998e+11,155.115702
9,4.1278385445102389e-04,156.250000
9,3.7585341979051644e+08,156.250000
9,1.2691986764432962e+09,162.562500
9,1.9685818172797484e+09,169.000000
9,2.6612139190392752e+09,169.000000
9,3.0862692937193704e+09,171.005917
9,4.2532462940393252e+09,176.165289
9,5.7549619430719223e+09,177.094675
9,6.2855057376262197e+09,177.777778
9,8.7556953802234745e+09,184.960000
9,9.0815465951956692e+09,187.479290
9,9.9676495797855511e+09,196.000000
9,1.2057864437817310e+10,198.005102
9,1.2391816123049110e+10,198.340278
9,1.2984094514165337e+10,199.515625
9,1.2995111296656990e+10,200.694444
9,1.6890018664950182e+10,202.514793
9,1.7379369482690552e+10,203.710744
9,1.9400514814627293e+10,204.081633
9,2.0665037420410648e+10,208.641975
9,2.2682706673750259e+10,210.250000
9,2.4072905314538074e+10,214.413265
9,2.5610218112888935e+10,219.040000
9,2.6192170903128170e+10,222.010000
9,2.8282397936358536e+10,222.698225
9,2.9914209331623177e+10,225.000000
9,3.0847837806834969e+10,225.000000
9,3.3160312996159801e+10,227.004444
9,3.3812105915928955e+10,229.306122
9,3.6748939826653328e+10,233.071111
9,3.8972373895386955e+10,238.842975
9,4.1144734085627953e+10,243.360000
9,4.3136846227376564e+10,248.668639
9,4.4585680758389679e+10,249.188776
9,4.6232884810274879e+10,256.000000
9,4.6787164245741234e+10,258.003906
9,4.7678158154966385e+10,258.137778
9,4.7957337633229668e+10,258.673611
9,5.0792848570276894e+10,259.567901
9,5.1781758585920242e+10,260.591837
9,5.5020243140377922e+10,264.062500
9,5.6569794976082527e+10,264.062500
9,5.8361494628748520e+10,268.960000
9,6.0010414692684952e+10,274.316406
9,6.0284009182065109e+10,274.612245
9,6.2256978846923523e+10,277.777778
9,6.5652286552048035e+10,277.777778
9,6.5722336862453346e+10,281.207101
9,6.8478566446402954e+10,282.851240
