mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,4.658474953139e17,0.0,NaN,NaN,0.0,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,4.658474953117241e17,0.0,NaN,NaN,0.0,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,4.6584749531461094e17,0.0,NaN,NaN,0.0,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,4.658474953139e17,0.0,NaN,NaN,0.0,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,4.6584749531461005e17,0.0,NaN,NaN,0.0,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764819619e17,0.0,NaN,NaN,0.0,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415519777e7,0.0,NaN,NaN,0.0,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764810052e17,0.0,NaN,NaN,0.0,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415517956e7,0.0,NaN,NaN,0.0,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764809861e17,0.0,NaN,NaN,0.0,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179184e7,0.0,NaN,NaN,0.0,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.83883476480986e17,0.0,NaN,NaN,0.0,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155222878e7,0.0,NaN,NaN,0.0,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415526655e7,0.0,NaN,NaN,0.0,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415519775e7,0.0,NaN,NaN,0.0,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155190673e7,0.0,NaN,NaN,0.0,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764815899e17,0.0,NaN,NaN,0.0,0.0
21.0,21.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179553e7,0.0,NaN,NaN,0.0,0.0
22.0,22.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764810052e17,0.0,NaN,NaN,0.0,0.0
23.0,23.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415517919e7,0.0,NaN,NaN,0.0,0.0
24.0,24.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179188e7,0.0,NaN,NaN,0.0,0.0
25.0,25.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155180566e7,0.0,NaN,NaN,0.0,0.0
26.0,26.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155222904e7,0.0,NaN,NaN,0.0,0.0
27.0,27.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155265253e7,0.0,NaN,NaN,0.0,0.0
28.0,28.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155266624e7,0.0,NaN,NaN,0.0,0.0
29.0,29.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
30.0,30.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155266613e7,0.0,NaN,NaN,0.0,0.0
31.0,31.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
32.0,32.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155266605e7,0.0,NaN,NaN,0.0,0.0
33.0,33.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858979e17,0.0,NaN,NaN,0.0,0.0
34.0,34.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415526671e7,0.0,NaN,NaN,0.0,0.0
35.0,35.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,8.838834764858971e17,0.0,NaN,NaN,0.0,0.0
