mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.4357498566770484,2.168129832122076e8,6.820819855900813e-21,NaN,NaN,4.750702097708835e-21,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.5780308986190061,2.1355068070131254e8,1.2621128790718617e-20,NaN,NaN,7.998023867443812e-21,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.6669218093397928,7.02570644356681e9,2.395587431075324e-20,NaN,NaN,1.43713245435557e-20,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.2291982372110852,2.1106766443716484e12,4.853735333993748e-20,NaN,NaN,2.1773457617955863e-20,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.7597393026431942,2.3660592536078244e14,1.381520511741181e-19,NaN,NaN,5.0059819433596595e-20,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.7469623607331957,3.0944542148083275e14,2.6814443023328525e-19,NaN,NaN,7.15631502049077e-20,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.070331306036589,9.319043939374669e14,2.839348491547027e-19,NaN,NaN,9.247694168914521e-20,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.921690049839858,7.399405652237421e14,4.19071291194657e-19,NaN,NaN,1.4343454782879071e-19,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.7202260614748335,2.9428542816868245e15,1.8591425859164717e-18,NaN,NaN,3.9386727705485847e-19,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.459455412593104,7.868490985465021e15,1.6226987425376823e-18,NaN,NaN,3.638782300536801e-19,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.792566426532594,1.368822994175584e16,2.4385412568541867e-18,NaN,NaN,6.4297918153635525e-19,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.6959207298717764,1.0125501986689454e16,4.084027298895947e-18,NaN,NaN,8.69696814283205e-19,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.758262458735944,1.198812077498912e16,2.7632547989980747e-18,NaN,NaN,5.807276969190445e-19,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.6786286637380075,3.574845539439553e16,4.092109396241489e-18,NaN,NaN,8.746386367350819e-19,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.86551614462709,3.959291583837645e16,6.223194054616601e-18,NaN,NaN,1.06097978441627e-18,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.1386683600385465,3.2662024851281508e16,4.332183494318589e-18,NaN,NaN,1.0467578258138662e-18,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.227196795064037,6.2634323805612584e16,6.2371971123467815e-18,NaN,NaN,1.1932202587506315e-18,0.0
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.075018219322914,1.7872006174947632e16,6.636825567518928e-18,NaN,NaN,1.3077441854788816e-18,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.521612720958695,1.143933665931127e16,6.5048542549165104e-18,NaN,NaN,1.4386137549474425e-18,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.738611620230425,3.2026791268425184e16,9.13585040751474e-18,NaN,NaN,1.5919966382300506e-18,0.0
21.0,21.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.08062914041207,1.1862081555932922e17,8.344742161029201e-18,NaN,NaN,1.642462366452591e-18,0.0
22.0,22.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.762589462395086,2.868524683596192e16,1.083880359850378e-17,NaN,NaN,2.275821521902287e-18,0.0
23.0,23.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.712175928971853,7.986070586951827e16,1.6542091066718143e-17,NaN,NaN,2.4644900911070132e-18,0.0
24.0,24.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.689488931959884,1.3391501027301726e17,1.3222084092630662e-17,NaN,NaN,2.3239493477801688e-18,0.0
25.0,25.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.910615901259077,6.156929688028338e16,1.8731688463555887e-17,NaN,NaN,2.710567152219106e-18,0.0
26.0,26.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.605962515398276,1.001483660804778e17,1.1798814446147041e-17,NaN,NaN,2.104690213988845e-18,0.0
27.0,27.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.194685391720049,5.136501804585284e16,1.812036643221353e-17,NaN,NaN,2.9251471683184437e-18,0.0
28.0,28.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.286997922076681,5.718423433835279e16,1.8608751694167956e-17,NaN,NaN,2.9598787727961e-18,0.0
29.0,29.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.885829361548234,2.154214925293478e16,1.6269162942494783e-17,NaN,NaN,2.7641241264621492e-18,0.0
30.0,30.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.6290444475203065,5.747720433643352e16,1.8445816127225067e-17,NaN,NaN,3.2769000669999638e-18,0.0
31.0,31.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.071280803773054,1.3196249195924522e17,2.0379348826469912e-17,NaN,NaN,4.0185802393958524e-18,0.0
32.0,32.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.973866044489408,7.439050336082312e16,2.0358237678901586e-17,NaN,NaN,2.919218343029145e-18,0.0
33.0,33.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.97433071739616,1.4739506290120508e16,2.195993868743831e-17,NaN,NaN,3.675715276942232e-18,0.0
34.0,34.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.6866826211228965,8.04087389564029e16,2.8982108405404036e-17,NaN,NaN,5.096487765600185e-18,0.0
35.0,35.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.569788611253373,1.6991035657290845e17,3.039860429016054e-17,NaN,NaN,4.627029283421822e-18,0.0
36.0,36.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.220354000489477,2.2711458911076476e16,2.9637262630181795e-17,NaN,NaN,4.76456205351812e-18,0.0
37.0,37.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.979778174969335,3.107545721080544e17,4.5629358750927466e-17,NaN,NaN,5.718123706001741e-18,0.0
38.0,38.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.899324492498098,7.851114400170864e16,4.286085814589096e-17,NaN,NaN,6.212326756408577e-18,0.0
39.0,39.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.215183949308278,1.8270184422804362e17,3.55413936413004e-17,NaN,NaN,5.718478154657996e-18,0.0
40.0,40.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.10409374777159,5.1601982874968136e16,2.947099156422636e-17,NaN,NaN,4.828069944860411e-18,0.0
41.0,41.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.9168987441426655,1.2008051726578005e17,2.82807645914513e-17,NaN,NaN,4.088648054216477e-18,0.0
42.0,42.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.443751993299162,7.64649709722324e16,3.0103093254109206e-17,NaN,NaN,4.671671610796524e-18,0.0
43.0,43.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.132855757539053,8.53613999348984e16,5.0323534363992754e-17,NaN,NaN,7.055173422062184e-18,0.0
44.0,44.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.782281707390206,1.735124815384009e17,4.480100581958421e-17,NaN,NaN,6.605594953504733e-18,0.0
45.0,45.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.469532841297547,4.63462080851981e16,4.58849454346957e-17,NaN,NaN,7.092466575298021e-18,0.0
46.0,46.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.364706703871607,1.1422297935861958e17,3.573094723451183e-17,NaN,NaN,5.613918896337665e-18,0.0
47.0,47.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.676851101711277,7.806286399933803e16,4.502959697691375e-17,NaN,NaN,6.744136763117671e-18,0.0
48.0,48.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.49257304796512,1.241789091500851e17,5.193931385576456e-17,NaN,NaN,7.999804310564238e-18,0.0
49.0,49.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.0475146569859755,7.608566993944422e16,5.1950953118690567e-17,NaN,NaN,7.371528212033337e-18,0.0
50.0,50.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.749118769532476,1.4751014320333885e17,4.986879644105574e-17,NaN,NaN,7.388934488185076e-18,0.0
51.0,51.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.414429870499413,4.243209879980757e16,5.1187020384453266e-17,NaN,NaN,7.979979735980488e-18,0.0
52.0,52.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.428981875708139,1.889354005304619e17,4.087499526200666e-17,NaN,NaN,7.529035129938623e-18,0.0
53.0,53.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.096386368368349,1.9167406719001942e17,5.447654313962006e-17,NaN,NaN,8.935874442321524e-18,0.0
54.0,54.0,-Inf,0.0,0.0,1.0,0.0,1.0,8.408860874237115,1.3018143327487715e17,6.75557439294516e-17,NaN,NaN,8.033875805512186e-18,0.0
55.0,55.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.619823444815837,2.2819734792071072e17,6.47825741536484e-17,NaN,NaN,9.786148330644889e-18,0.0
56.0,56.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.484664470953313,2.7851663596143917e17,9.240327914159266e-17,NaN,NaN,1.234568089193494e-17,0.0
57.0,57.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.011729917240917,2.018540939530972e17,7.630070994883678e-17,NaN,NaN,1.0881866650514222e-17,0.0
58.0,58.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.563203001462532,5.852365625747491e16,7.675613208190538e-17,NaN,NaN,1.169491970076214e-17,0.0
59.0,59.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.589398766562211,7.143958759198235e16,9.133832881632116e-17,NaN,NaN,1.3861405577670593e-17,0.0
60.0,60.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.345212833999013,3.1971895816278572e16,9.837807758636312e-17,NaN,NaN,1.3393495846845647e-17,0.0
61.0,61.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.318380834688715,3.053833951407203e17,7.381056729334732e-17,NaN,NaN,1.0085641750630052e-17,0.0
62.0,62.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.874953858353386,3.5096130857461956e16,8.934449746316693e-17,NaN,NaN,1.2995650487836983e-17,0.0
63.0,63.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.747637612890662,3.125317934042315e16,8.136364161282568e-17,NaN,NaN,1.2058092962400482e-17,0.0
64.0,64.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.848277201115732,1.141088024472024e17,1.0315287136764344e-16,NaN,NaN,1.506260163517295e-17,0.0
65.0,65.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.438930743280697,5.905343643809688e16,9.801559205923217e-17,NaN,NaN,1.3176032341444493e-17,0.0
66.0,66.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.390851191500394,2.3738847067124938e17,1.0534082589885187e-16,NaN,NaN,1.4252867926768116e-17,0.0
67.0,67.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.338671954289778,1.0424958087113245e17,1.0566298980201756e-16,NaN,NaN,1.4398107785735384e-17,0.0
68.0,68.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.902481783328751,2.7422318568966525e17,1.0142273969064147e-16,NaN,NaN,1.7183066956191998e-17,0.0
69.0,69.0,-Inf,0.0,0.0,1.0,0.0,1.0,8.146233873470011,1.764250329015049e17,1.1017327888904194e-16,NaN,NaN,1.3524443393142108e-17,0.0
70.0,70.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.0668050850169735,1.026242024261767e17,1.0235559837402154e-16,NaN,NaN,1.4483999083409798e-17,0.0
71.0,71.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.850940282683621,6.5237683367765976e16,1.5588688084398283e-16,NaN,NaN,1.985582302642319e-17,0.0
72.0,72.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.160118058677061,8.94043797393905e16,1.0104258447289497e-16,NaN,NaN,1.4111860118066837e-17,0.0
73.0,73.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.289943749808314,1.487833033268327e18,6.058122110526937e-17,NaN,NaN,1.1452148448169148e-17,0.0
74.0,74.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.908014967776649,4.517739428962942e17,1.131075454157082e-16,NaN,NaN,1.9144762840415372e-17,0.0
75.0,75.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.095252723033678,1.1532398611023077e17,1.0963396356704117e-16,NaN,NaN,1.7986778981737623e-17,0.0
76.0,76.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.458921594344859,1.4616908519849674e17,1.301827585396999e-16,NaN,NaN,1.7453294942582685e-17,0.0
77.0,77.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.013653291255778,8.797375441902845e16,9.847036609601642e-17,NaN,NaN,1.9640441884514988e-17,0.0
78.0,78.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.00575939796382,5.2765965784379226e17,1.3458315408681817e-16,NaN,NaN,1.9210359140500017e-17,0.0
79.0,79.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.961555044785232,2.997566643063397e17,1.363505045194481e-16,NaN,NaN,2.28716339101353e-17,0.0
80.0,80.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.816109484576294,1.6246890672581066e17,1.5991111662230102e-16,NaN,NaN,2.0459170503926188e-17,0.0
81.0,81.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.502121810516826,2.4348490408760598e17,1.3086651492531273e-16,NaN,NaN,1.7443933627131716e-17,0.0
82.0,82.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.242576718139752,1.6336976766797565e17,9.04423936069419e-17,NaN,NaN,1.7251515517932946e-17,0.0
83.0,83.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.077276386435843,2.9734761104173946e17,1.420005856810305e-16,NaN,NaN,2.0064298457127632e-17,0.0
84.0,84.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.40380810930338,3.357767423863439e17,1.335744131398e-16,NaN,NaN,1.8041312142052254e-17,0.0
85.0,85.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.930911954165342,2.8843200903663174e17,1.111500762790401e-16,NaN,NaN,1.8740807002029125e-17,0.0
86.0,86.0,-Inf,0.0,0.0,1.0,0.0,1.0,8.071695134057034,1.876028229311138e17,2.0885021831111003e-16,NaN,NaN,2.5874393772617218e-17,0.0
87.0,87.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.235472515809013,2.953412045363793e17,1.7295552764022663e-16,NaN,NaN,2.7737357065038198e-17,0.0
88.0,88.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.182917620944745,1.506758558134418e17,1.8879330040883451e-16,NaN,NaN,2.628365106935518e-17,0.0
89.0,89.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.184330536801119,4.292922606794043e17,1.38930374896041e-16,NaN,NaN,2.2464901264463063e-17,0.0
90.0,90.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.934926786172755,1.0683284751435947e17,1.514412036381531e-16,NaN,NaN,2.5516945548676716e-17,0.0
91.0,91.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.1182179610753495,5.164783258672634e17,1.6030649821673811e-16,NaN,NaN,2.2520594212391973e-17,0.0
92.0,92.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.67559561372865,1.1578941150368491e17,2.052873638789197e-16,NaN,NaN,2.6745463702092462e-17,0.0
93.0,93.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.409584025310948,1.1341155303356243e17,2.1305582082481558e-16,NaN,NaN,2.875408661228787e-17,0.0
94.0,94.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.463715974463238,1.3877119868633067e17,1.3082263231304028e-16,NaN,NaN,2.0239539118038692e-17,0.0
95.0,95.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.915405458074139,1.7864331519049504e17,1.5834072753356553e-16,NaN,NaN,2.28968103885642e-17,0.0
96.0,96.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.606843553112289,8.165949896019776e16,1.5125186233125785e-16,NaN,NaN,2.697629439781672e-17,0.0
97.0,97.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.850398418411547,5.527210055057013e17,1.9310749516993807e-16,NaN,NaN,2.818923562911766e-17,0.0
98.0,98.0,-Inf,0.0,0.0,1.0,0.0,1.0,8.31881987347753,8.075541830106441e17,2.728971714225808e-16,NaN,NaN,3.280479389782738e-17,0.0
99.0,99.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.780661394413098,3.2720967373320205e17,2.1035479932848544e-16,NaN,NaN,3.102275531732148e-17,0.0
100.0,100.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.878549199558454,3.563037697405725e17,1.529235675113597e-16,NaN,NaN,2.6013827956538326e-17,0.0
101.0,101.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.205946914596552,3.3165947418430874e17,1.6962281982370464e-16,NaN,NaN,2.733230273445415e-17,0.0
102.0,102.0,-Inf,0.0,0.0,1.0,0.0,1.0,4.597331580131822,7.203847540512278e17,1.5123759327321817e-16,NaN,NaN,3.2896820826850525e-17,0.0
103.0,103.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.509971376972988,2.5569051176017184e17,1.9889670571177992e-16,NaN,NaN,3.609759327298861e-17,0.0
104.0,104.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.780186961676371,7.399517039934385e17,2.014093751068454e-16,NaN,NaN,3.4844785547980377e-17,0.0
105.0,105.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.776319495392385,1.6873492602194893e17,2.0368276708051008e-16,NaN,NaN,3.5261686484444355e-17,0.0
106.0,106.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.644287104719316,6.687712122343648e17,1.8959828779194054e-16,NaN,NaN,3.359118419639092e-17,0.0
107.0,107.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.111675157622533,2.1894616459661757e17,2.9628680333608864e-16,NaN,NaN,4.166202712711343e-17,0.0
108.0,108.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.016141494086141,7.246407179586509e17,3.324710616416281e-16,NaN,NaN,5.526317191316838e-17,0.0
109.0,109.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.254063818462669,3.674236986163618e17,2.844714111026646e-16,NaN,NaN,4.548585037825716e-17,0.0
110.0,110.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.6201173109054943,5.140954389658825e17,1.9782682575570038e-16,NaN,NaN,5.464652351451513e-17,0.0
111.0,111.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.598874716867965,7.63190880545525e17,3.6593966058231774e-16,NaN,NaN,6.535950152266061e-17,0.0
112.0,112.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.170506161291238,8.356531128828964e17,4.3905455678323977e-16,NaN,NaN,7.115373444362032e-17,0.0
113.0,113.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.432714192561722,6.928675215247446e17,4.132239564714691e-16,NaN,NaN,6.423788530031202e-17,0.0
114.0,114.0,-Inf,0.0,0.0,1.0,0.0,1.0,6.144743031724001,8.004929143138778e17,4.667118127113626e-16,NaN,NaN,7.595302363367008e-17,0.0
115.0,115.0,-Inf,0.0,0.0,1.0,0.0,1.0,7.637266359526568,3.171421047342262e18,5.775843912104888e-16,NaN,NaN,7.562711106573126e-17,0.0
116.0,116.0,-Inf,0.0,0.0,1.0,0.0,1.0,5.846898265672565,9.981976094183995e17,5.061435806162646e-16,NaN,NaN,8.656616852526049e-17,0.0
117.0,117.0,-5.714664110378455e30,0.0,1.0,0.0,0.0,1.0,3.6290329202353475,2.503505811968033e16,4.023303006171158e-17,2.5042925099819504e16,1.0003142385410717,1.1086432927453965e-17,0.0
118.0,118.0,-6.99714983363077e29,0.0,1.0,0.0,0.0,1.0,3.2232460171517427,2.851515432213242e15,2.771037657610537e-18,2.8516053181189115e15,1.0000315221529767,8.597040507814526e-19,0.0
119.0,119.0,-2.1140422397093235e29,0.0,1.0,0.0,0.0,1.0,2.4034287686562834,6.419660323892142e14,5.151352687257066e-19,6.419687462257641e14,1.0000042273834018,2.1433348699313024e-19,0.0
120.0,120.0,-9.955937289944503e28,0.0,1.0,0.0,0.0,1.0,3.624375640638262,4.557432881063103e14,4.268885730015806e-19,4.557404677794929e14,0.9999938115889119,1.1778265150419243e-19,0.0
121.0,121.0,-5.026672194984079e28,0.0,1.0,0.0,0.0,1.0,1.9922239252674097,1.2655209288932647e14,2.2141057177668847e-19,1.2655201976985038e14,0.9999994222183575,1.1113739222209635e-19,0.0
122.0,122.0,-4.811101922985842e28,0.0,1.0,0.0,0.0,1.0,2.387118071846399,1.4488131797829934e14,1.445424377720629e-19,1.4488129683406212e14,0.9999998540582214,6.055102153378678e-20,0.0
123.0,123.0,-4.176292208062221e28,0.0,1.0,0.0,0.0,1.0,1.8099544566366292,9.544392597825545e13,1.6798644700243292e-19,9.544390503220339e13,0.9999997805407537,9.281252707020919e-20,0.0
