mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,0.0,false,false,true,1.4357498566770484,1.685743317188442e-14,-3.6074822221067875e-15,24,1.0302863203862102e-15,1,1.0152289390620874,1.0152279804255953,0.0,0.0
2,2,w2,-Inf,0.0,false,false,true,1.5780308986190061,5.461681048712051e-11,-1.2952363111985314e-11,2,2.249184758476182e-12,64,1.115920794632793,1.1157518976467948,0.0,0.0
3,3,w3,-Inf,0.0,false,false,true,1.6669218093397928,6.382649606888831e-9,-1.2427377716005645e-9,2,2.666068316466238e-10,64,1.178781826688247,1.1786015966059815,0.0,0.0
4,4,w4,-Inf,0.0,false,false,true,2.2291982372110852,1.7796984677422596e-6,-8.318669750038517e-8,24,4.1658776200286565e-7,2,1.5763836896632981,1.5761786839522265,0.0,0.0
5,5,w5,-Inf,0.0,false,false,true,2.7597393026431942,0.00020112316569266338,-4.6786574433883485e-5,2,8.60602119435747e-6,64,1.9308312127493454,1.97181434368855,0.0,0.0
6,6,w6,-Inf,0.0,false,false,true,3.7469623607331957,0.00026585427927667096,-6.076895171550869e-5,2,1.497461731677802e-5,34,2.650208628431913,2.64879615823072,0.0,0.0
7,7,w7,-Inf,0.0,false,false,true,3.070331306036589,0.0009746831706127913,-0.00018252879156223858,2,7.423879615330328e-5,64,2.14148469769848,2.2002219588814933,0.0,0.0
8,8,w8,-Inf,0.0,false,false,true,2.921690049839858,0.001734561591191802,-6.51759498861319e-5,28,0.0002737035093385282,55,2.0946724074226473,2.0368154664111144,0.0,0.0
9,9,w9,-Inf,0.0,false,false,true,4.7202260614748335,0.005079861541324974,-0.0006281864859304712,55,0.0005346611022089666,28,3.1909003121119595,3.4783133074231123,0.0,0.0
10,10,w10,-Inf,0.0,false,false,true,4.459455412593104,0.010445086470712961,-0.0015822925235226696,24,0.0004034574441072633,64,3.1203054163944004,3.1859578756622495,0.0,0.0
