mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0020921518384807e7,0.0,NaN,NaN,0.0,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.002092151843007e7,0.0,NaN,NaN,0.0,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.002092151843014e7,0.0,NaN,NaN,0.0,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0020921518444454e7,0.0,NaN,NaN,0.0,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139378518e7,0.0,NaN,NaN,0.0,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415519777e7,0.0,NaN,NaN,0.0,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155190673e7,0.0,NaN,NaN,0.0,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393773498e7,0.0,NaN,NaN,0.0,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393769613e7,0.0,NaN,NaN,0.0,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179184e7,0.0,NaN,NaN,0.0,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393758032e7,0.0,NaN,NaN,0.0,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139375422e7,0.0,NaN,NaN,0.0,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155265186e7,0.0,NaN,NaN,0.0,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393746456e7,0.0,NaN,NaN,0.0,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415526655e7,0.0,NaN,NaN,0.0,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393734807e7,0.0,NaN,NaN,0.0,0.0
17.0,17.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.735680415526954e7,0.0,NaN,NaN,0.0,0.0
18.0,18.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139373093e7,0.0,NaN,NaN,0.0,0.0
19.0,19.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139377471e7,0.0,NaN,NaN,0.0,0.0
20.0,20.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179195e7,0.0,NaN,NaN,0.0,0.0
21.0,21.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139377757e7,0.0,NaN,NaN,0.0,0.0
22.0,22.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393778535e7,0.0,NaN,NaN,0.0,0.0
23.0,23.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155179188e7,0.0,NaN,NaN,0.0,0.0
24.0,24.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.00309913937795e7,0.0,NaN,NaN,0.0,0.0
25.0,25.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.0030991393780459e7,0.0,NaN,NaN,0.0,0.0
26.0,26.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155222904e7,0.0,NaN,NaN,0.0,0.0
27.0,27.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139378148e7,0.0,NaN,NaN,0.0,0.0
28.0,28.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.7356804155266624e7,0.0,NaN,NaN,0.0,0.0
29.0,29.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.0,1.003099139378344e7,0.0,NaN,NaN,0.0,0.0
