mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,NaN,0.0,1.0,1.0,1.0,2.616705385479656,5.542683040176474e6,6.785568653138086e-26,NaN,NaN,2.5931725790728464e-26,0.0
2.0,2.0,-Inf,NaN,0.0,1.0,1.0,1.0,2.1771844910934743,2.166719389379324e7,8.230386053014247e-26,NaN,NaN,3.7802887567330586e-26,0.0
3.0,3.0,-Inf,NaN,0.0,1.0,1.0,1.0,2.7707423954892203,4.2520969945574397e8,1.4531199726117396e-25,NaN,NaN,5.244514881561796e-26,0.0
4.0,4.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.221886569924772,4.5018451931090736e8,1.8942650414526656e-25,NaN,NaN,5.879366018453266e-26,0.0
5.0,5.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.944267694024165,3.186580895034966e9,3.9578476934162117e-25,NaN,NaN,8.004921938591272e-26,0.0
6.0,6.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.230430286545027,3.5806890412583747e9,2.650763377873826e-25,NaN,NaN,8.205604649369605e-26,0.0
7.0,7.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.264530441773189,2.1116154899427856e10,1.8848479431996758e-24,NaN,NaN,4.419825274868848e-25,0.0
8.0,8.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.3608747981616305,4.98072703536219e10,5.409124356006137e-25,NaN,NaN,1.6094394111214382e-25,0.0
9.0,9.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.6069232827952615,8.306207612923734e10,4.337731582667556e-24,NaN,NaN,1.2026126542136875e-24,0.0
10.0,10.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.2151184756079685,3.3081599863699726e10,4.5283033256968884e-24,NaN,NaN,1.074300367095553e-24,0.0
11.0,11.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.776755563115584,1.4039152318645038e11,8.843789716074924e-25,NaN,NaN,2.3416367748140307e-25,0.0
12.0,12.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.6262178110793846,8.865672104621179e10,1.6768173048045762e-23,NaN,NaN,4.624149436587354e-24,0.0
13.0,13.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.2197718986036614,3.342543189761565e11,3.388164706793792e-24,NaN,NaN,1.0522996080135859e-24,0.0
14.0,14.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.216201254429131,3.6024162463022546e11,2.4969349677469283e-23,NaN,NaN,4.7868838757453134e-24,0.0
15.0,15.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.813784378777079,4.899312261662226e11,2.4065182098464962e-23,NaN,NaN,4.9992231069931336e-24,0.0
16.0,16.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.366803630610861,7.397547884687657e11,6.314622186642727e-23,NaN,NaN,1.44605132742353e-23,0.0
17.0,17.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.11958709430025,6.98321171879701e11,1.0762705645276928e-23,NaN,NaN,2.612569026679377e-24,0.0
18.0,18.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.744307536618811,1.292062353569157e12,4.8612482210142706e-23,NaN,NaN,1.0246486306996029e-23,0.0
19.0,19.0,-Inf,NaN,0.0,1.0,1.0,1.0,3.211042372853476,1.4428569481574517e12,1.1150820383634537e-22,NaN,NaN,3.472648158711596e-23,0.0
20.0,20.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.185595567723292,1.9591975803251736e12,9.413896250447119e-23,NaN,NaN,1.8153934543299218e-23,0.0
21.0,21.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.785459890600911,9.379501546714691e11,2.258958063144824e-22,NaN,NaN,4.7204618046880477e-23,0.0
22.0,22.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.7128707783218164,1.68483368316054e12,1.7370036053733575e-22,NaN,NaN,3.0405091814165114e-23,0.0
23.0,23.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.734890819027117,1.3841380027237896e12,2.181409605667349e-22,NaN,NaN,3.8037508899557555e-23,0.0
24.0,24.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.772754805208962,1.6966752623413728e12,8.054479077687202e-23,NaN,NaN,1.6875954048375965e-23,0.0
25.0,25.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.112089877552654,1.9825303060837625e12,8.826290520086305e-23,NaN,NaN,2.1464245147626366e-23,0.0
26.0,26.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.153928665305198,2.307436356503434e12,4.5456290968246505e-22,NaN,NaN,8.819736150840717e-23,0.0
27.0,27.0,-Inf,NaN,0.0,1.0,1.0,1.0,4.230398540659741,4.285194051256524e12,1.6587301453727962e-22,NaN,NaN,3.9209784360272426e-23,0.0
28.0,28.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.064433794163977,3.554033658518043e12,1.09910459416242e-21,NaN,NaN,2.1702418055676396e-22,0.0
29.0,29.0,-Inf,NaN,0.0,1.0,1.0,1.0,6.595343717339428,5.333910845288074e12,5.287981182378117e-22,NaN,NaN,8.017749201570493e-23,0.0
30.0,30.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.050690934749667,5.793369012235308e12,8.105451602906216e-22,NaN,NaN,1.6048203518332993e-22,0.0
31.0,31.0,-Inf,NaN,0.0,1.0,1.0,1.0,6.857338262269051,6.560173719092374e12,9.514000833682247e-22,NaN,NaN,1.3874189182165446e-22,0.0
32.0,32.0,-Inf,NaN,0.0,1.0,1.0,1.0,6.369996083824756,4.473976891088256e12,6.045777177025823e-22,NaN,NaN,9.491021811422746e-23,0.0
33.0,33.0,-Inf,NaN,0.0,1.0,1.0,1.0,7.762856569019774,9.540258524315213e12,5.192911601933613e-22,NaN,NaN,6.68943391619218e-23,0.0
34.0,34.0,-Inf,NaN,0.0,1.0,1.0,1.0,5.505319543649728,1.001492358963035e13,8.259123415712345e-22,NaN,NaN,1.5002078172263538e-22,0.0
