mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,NaN,false,false,true,2.616705385479656,7.185018942135663e-12,-7.498176959710465e-13,59,1.2916001832578224e-12,20,1.8533622275001107,1.847212908160308,0.0,0.0
2,2,w2,-Inf,NaN,false,false,true,2.177184491093474,4.682794937971832e-11,-5.383368297282495e-12,59,7.708389353731636e-12,20,1.5385002359951236,1.5405029477741674,0.0,0.0
3,3,w3,-Inf,NaN,false,false,true,2.7707423954892203,9.669648357265196e-10,-1.1433563280973442e-10,59,1.5396612572740044e-10,20,1.9598372519293505,1.9585840212029082,0.0,0.0
4,4,w4,-Inf,NaN,false,false,true,3.221886569924771,1.4237003920697331e-9,-2.831501787284024e-10,20,1.3019890267748786e-10,26,2.26090481831027,2.295400285789607,0.0,0.0
5,5,w5,-Inf,NaN,false,false,true,4.944267694024165,9.949345407778604e-9,-9.378074321262405e-10,26,1.9075345378446286e-9,20,3.4967188694907065,3.495531458579464,0.0,0.0
6,6,w6,-Inf,NaN,false,false,true,3.230430286545027,6.436087334181251e-9,-6.736128485963259e-10,26,1.1118759165972541e-9,20,2.2905201898251732,2.277980925343897,0.0,0.0
7,7,w7,-Inf,NaN,false,false,true,4.26453044177319,5.628535232783825e-8,-4.684826130388621e-9,59,1.0920330226110891e-8,20,3.02024306383143,3.0107061836367186,0.0,0.0
8,8,w8,-Inf,NaN,false,false,true,3.3608747981616305,8.085128487890777e-8,-8.933548987549098e-9,3,9.059426105946838e-9,57,2.3709061308789936,2.3820754663692716,0.0,0.0
9,9,w9,-Inf,NaN,false,false,true,3.6069232827952624,1.3548221274980134e-7,-1.7499628510993164e-8,23,1.5096165264754026e-8,63,2.529244247040905,2.5715402207200713,0.0,0.0
10,10,w10,-Inf,NaN,false,false,true,4.215118475607968,8.188023242045332e-8,-8.224575067680713e-9,26,1.0950894908814752e-8,274,2.992960861542813,2.9680648653094734,0.0,0.0
11,11,w11,-Inf,NaN,false,false,true,3.7767555631155845,2.5791321970940374e-7,-2.6907496557454865e-8,26,2.852117428988615e-8,50,2.6742826989667314,2.66685106999466,0.0,0.0
12,12,w12,-Inf,NaN,false,false,true,3.6262178110793877,1.7056742370509746e-7,-2.0048838643637124e-8,32,1.9893710259064368e-8,23,2.5717701683190013,2.556453366430496,0.0,0.0
13,13,w13,-Inf,NaN,false,false,true,3.219771898603663,9.75422031524731e-7,-8.158143196763089e-8,26,1.9215166623702273e-7,20,2.2809268113428725,2.272510497298997,0.0,0.0
14,14,w14,-Inf,NaN,false,false,true,5.216201254429135,1.3842389191213322e-6,-2.64067425686097e-7,20,1.327851702399829e-7,63,3.660900847009504,3.7157180349255863,0.0,0.0
15,15,w15,-Inf,NaN,false,false,true,4.813784378777081,1.5026744158101121e-6,-2.727471339949322e-7,20,1.3426150170928673e-7,22,3.391850260886853,3.4158266719899277,0.0,0.0
16,16,w16,-Inf,NaN,false,false,true,4.36680363061086,1.2375141210047594e-6,-1.2795526173245126e-7,34,1.4071884536495807e-7,21,3.0818221177792537,3.093759263853814,0.0,0.0
17,17,w17,-Inf,NaN,false,false,true,4.1195870943002495,2.330363685891944e-6,-3.8271213105323726e-7,20,2.0228877339991908e-7,34,2.9238567813648033,2.902078453382471,0.0,0.0
18,18,w18,-Inf,NaN,false,false,true,4.744307536618808,2.431468297921367e-6,-3.5475612722455845e-7,20,2.1952388344967084e-7,3,3.3536390818727715,3.3558246245219183,0.0,0.0
19,19,w19,-Inf,NaN,false,false,true,3.211042372853477,2.3464952483880063e-6,-3.0773923348545824e-7,50,2.6027929662313105e-7,3,2.24544585366069,2.2953792798866584,0.0,0.0
20,20,w20,-Inf,NaN,false,false,true,5.185595567723278,3.947304209027256e-6,-4.491529866406206e-7,34,3.8065573752813596e-7,20,3.6749862001219555,3.6585349282040407,0.0,0.0
21,21,w21,-Inf,NaN,false,false,true,4.785459890600911,2.433487785148635e-6,-2.5269966418723926e-7,34,3.122283051244201e-7,245,3.3762018705714305,3.3914432464209283,0.0,0.0
22,22,w22,-Inf,NaN,false,false,true,5.712870778321816,4.732966492478874e-6,-3.9023411770789537e-7,29,5.401545636688531e-7,20,3.989742829176102,4.088868387074689,0.0,0.0
23,23,w23,-Inf,NaN,false,false,true,5.7348908190271155,3.134917890096917e-6,-3.566790867130443e-7,24,4.0913922052842717e-7,22,4.059269651039107,4.051086595754837,0.0,0.0
24,24,w24,-Inf,NaN,false,false,true,4.772754805208963,4.540035396426148e-6,-5.065080289398425e-7,63,4.659693127799824e-7,50,3.381796060306062,3.367884178103967,0.0,0.0
25,25,w25,-Inf,NaN,false,false,true,4.112089877552652,5.158540714471528e-6,-4.717244582182727e-7,29,8.356410871826906e-7,20,2.892608759694847,2.9226867304555597,0.0,0.0
26,26,w26,-Inf,NaN,false,false,true,5.153928665305193,5.807736943720479e-6,-5.789859257779366e-7,21,6.313102256666947e-7,54,3.655148308133369,3.6335755850911693,0.0,0.0
27,27,w27,-Inf,NaN,false,false,true,4.230398540659743,6.758652286766776e-6,-9.585981196012283e-7,52,7.448909649895906e-7,3,3.034747812696588,2.947300040054235,0.0,0.0
28,28,w28,-Inf,NaN,false,false,true,5.064433794163981,1.0253846092930833e-5,-1.1905198496389625e-6,63,1.0652480688690277e-6,52,3.567245376448396,3.59489222085622,0.0,0.0
29,29,w29,-Inf,NaN,false,false,true,6.595343717339425,1.6490771253467093e-5,-2.647185380283586e-6,20,1.108517860020476e-6,22,4.664941103740925,4.662283051060402,0.0,0.0
30,30,w30,-Inf,NaN,false,false,true,5.050690934749663,1.1218203173607633e-5,-1.0187912391343233e-6,26,1.2385835143495068e-6,57,3.580875580858745,3.5618547124561557,0.0,0.0
31,31,w31,-Inf,NaN,false,false,true,6.857338262269048,1.1467240823002653e-5,-1.306756061443323e-6,54,9.453357132740171e-7,26,4.86770999217768,4.829957295370344,0.0,0.0
32,32,w32,-Inf,NaN,false,false,true,6.369996083824754,8.229254944766043e-6,-6.571848282737104e-7,23,1.0956494532322296e-6,57,4.482648124539933,4.525783456975557,0.0,0.0
33,33,w33,-Inf,NaN,false,false,true,7.762856569019775,2.0908738576911653e-5,-2.324853690434803e-6,62,2.417731133800163e-6,64,5.5281542410590685,5.449903925556568,0.0,0.0
34,34,w34,-Inf,NaN,false,false,true,5.505319543649724,1.9399931172602247e-5,-2.679774872898185e-6,20,1.643324204737396e-6,26,3.910542084617367,3.8750746936996827,0.0,0.0
35,35,w35,-Inf,NaN,false,false,true,6.162259145292114,1.6848746050359005e-5,-2.3711214330013635e-6,52,1.4554189802640533e-6,57,4.337065318543223,4.3775909123788646,0.0,0.0
36,36,w36,-Inf,NaN,false,false,true,6.319175936050887,1.4992444128317026e-5,-1.8201084063041583e-6,52,1.5607001102853782e-6,65,4.500657315966764,4.435771436263901,0.0,0.0
37,37,w37,-Inf,NaN,false,false,true,6.305707219152323,1.0306810959066534e-5,-1.6037388407793934e-6,51,1.4955424725469864e-6,32,4.435488818576648,4.48200652318189,0.0,0.0
38,38,w38,-Inf,NaN,false,false,true,5.615126369718209,1.1385354437292416e-5,-1.0796574835559685e-6,62,1.8253660182979973e-6,32,4.002062773285638,3.9386720739935273,0.0,0.0
39,39,w39,-Inf,NaN,false,false,true,6.475761011956936,3.0978074529047214e-5,-2.1524641356782686e-6,32,4.183619254865563e-6,33,4.602904738873781,4.555079433761304,0.0,0.0
