mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,1,w1,3.0948293486494288e7,5563.119042991466,true,true,37.274767710650856,8.063170878156553,-8.73458678886468e-11,1,1.0,177,1.0,true,0.0,0.0
2,2,w2,1.8563870553400037e8,13624.929560698667,true,true,49.99303145165627,7.392191723661616,-1.0,225,0.9999990795758684,129,1.0,true,0.0,0.0
3,3,w3,1.8563885439941764e8,13624.935023676908,true,true,49.99305412357098,7.392194847307771,-0.9999999457683507,219,1.0,135,1.0,true,0.0,0.0
4,4,w4,4.2641621920529145e8,20649.84792208629,true,true,65.21404902276005,8.061657880779013,-0.999999740185562,233,1.0,113,1.0,true,0.0,0.0
5,5,w5,6.87836587084809e8,26226.63888272397,true,true,63.443394029110756,7.361371146312453,-1.0,182,0.9999986541100039,102,1.0,true,0.0,0.0
6,6,w6,6.903787146375893e8,26275.0587941795,true,true,49.2761218620466,5.722550779923148,-0.5646847058786056,97,1.0,177,1.0,true,0.0,0.0
7,7,w7,1.0348268441810582e9,32168.724627828473,true,true,58.83214184315901,6.2524811623328675,-0.9999974851493535,247,1.0,107,1.0,true,0.0,0.0
8,8,w8,1.0348269490360337e9,32168.72625759425,true,true,58.83216668499398,6.252483658145641,-1.0,257,0.9999988078836599,97,1.0,true,0.0,0.0
9,9,w9,1.774384383336339e9,42123.44220664236,true,true,81.99437216332788,7.99076395374362,-0.9673164380761826,102,1.0,177,1.0,true,0.0,0.0
10,10,w10,1.801415322004642e9,42443.08332348914,true,true,61.1286107481663,6.1708143687609525,-0.9999986852604934,145,1.0,209,1.0,true,0.0,0.0
11,11,w11,1.8014154870345855e9,42443.085267621456,true,true,61.12860793328103,6.170814101730186,-0.9999989180726415,149,1.0,205,1.0,true,0.0,0.0
12,12,w12,2.2355371944723635e9,47281.46776986057,true,true,82.23624808285916,7.901205513911283,-0.9999998075538582,264,1.0,216,1.0,true,0.0,0.0
13,13,w13,2.2478914961904616e9,47411.93411147094,true,true,80.02911100251058,7.72300751371444,-0.9999997725165333,81,1.0,93,1.0,true,0.0,0.0
14,14,w14,3.1009532230818443e9,55686.20316633057,true,true,66.66831221313515,6.111423481980324,-0.9999999945671866,81,1.0,273,1.0,true,0.0,0.0
15,15,w15,3.100953363833988e9,55686.20443012783,true,true,66.66833260462548,6.111425555654604,-0.9999998254710768,261,1.0,93,1.0,true,0.0,0.0
16,16,w16,3.776649996379519e9,61454.45465041179,true,true,67.21544513404312,6.310382345215055,-1.0,180,0.9999987948953102,132,1.0,true,0.0,0.0
17,17,w17,3.7814861999649525e9,61493.78993008117,true,true,60.761193534681546,5.715015805778498,-0.8214594612637001,135,1.0,177,1.0,true,0.0,0.0
18,18,w18,4.285884811338922e9,65466.66946881384,true,true,69.91237986990116,6.3914411389812695,-0.9999999998644873,129,1.0,225,1.0,true,0.0,0.0
