mode_rank,omega,freq_hz,omega_sq,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,boundary_max_abs_w,center_w,relative_residual,residual_within_tolerance
1,10031.528592606306,1596.5673622809777,100631565.90427786,10.582945223531338,2.0185777428593754,-3.0971174902267427e-10,2,1.0,21,3.0971174902267427e-10,1.0,7.214244925062248e-06,0.0
2,24816.67969328341,3949.697244314316,615867590.9990252,15.314572999773514,2.1439682877633257,-1.0,25,0.9999973499524896,17,9.090204733254667e-10,2.9729098832919826e-07,1.5368290116639857e-06,0.0
3,27693.5728961126,4407.569018292056,766933979.7523023,13.190209171584591,1.7882176932535232,-1.0,19,0.9999991121640256,23,1.012439167072056e-09,1.7080261370224894e-07,1.044936996624212e-06,0.0
4,38741.15965998216,6165.8470609984915,1500877451.8002295,15.370736572344518,1.859439045873967,-1.0,17,0.8194802929770256,23,1.2133020265054923e-09,0.2756243986380947,8.847557014454186e-07,1.0
5,56531.5291110864,8997.272298572781,3195813783.637609,13.445676655550235,1.999999671865524,-0.9999999241386092,18,1.0,20,1.6067314674331947e-09,1.9086219889183218e-07,1.6151616677591878e-07,1.0
6,56994.66373149568,9070.982462727907,3248391693.866268,10.68259994353353,1.5107806036853335,-0.6667995647716026,23,1.0,21,9.74322993800497e-10,1.0,3.11349734292295e-07,1.0
7,61588.122414491285,9802.054118015045,3793096822.542364,15.434330129840106,1.9368316745845304,-1.0,17,0.9999991683172232,25,2.0585657312983064e-09,8.150076855606763e-07,3.617829761253048e-07,1.0
8,66316.33238221408,10554.572106354499,4397855940.628297,16.7232835470802,2.1441925758302363,-1.0,19,0.9999998847251348,23,1.540336851617169e-09,6.616289059982202e-08,1.411168514274495e-07,1.0
9,80917.19237877139,12878.371148199309,6547592022.463098,15.293957311812028,1.912005158868221,-0.6740297440362167,20,1.0,21,1.5909260501282614e-09,1.0,1.4726203247544806e-07,1.0
10,196116.1350590963,31212.852314732932,38461538430.5177,11668795774.146286,2.2983157182495595,-0.9793087667749076,14,1.0,10,1.0,0.1849476471103077,7.837711887635707e-08,1.0
11,196116.13508605733,31212.852319023914,38461538441.09269,15445692925.09822,2.336129626953474,-0.9852215051259638,16,1.0,8,1.0,0.0825935816845201,6.345129263916388e-08,1.0
12,196116.1351041116,31212.85232189734,38461538448.17416,6619472404.515932,1.981393417050544,-0.5243136273605203,13,1.0,22,0.5243136273605203,0.6740849191916992,1.0526049342215233e-07,1.0
13,197823.83947587275,31484.64191400277,39134271464.97588,9742.092909844596,1.8164874561528483,-0.702903737670273,23,1.0,17,5.675356647763517e-07,0.2792483539468223,9.575154989710625e-08,1.0
14,198162.8441125039,31538.596177653686,39268512786.75652,4118.474765934068,2.3209944534316254,-0.9999999272494304,18,1.0,20,2.65787087644516e-07,1.5539043809329302e-07,9.932387527268129e-08,1.0
15,198187.8223953944,31542.57159484566,39278412945.828384,3607.639259837406,2.229060383805965,-0.9999996859243871,25,1.0,17,2.540381176296491e-07,2.5049850933771655e-07,1.065955444778034e-07,1.0
16,198197.16416883573,31544.05838426609,39282115884.56843,8566.32767518806,1.999994291416401,-1.0,22,0.9999994065132316,24,6.694352508473285e-07,1.2643613437970813e-06,2.2467381169976814e-07,1.0
17,199151.1072240988,31695.883136939396,39661163508.5845,3087.8393888396818,1.999999133561742,-0.9999998240527792,18,1.0,20,1.196827452255463e-07,5.116456369325466e-07,3.432494561592401e-07,1.0
18,200840.53956298315,31964.76464469214,40336922331.9502,1237.105601265013,2.884831009973438,3.4434025011043934e-08,6,1.0,24,8.096641309662609e-08,0.967497367817958,6.25864029349477e-08,1.0
19,201211.00731046184,32023.72641795949,40485869462.89074,3804.168634351377,1.4421656925608095,-1.0,19,0.9999999623181072,23,2.346378208879207e-07,2.118871553264339e-08,4.75260936445314e-08,1.0
20,201212.02907436385,32023.88903673517,40486280644.22264,3297.074136271255,1.4170563261630431,-0.999997654500165,17,1.0,25,2.2195277083565014e-07,9.170563285826514e-07,1.6668348750447713e-07,1.0
21,203761.3839836324,32429.63147224085,41518701602.92529,12363.553340420056,1.999998460409764,-0.9999996542688784,18,1.0,20,4.166784952093828e-07,1.2159896851292878e-06,3.1523343376491613e-07,1.0
22,206253.80429888843,32826.312485676506,42540631787.76417,5647.455138421421,2.3118224162007643,-1.0,20,0.9999998568401272,22,1.378960327574582e-07,9.326242225169359e-08,7.914737458469049e-08,1.0
23,206362.0220896112,32843.53588200052,42585284160.91317,2994.856121212774,2.317389034283902,-0.9999999465743368,18,1.0,24,1.0879657815568253e-07,8.368941507023584e-08,1.357560155827959e-07,1.0
24,206409.8044885571,32851.14068698555,42605007389.00437,1625.7716269142552,1.567647813050166,-8.223943468567003e-08,3,1.0,21,1.210561710740489e-07,1.0,4.028188855093395e-08,1.0
25,207235.3815624153,32982.535359193425,42946503371.31986,94937.6026524018,1.9999918943328847,-1.0,18,0.9999961758413648,22,6.553174057864268e-06,1.4346337788108728e-06,7.375306366646277e-08,1.0
26,208301.127556202,33152.15410218496,43389359741.18512,1583.4676288471348,1.862813298078388,-0.8069545479700101,23,1.0,25,1.5013659123120433e-08,0.0995437635144418,1.1372872241053648e-07,1.0
27,210962.82564269347,33575.77650966832,44505313803.14948,617.8856295415303,1.6456328121398154,-1.0,19,0.9999999990237476,23,4.671779640140176e-08,1.1594531203126882e-08,1.944977625201949e-08,1.0
28,211053.0045130874,33590.12892265395,44543370714.00129,596.245775577768,1.5786879509103486,-1.0,25,0.9999999661213044,17,4.5032478297726505e-08,3.7808660266892513e-08,4.4196899526256256e-08,1.0
29,213200.8711454741,33931.97251430045,45454611457.18907,30325.592132088863,1.9999946596084344,-1.0,22,0.9999992027415952,18,2.8592492499856537e-07,1.2609164843476091e-06,1.2374403010029752e-07,1.0
30,213870.31322947907,34038.51753108357,45740510880.875496,2307.6195631681253,2.079738963847849,-1.0,18,0.9999999979168446,24,4.1667501235058356e-08,3.9208579034653294e-08,3.205132146229364e-08,1.0
31,214031.87006678543,34064.23010033117,45809641404.28533,1923.9937302010887,2.1796781813064405,-1.0,18,0.9999999505338036,24,5.1507338063802037e-08,1.960593235406392e-08,3.3847902274490855e-08,1.0
32,214929.70711503064,34207.125304650435,46194779000.55286,11493.30262320935,1.999999293151808,-1.0,20,0.9999996571652648,24,3.382188723472967e-07,9.402231764502197e-08,1.6291057964277577e-07,1.0
33,216496.8528731349,34456.54429859822,46870887303.97181,1560.4498639043377,1.813115764162584,-0.999999714054696,19,1.0,23,7.699476936013484e-08,2.4424690970892196e-10,3.731126711641034e-08,1.0
34,216521.66241566237,34460.49285992732,46881630295.24205,648.9412241150168,1.9220417802230123,-1.0,17,0.9127432001065474,19,4.4496184494135214e-08,0.0503378209047594,4.0290672015004144e-08,1.0
35,216621.47811388547,34476.37902169769,46924864780.24457,1715.9086584614158,2.403559500157376,-0.99999958032491,22,1.0,20,8.905339587448624e-08,1.2607038619940978e-07,3.6363510325376996e-08,1.0
36,218939.11874232447,34845.24298402437,47934337715.66566,1980.227659198638,1.4742430214118365,-0.3940948745621404,17,1.0,21,3.551618131461776e-08,1.0,1.653601364579485e-07,1.0
37,225324.16313365227,35861.45436076537,50770978491.88074,8613.148820004086,1.605630528527065,-0.9999999312374668,19,1.0,23,8.05026905617569e-08,1.600914226118658e-07,1.3057849184886746e-07,1.0
38,225335.91127260524,35863.324135151866,50776272909.05543,2324.89845456258,1.999999824466845,-0.9999999980494946,20,1.0,24,1.0684987778795197e-07,-1.4227625754683289e-08,3.195257953588536e-08,1.0
39,225384.4337203693,35871.04672256443,50798142963.45154,5232.15878989443,2.050658388818596,-1.0,22,0.9999998797862852,18,1.2044019427330336e-07,9.34023901222795e-10,1.0569039706994629e-07,1.0
40,228149.81079156365,36311.170152958,52052336164.22629,1748.032200331685,1.79416882657799,-0.5350311049233857,25,1.0,23,4.871360782821041e-08,0.5264016097565726,5.968812603381577e-08,1.0
41,231412.67411735115,36830.47097989034,53551825742.14336,876.2680446701681,1.7244356170842492,-1.0,23,0.9999998777610738,19,4.1561130281195416e-08,1.0883367680480801e-07,1.7172526031584034e-08,1.0
42,231984.45290144268,36921.47239973358,53816786387.98168,499.6781787677949,1.706106431886478,-0.7999290915285421,25,1.0,21,2.6976347743073332e-08,1.0,5.46388584207206e-08,1.0
43,232322.74630857236,36975.313467693675,53973858452.35725,962.5643757692086,2.410574260138864,-1.0,17,0.9999997577723836,25,6.321662173777769e-08,1.931081472572996e-07,7.297047995453506e-08,1.0
44,232419.5559616704,36990.72120252324,54018849993.42004,698.6696891760691,1.9999997846950277,-0.9999999893472232,22,1.0,18,2.2421186523806808e-08,1.2756908974697816e-07,2.2588136409232306e-08,1.0
45,239552.9984638189,38126.04383800199,57385639073.00641,2309.6380960584265,1.7123713897387112,-0.9999991294810168,23,1.0,19,5.310702755980147e-08,3.979416407283717e-07,8.981769656459326e-08,1.0
46,239850.1510291228,38173.33713762254,57528094948.69299,1844.1667833609656,2.373860051018057,-1.0,17,0.999999970058665,25,5.3043666353259645e-08,2.0896434740978338e-08,5.4426841347073054e-08,1.0
47,240658.0810176561,38301.9231889698,57916311959.100746,14687.991525255353,1.999997590560229,-1.0,18,0.9999979643719344,20,6.490860560019252e-08,1.4074015585732403e-06,1.3604657357213009e-07,1.0
48,241607.37084793832,38453.007357886076,58374121648.0532,887.5288076912846,1.982764639528129,-0.6216387485730138,24,1.0,21,5.902850675758363e-08,1.0,8.481105783695667e-08,1.0
49,242868.51285591017,38653.72434239564,58985114536.8414,2532.915996858382,1.99999991918866,-1.0,18,0.9999999480654826,20,1.204246838889589e-07,3.8157758554670684e-08,4.695683509874288e-08,1.0
50,244717.86010813763,38948.05709908105,59886831055.90603,4451.301571914135,1.834645822936502,-1.0,17,0.9999999883955472,25,1.889305866642601e-07,1.3755054484865808e-07,1.522424424699606e-07,1.0
51,244730.333526553,38950.04230527911,59892936148.01788,4020.922305853792,1.856820395285518,-0.9999996471724844,19,1.0,23,1.1226284898524832e-07,2.2228345448708885e-07,6.504895152216092e-08,1.0
52,247168.4125982279,39338.07464118507,61092224186.32784,878.9477823765095,1.2335864318527376,-0.3465618971843721,20,1.0,21,5.8566396567443085e-08,1.0,6.96798001462664e-08,1.0
53,249179.6880090115,39658.17906473046,62090516916.26831,15199.044140039685,1.7021728678625163,-0.5419284832622424,18,1.0,21,6.620372134468122e-08,1.0,4.782265956314452e-07,1.0
54,251225.24977799685,39983.74033166428,63114126126.016914,4828.788123667881,1.999999731201884,-0.9999998498342554,20,1.0,24,1.3800949396883654e-07,-4.7751056186127395e-09,5.76737550951483e-08,1.0
55,251686.53302375996,40057.15584039295,63346110905.5202,1042.417349444923,1.887040149721448,-0.9999998607450228,17,1.0,25,9.030278060067813e-08,8.835648451462549e-08,9.66800587861111e-08,1.0
56,251777.60739243103,40071.65077635593,63391963584.25714,1015.6928139688343,1.839976476129184,-1.0,23,0.9999999775674784,19,7.47823329036554e-08,3.225781063412935e-09,2.26050413921363e-08,1.0
57,258737.42469055537,41179.3401023689,66945054935.50082,25579442859.646755,2.202714143949171,-0.882152651607616,22,1.0,21,5.641867206468924e-08,1.0,9.62735100177655e-08,1.0
58,258737.42469483404,41179.34010304987,66945054937.71492,82301711151.26347,1.9054375006987625,-0.5805661425116989,18,1.0,19,8.64773506257374e-08,0.3632761047029497,2.068679719790977e-07,1.0
59,259990.6691865342,41378.80015880664,67595148064.06187,951.1349439664664,2.317868560243292,-0.8118799195217238,20,1.0,21,4.9057263435867e-08,1.0,6.07929062691532e-08,1.0
60,1171080088.8998675,186383184.90491015,1.3714285746177216e+18,2.9145877243221245,2.914587724322065,-1.0,15,0.9999999999646616,9,1.0,-3.1708814505132667e-12,5.626660139637527e-16,1.0
61,1171080088.8998675,186383184.90491015,1.371428574617722e+18,2.914586439112815,2.914586439112753,-1.0,6,0.999999999990889,12,1.0,1.5329057273423925e-12,9.0587594284487e-16,1.0
