mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,2,3,128.4999,128.3049,-2.818032,1.801108,1.521264,2.385221,99.9997,0.0002,0.0001,5.30e-07
2,1,4,155.6178,167.7833,-1.139621,1.801327,1.605629,2.281775,99.9994,0.0002,0.0004,5.13e-07
3,1,4,165.0847,167.7833,-1.793610,1.801734,1.631800,2.298907,99.9994,0.0005,0.0002,3.45e-07
4,2,4,199.1592,197.3921,-2.048059,1.800662,1.673906,2.270550,99.9991,0.0004,0.0005,2.61e-07
5,2,4,210.3178,197.3921,-1.183876,1.800848,1.701514,2.278444,99.9990,0.0004,0.0007,3.50e-07
6,3,4,225.4259,246.7401,-1.063571,1.800649,1.662714,2.180595,99.9989,0.0008,0.0003,2.91e-07
7,3,4,246.8503,246.7401,-3.350079,1.800796,1.702922,2.206129,99.9987,0.0006,0.0007,1.81e-07
8,1,5,268.1786,256.6097,-1.345980,1.800281,1.723727,2.202486,99.9985,0.0006,0.0009,2.36e-07
9,2,5,281.5642,286.2185,-1.788841,1.802212,1.723366,2.130255,99.9983,0.0004,0.0012,1.72e-07
10,2,5,296.5344,286.2185,-1.443191,1.801634,1.741771,2.149543,99.9982,0.0011,0.0007,1.73e-07
11,4,4,306.1249,315.8273,-1.512570,1.801206,1.724392,2.105234,99.9982,0.0010,0.0009,1.67e-07
12,4,4,321.6255,315.8273,-1.736157,1.801610,1.724816,2.158421,99.9982,0.0009,0.0010,1.27e-07
13,3,5,336.3255,335.5665,-2.645576,1.800912,1.731398,2.128322,99.9980,0.0010,0.0010,1.31e-07
14,1,6,371.6805,365.1754,-1.749245,1.802309,1.755886,2.091495,99.9975,0.0009,0.0016,1.87e-07
15,1,6,373.0732,365.1754,-1.664994,1.801540,1.748117,2.098684,99.9976,0.0014,0.0010,1.47e-07
16,1,6,376.4591,365.1754,-1.510049,1.801566,1.742826,2.108266,99.9977,0.0012,0.0011,1.25e-07
17,2,6,388.4838,394.7842,-1.796991,1.801359,1.737187,2.066079,99.9976,0.0014,0.0010,8.76e-08
18,2,6,394.6649,394.7842,-3.519758,1.801618,1.750048,2.059296,99.9974,0.0018,0.0008,1.13e-07
19,3,6,438.3894,444.1322,-1.888392,1.801785,1.741473,2.053467,99.9972,0.0010,0.0018,7.60e-08
20,3,6,447.8837,444.1322,-2.073311,1.800596,1.754151,2.017220,99.9970,0.0014,0.0016,9.70e-08
21,3,6,462.7814,444.1322,-1.376851,1.801341,1.751580,2.081094,99.9971,0.0012,0.0017,6.95e-08
22,1,7,472.9957,493.4802,-1.381843,1.802294,1.747083,1.973823,99.9968,0.0016,0.0016,8.50e-08
23,1,7,479.0901,493.4802,-1.535205,1.801266,1.736167,2.016541,99.9969,0.0011,0.0020,6.55e-08
24,1,7,500.3914,493.4802,-1.853717,1.800165,1.763616,1.983271,99.9965,0.0015,0.0019,7.26e-08
25,2,7,518.4459,523.0890,-2.051766,1.800926,1.747321,2.009508,99.9966,0.0024,0.0010,7.03e-08
26,2,7,526.8185,523.0890,-2.146931,1.801431,1.760404,1.997005,99.9964,0.0020,0.0016,6.79e-08
27,2,7,531.1508,523.0890,-1.812145,1.800909,1.718905,2.018160,99.9970,0.0014,0.0016,7.88e-08
28,2,7,541.3175,523.0890,-1.457825,1.801064,1.750730,2.016336,99.9965,0.0015,0.0020,6.18e-08
29,3,7,553.0374,572.4371,-1.469934,1.800282,1.747149,1.966814,99.9963,0.0021,0.0016,5.34e-08
30,3,7,569.4386,572.4371,-2.280830,1.802384,1.748219,1.977878,99.9963,0.0018,0.0020,5.76e-08
31,3,7,576.3715,572.4371,-2.162848,1.800678,1.736926,1.983788,99.9964,0.0018,0.0017,6.52e-08
32,5,6,592.3793,602.0459,-1.794358,1.801001,1.751449,1.964181,99.9960,0.0016,0.0024,4.42e-08
33,5,6,601.4473,602.0459,-3.002511,1.800817,1.759062,1.941373,99.9959,0.0027,0.0014,5.07e-08
34,1,8,622.9671,641.5243,-1.538702,1.802390,1.744065,1.946842,99.9959,0.0018,0.0023,4.85e-08
35,1,8,629.9126,641.5243,-1.742319,1.801119,1.746775,1.955974,99.9958,0.0024,0.0017,6.06e-08
36,1,8,644.3946,641.5243,-2.349283,1.801727,1.756927,1.983524,99.9956,0.0027,0.0016,3.84e-08
37,2,8,665.8809,671.1331,-2.106466,1.801582,1.759263,1.936718,99.9954,0.0025,0.0021,4.51e-08
38,2,8,672.6516,671.1331,-2.645384,1.802155,1.743037,1.966523,99.9957,0.0022,0.0021,3.84e-08
39,2,8,678.4022,671.1331,-1.965330,1.800551,1.737814,1.973079,99.9958,0.0025,0.0017,4.92e-08
40,2,8,683.7791,671.1331,-1.724856,1.801673,1.750195,1.981339,99.9956,0.0016,0.0028,4.89e-08
41,6,6,698.9171,710.6115,-1.783655,1.800857,1.723112,1.971592,99.9959,0.0021,0.0020,3.90e-08
42,6,6,709.9057,710.6115,-3.002915,1.800915,1.754943,1.957851,99.9952,0.0015,0.0033,3.89e-08
43,3,8,719.4995,720.4811,-2.865696,1.801991,1.758357,1.942516,99.9951,0.0025,0.0025,3.68e-08
44,5,7,743.4917,730.3507,-1.744903,1.800751,1.756931,1.985215,99.9950,0.0027,0.0023,3.73e-08
45,5,7,744.6260,730.3507,-1.708948,1.800843,1.747638,1.954330,99.9952,0.0024,0.0023,4.44e-08
46,4,8,760.7460,789.5684,-1.437661,1.800250,1.750274,1.888431,99.9948,0.0030,0.0023,4.11e-08
47,4,8,767.8487,789.5684,-1.560536,1.802078,1.758322,1.892521,99.9946,0.0036,0.0018,3.24e-08
48,4,8,779.0289,789.5684,-1.874574,1.801074,1.731038,1.941573,99.9952,0.0028,0.0019,3.57e-08
49,4,8,785.0215,789.5684,-2.239675,1.800314,1.744809,1.931177,99.9949,0.0035,0.0016,3.94e-08
50,4,8,791.0667,789.5684,-2.721783,1.802831,1.757603,1.935733,99.9947,0.0022,0.0032,3.81e-08
51,1,9,800.2160,809.3076,-1.949476,1.802197,1.739837,1.932342,99.9949,0.0026,0.0025,3.83e-08
52,1,9,817.4270,809.3076,-1.998588,1.799160,1.750076,1.934095,99.9946,0.0024,0.0030,2.39e-08
53,1,9,823.5747,809.3076,-1.753777,1.801497,1.758664,1.936042,99.9945,0.0019,0.0036,3.52e-08
54,2,9,838.2683,838.9164,-3.112089,1.802007,1.733328,1.945589,99.9949,0.0026,0.0025,4.16e-08
55,2,9,845.2572,838.9164,-2.121570,1.802215,1.756734,1.921242,99.9943,0.0033,0.0024,2.93e-08
56,2,9,855.7958,838.9164,-1.696362,1.800145,1.771601,1.932491,99.9939,0.0030,0.0031,2.76e-08
57,5,8,868.9259,878.3948,-1.967391,1.801260,1.742962,1.924442,99.9944,0.0033,0.0023,2.53e-08
58,5,8,881.9066,878.3948,-2.398161,1.801326,1.749522,1.932262,99.9942,0.0038,0.0020,2.57e-08
59,3,9,885.8970,888.2644,-2.574263,1.801473,1.760323,1.903163,99.9939,0.0028,0.0033,3.03e-08
60,3,9,901.4973,888.2644,-1.826886,1.801419,1.752305,1.932139,99.9941,0.0029,0.0030,3.36e-08
61,3,9,910.8278,888.2644,-1.595138,1.801678,1.753674,1.925810,99.9941,0.0024,0.0035,2.96e-08
62,3,9,912.7318,888.2644,-1.559955,1.800781,1.756642,1.929540,99.9940,0.0033,0.0028,2.69e-08
63,4,9,927.8572,957.3516,-1.511331,1.800646,1.727290,1.908986,99.9943,0.0024,0.0033,3.17e-08
64,4,9,934.6009,957.3516,-1.624077,1.801209,1.745140,1.899485,99.9938,0.0036,0.0025,2.90e-08
65,4,9,944.5192,957.3516,-1.872764,1.799831,1.748204,1.897623,99.9937,0.0025,0.0038,2.33e-08
66,4,9,949.7685,957.3516,-2.101223,1.800611,1.743769,1.911321,99.9939,0.0036,0.0026,3.32e-08
67,4,9,958.2644,957.3516,-3.020692,1.801197,1.742466,1.918317,99.9939,0.0036,0.0025,2.64e-08
68,7,7,970.8319,967.2212,-2.427934,1.802092,1.737898,1.916940,99.9940,0.0033,0.0027,2.89e-08
69,7,7,974.5890,967.2212,-2.118190,1.799817,1.757508,1.909895,99.9934,0.0029,0.0037,1.85e-08
70,6,8,983.3038,986.9604,-2.431216,1.800664,1.750060,1.895968,99.9935,0.0038,0.0027,2.87e-08
71,1,10,997.1923,996.8300,-3.439562,1.800997,1.757075,1.904016,99.9932,0.0038,0.0031,2.74e-08
72,1,10,1002.3232,996.8300,-2.258798,1.801587,1.747858,1.914497,99.9935,0.0038,0.0027,2.60e-08
73,2,10,1011.8915,1026.4389,-1.848550,1.802534,1.753586,1.883886,99.9932,0.0038,0.0031,2.16e-08
74,2,10,1021.7623,1026.4389,-2.341403,1.801641,1.757482,1.895896,99.9930,0.0041,0.0029,2.80e-08
75,5,9,1036.3465,1046.1781,-2.026981,1.800358,1.760584,1.879472,99.9928,0.0033,0.0040,1.64e-08
76,5,9,1043.7576,1046.1781,-2.635708,1.799362,1.757808,1.904246,99.9928,0.0044,0.0028,2.29e-08
77,5,9,1049.3545,1046.1781,-2.517663,1.802481,1.758170,1.895222,99.9929,0.0030,0.0041,2.46e-08
78,3,10,1064.2826,1075.7869,-1.970867,1.800351,1.742111,1.906705,99.9931,0.0036,0.0033,2.27e-08
79,3,10,1066.5347,1075.7869,-2.065483,1.802281,1.757852,1.894027,99.9926,0.0034,0.0039,2.31e-08
80,3,10,1073.5486,1075.7869,-2.681803,1.802765,1.749799,1.897565,99.9929,0.0032,0.0039,2.31e-08
81,3,10,1080.6913,1075.7869,-2.341136,1.803120,1.759119,1.884574,99.9926,0.0028,0.0046,2.51e-08
82,3,10,1089.9342,1075.7869,-1.881053,1.801578,1.747937,1.910756,99.9929,0.0027,0.0043,1.69e-08
83,7,8,1098.4323,1115.2653,-1.821216,1.800471,1.754185,1.884069,99.9925,0.0040,0.0036,2.23e-08
84,7,8,1103.9677,1115.2653,-1.994394,1.801290,1.736506,1.907057,99.9931,0.0037,0.0032,1.99e-08
85,7,8,1120.1699,1115.2653,-2.356774,1.802419,1.746117,1.905197,99.9928,0.0038,0.0034,2.23e-08
86,7,8,1123.9576,1115.2653,-2.108242,1.799302,1.760566,1.903842,99.9922,0.0032,0.0046,2.00e-08
