mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,2,2,72.2078,78.9568,-1.068149,1.801064,1.574832,99.9998,0.0001,0.0001,2.12e-06
2,1,3,99.8697,98.6960,-1.924759,1.800996,1.671487,99.9995,0.0003,0.0001,1.20e-06
3,1,3,113.2705,98.6960,-0.830709,1.800831,1.689166,99.9995,0.0001,0.0004,1.23e-06
4,2,3,136.8517,128.3049,-1.176440,1.801305,1.722825,99.9993,0.0004,0.0004,9.48e-07
5,1,4,152.8668,167.7833,-1.051083,1.801119,1.704294,99.9991,0.0007,0.0002,5.75e-07
6,1,4,168.4020,167.7833,-2.433230,1.801118,1.707469,99.9991,0.0002,0.0007,5.00e-07
7,3,3,179.7940,177.6529,-1.918938,1.800304,1.746836,99.9988,0.0006,0.0006,4.70e-07
8,2,4,200.7106,197.3921,-1.774389,1.800459,1.725488,99.9988,0.0006,0.0006,3.83e-07
9,3,4,224.8910,246.7401,-1.052805,1.801847,1.716756,99.9986,0.0012,0.0002,3.73e-07
10,3,4,238.5771,246.7401,-1.480390,1.800454,1.743420,99.9984,0.0007,0.0008,3.19e-07
11,3,4,241.8640,246.7401,-1.704162,1.802285,1.726901,99.9986,0.0004,0.0011,2.98e-07
12,3,4,249.6275,246.7401,-1.931730,1.800996,1.729727,99.9985,0.0007,0.0008,2.87e-07
13,1,5,267.4280,256.6097,-1.375116,1.799930,1.648978,99.9989,0.0006,0.0005,3.61e-07
14,1,5,271.0373,256.6097,-1.250080,1.802655,1.743318,99.9984,0.0005,0.0011,2.81e-07
15,2,5,285.2370,286.2185,-2.464800,1.800594,1.697085,99.9985,0.0010,0.0004,1.98e-07
16,2,5,300.9949,286.2185,-1.287129,1.803333,1.768101,99.9980,0.0011,0.0010,2.13e-07
17,4,4,307.5310,315.8273,-1.580561,1.800998,1.715998,99.9982,0.0009,0.0009,2.13e-07
18,4,4,319.6704,315.8273,-1.914769,1.801803,1.688762,99.9984,0.0006,0.0009,2.05e-07
19,3,5,330.3251,335.5665,-1.806324,1.803585,1.731231,99.9980,0.0008,0.0012,1.77e-07
20,3,5,344.2149,335.5665,-1.588845,1.800800,1.711182,99.9981,0.0008,0.0010,1.78e-07
21,3,5,348.8701,335.5665,-1.401811,1.802177,1.708685,99.9982,0.0010,0.0008,1.80e-07
22,1,6,350.8836,365.1754,-1.407415,1.801703,1.719796,99.9979,0.0008,0.0013,1.59e-07
23,1,6,357.1029,365.1754,-1.655493,1.799781,1.704008,99.9980,0.0012,0.0007,1.78e-07
24,1,6,367.5621,365.1754,-2.184698,1.800892,1.685388,99.9982,0.0010,0.0008,1.40e-07
25,1,6,374.3940,365.1754,-1.597834,1.802992,1.687186,99.9982,0.0008,0.0009,1.92e-07
26,2,6,390.7070,394.7842,-1.985999,1.800830,1.672916,99.9982,0.0010,0.0008,1.57e-07
27,2,6,399.0049,394.7842,-1.970973,1.800139,1.669039,99.9982,0.0010,0.0008,1.35e-07
28,4,5,415.0670,404.6538,-1.589498,1.801634,1.718151,99.9977,0.0014,0.0009,1.32e-07
29,4,5,418.8055,404.6538,-1.456274,1.801818,1.724424,99.9976,0.0010,0.0013,1.17e-07
30,4,5,422.5450,404.6538,-1.354443,1.800030,1.674650,99.9981,0.0009,0.0010,1.19e-07
31,3,6,436.0113,444.1322,-1.737908,1.802664,1.735287,99.9973,0.0008,0.0019,1.14e-07
32,3,6,444.3503,444.1322,-3.308829,1.800750,1.677090,99.9979,0.0011,0.0010,9.07e-08
33,3,6,444.9132,444.1322,-2.754854,1.802090,1.669690,99.9980,0.0012,0.0008,1.29e-07
34,3,6,450.8261,444.1322,-1.821834,1.804603,1.715788,99.9976,0.0009,0.0015,1.26e-07
35,3,6,458.4171,444.1322,-1.492635,1.800992,1.706291,99.9976,0.0013,0.0011,1.15e-07
36,3,6,464.2704,444.1322,-1.343493,1.801213,1.708478,99.9976,0.0009,0.0015,9.96e-08
37,1,7,476.1145,493.4802,-1.453577,1.801509,1.674428,99.9977,0.0012,0.0011,1.18e-07
38,1,7,484.2638,493.4802,-1.728709,1.800350,1.726028,99.9971,0.0018,0.0011,7.09e-08
39,1,7,493.2889,493.4802,-3.411490,1.801477,1.676621,99.9977,0.0014,0.0010,1.09e-07
40,1,7,501.4775,493.4802,-1.790330,1.800385,1.688372,99.9975,0.0011,0.0013,9.96e-08
41,4,6,507.8285,513.2194,-1.978637,1.800813,1.733557,99.9969,0.0018,0.0014,8.03e-08
42,4,6,517.5310,513.2194,-2.075665,1.800099,1.685120,99.9975,0.0012,0.0014,7.64e-08
43,2,7,523.8618,523.0890,-2.830549,1.802275,1.699725,99.9973,0.0012,0.0015,8.74e-08
44,2,7,538.4273,523.0890,-1.532798,1.801607,1.733121,99.9968,0.0013,0.0019,7.31e-08
45,3,7,553.2994,572.4371,-1.475840,1.801341,1.713274,99.9968,0.0019,0.0013,7.72e-08
46,3,7,558.1228,572.4371,-1.601960,1.801434,1.687211,99.9972,0.0015,0.0013,7.59e-08
47,3,7,562.2565,572.4371,-1.749955,1.801917,1.700317,99.9970,0.0013,0.0017,6.90e-08
48,3,7,569.3661,572.4371,-2.270458,1.799946,1.721757,99.9967,0.0011,0.0023,6.59e-08
49,3,7,579.4372,572.4371,-1.912621,1.803656,1.733684,99.9965,0.0020,0.0015,6.55e-08
50,3,7,582.9986,572.4371,-1.734001,1.799241,1.733037,99.9965,0.0012,0.0023,6.12e-08
51,5,6,588.4420,602.0459,-1.645969,1.800941,1.695727,99.9969,0.0016,0.0015,7.22e-08
52,5,6,605.1268,602.0459,-2.290941,1.801478,1.707848,99.9967,0.0019,0.0014,6.18e-08
53,5,6,610.9805,602.0459,-1.828554,1.800518,1.696867,99.9969,0.0018,0.0013,7.03e-08
54,5,6,614.2759,602.0459,-1.692202,1.800123,1.725699,99.9964,0.0026,0.0010,5.45e-08
