index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,35.79001759717436,0.0,19.76934475801219,1.0,1.0,1.0
2.0,229.67391353310958,0.0,50.08032683381326,1.0,1.0,1.0
3.0,229.67396708030734,0.0,50.08033267178799,1.0,1.0,1.0
4.0,590.8394974369064,0.0,80.3241390368488,1.0,1.0,1.0
5.0,962.6868484467227,0.0,102.53068021347664,1.0,1.0,1.0
6.0,962.704915717813,0.0,102.53164233366458,1.0,1.0,1.0
7.0,1607.6987718711873,0.0,132.499322975,1.0,1.0,1.0
8.0,1607.6989060049098,0.0,132.49932850234984,1.0,1.0,1.0
9.0,2985.2964649901564,0.0,180.5531428629602,1.0,1.0,1.0
10.0,2985.2964838261037,0.0,180.55314343256683,1.0,1.0,1.0
11.0,3106.181329538505,0.0,184.17247383515397,1.0,1.0,1.0
12.0,4053.408569871602,0.0,210.38826389083087,1.0,1.0,1.0
13.0,4053.4198076671573,0.0,210.38855553410065,1.0,1.0,1.0
14.0,6269.567214147308,0.0,261.6556400662684,1.0,1.0,1.0
15.0,6269.56728106392,0.0,261.65564146262545,1.0,1.0,1.0
16.0,7650.964105797001,0.0,289.0476224349601,1.0,1.0,1.0
17.0,7651.022639660997,0.0,289.04872811534403,1.0,1.0,1.0
18.0,9282.620387602175,0.0,318.3806128403797,1.0,1.0,1.0
19.0,9282.620556185038,0.0,318.38061573145535,1.0,1.0,1.0
20.0,10503.201027278583,0.0,338.6664365092622,1.0,1.0,1.0
21.0,12454.221315725961,0.0,368.78190949086354,1.0,1.0,1.0
22.0,12454.746398413487,0.0,368.7896835198556,1.0,1.0,1.0
23.0,17402.71080047919,0.0,435.9330246049647,1.0,1.0,1.0
24.0,17402.71086687377,0.0,435.9330254365475,1.0,1.0,1.0
25.0,18112.66480891794,0.0,444.73621362936467,1.0,1.0,1.0
26.0,18112.66504627772,0.0,444.73621654341656,1.0,1.0,1.0
27.0,19800.767365662523,0.0,464.9993329382686,1.0,1.0,1.0
28.0,19800.79515219806,0.0,464.99965920632974,1.0,1.0,1.0
29.0,24271.190874304775,0.0,514.8217209359062,1.0,1.0,1.0
30.0,24271.1909542629,0.0,514.8217217839111,1.0,1.0,1.0
31.0,27616.899552441606,0.0,549.1598520582712,1.0,1.0,1.0
32.0,31868.11172584564,0.0,589.9150617217994,1.0,1.0,1.0
33.0,31868.23081885011,0.0,589.9161639943791,1.0,1.0,1.0
34.0,36616.55355006553,0.0,632.3391216481197,1.0,1.0,1.0
35.0,36616.69684812319,0.0,632.3403589693648,1.0,1.0,1.0
36.0,39965.280167153884,0.0,660.6215705116814,1.0,1.0,1.0
37.0,39965.28028182288,0.0,660.6215714594142,1.0,1.0,1.0
38.0,43947.40464262487,0.0,692.7522347112736,1.0,1.0,1.0
39.0,43947.40468181948,0.0,692.7522350201901,1.0,1.0,1.0
40.0,46044.34686144635,0.0,709.086925367401,1.0,1.0,1.0
41.0,46045.61139735105,0.0,709.0966622817184,1.0,1.0,1.0
42.0,56045.11181267331,0.0,782.3123551334163,1.0,1.0,1.0
43.0,56045.11201598812,0.0,782.3123565524132,1.0,1.0,1.0
44.0,63790.07983570687,0.0,834.6182790988458,1.0,1.0,1.0
45.0,71306.06718317859,0.0,882.4184118887763,1.0,1.0,1.0
46.0,71309.54747182819,0.0,882.4399460543272,1.0,1.0,1.0
47.0,73459.52294438997,0.0,895.643897178303,1.0,1.0,1.0
48.0,73459.52307227698,0.0,895.6438979579242,1.0,1.0,1.0
49.0,78092.64685296982,0.0,923.4563896765404,1.0,1.0,1.0
50.0,78092.70168549102,0.0,923.4567138775709,1.0,1.0,1.0
51.0,86341.87111051525,0.0,971.0062989120238,1.0,1.0,1.0
52.0,86341.871211572,0.0,971.006299480269,1.0,1.0,1.0
53.0,95489.16118152882,0.0,1021.1472176441039,1.0,1.0,1.0
54.0,95489.16142868903,0.0,1021.1472189656515,1.0,1.0,1.0
55.0,99592.34425685045,0.0,1042.8558861534066,1.0,1.0,1.0
56.0,99592.58131493666,0.0,1042.8571272993765,1.0,1.0,1.0
57.0,119145.18231384896,0.0,1140.6425342179866,1.0,1.0,1.0
58.0,119145.18249855313,0.0,1140.642535102124,1.0,1.0,1.0
59.0,132510.9315299575,0.0,1202.9211829156288,1.0,1.0,1.0
60.0,143484.37841103174,0.0,1251.7385558687831,1.0,1.0,1.0
61.0,143484.68214006085,0.0,1251.7398807138266,1.0,1.0,1.0
62.0,149214.58174153834,0.0,1276.4886339555078,1.0,1.0,1.0
63.0,149215.17868234156,0.0,1276.4911872830025,1.0,1.0,1.0
64.0,149655.9610564134,0.0,1278.375177612595,1.0,1.0,1.0
65.0,149655.96117353722,0.0,1278.3751781128365,1.0,1.0,1.0
66.0,160494.66937115075,0.0,1323.8586743051412,1.0,1.0,1.0
67.0,160497.22415587457,0.0,1323.869210980507,1.0,1.0,1.0
68.0,177637.9197194386,0.0,1392.7692139533633,1.0,1.0,1.0
69.0,177637.91981419176,0.0,1392.7692143248191,1.0,1.0,1.0
70.0,193435.47378799703,0.0,1453.3806706313826,1.0,1.0,1.0
71.0,193435.4739520669,0.0,1453.3806712477533,1.0,1.0,1.0
72.0,202284.86764985684,0.0,1486.253933463739,1.0,1.0,1.0
73.0,202290.86793673452,0.0,1486.2759763479798,1.0,1.0,1.0
74.0,239372.13288640557,0.0,1616.7695231910914,1.0,1.0,1.0
75.0,239372.1330705827,0.0,1616.7695238130768,1.0,1.0,1.0
76.0,264228.3942564042,0.0,1698.6388860731797,1.0,1.0,1.0
77.0,278224.72773958294,0.0,1743.0473392642684,1.0,1.0,1.0
78.0,278224.72782514105,0.0,1743.0473395322742,1.0,1.0,1.0
79.0,286562.55693296355,0.0,1768.972334918769,1.0,1.0,1.0
80.0,286562.6549168106,0.0,1768.972637349592,1.0,1.0,1.0
81.0,292017.6065892528,0.0,1785.730176693736,1.0,1.0,1.0
82.0,292024.17609491927,0.0,1785.750263322539,1.0,1.0,1.0
83.0,301032.82398195186,0.0,1813.0853366245378,1.0,1.0,1.0
84.0,301032.82406337495,0.0,1813.085336869739,1.0,1.0,1.0
85.0,323663.41413268854,0.0,1880.0011921083876,1.0,1.0,1.0
86.0,323663.84323889227,0.0,1880.002438341159,1.0,1.0,1.0
87.0,355441.36051759386,0.0,1970.1318881872157,1.0,1.0,1.0
88.0,355441.3607909714,0.0,1970.1318889448512,1.0,1.0,1.0
89.0,374375.20303668635,0.0,2021.924137340621,1.0,1.0,1.0
90.0,374375.2031094528,0.0,2021.9241375371193,1.0,1.0,1.0
91.0,402469.22214121424,0.0,2096.416920791773,1.0,1.0,1.0
92.0,402470.34218085854,0.0,2096.4198378700235,1.0,1.0,1.0
93.0,466947.241052759,0.0,2258.1106864580684,1.0,1.0,1.0
94.0,466947.24120693887,0.0,2258.1106868308675,1.0,1.0,1.0
95.0,497539.68821864825,0.0,2330.90827690573,1.0,1.0,1.0
96.0,545645.0794088691,0.0,2440.992475847652,1.0,1.0,1.0
97.0,545645.193364312,0.0,2440.9927307426146,1.0,1.0,1.0
98.0,556547.9717063428,0.0,2465.2593881847934,1.0,1.0,1.0
99.0,556547.9718264571,0.0,2465.2593884508196,1.0,1.0,1.0
100.0,565939.8180832143,0.0,2485.973212540453,1.0,1.0,1.0
101.0,565942.3554084928,0.0,2485.9787853199273,1.0,1.0,1.0
102.0,575274.8787417262,0.0,2506.392163221799,1.0,1.0,1.0
103.0,575275.4504388802,0.0,2506.3934086237487,1.0,1.0,1.0
104.0,604409.7795843116,0.0,2569.076642114961,1.0,1.0,1.0
