mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual,residual_ok
1,1,35.79001759717436,5.98247587518532,19.76934475801219,2536.488331079965,1,16,0.05425371805615849,99.9998,0.0001,0.0001,2.2583526142797513e-5,false
2,2,229.67391353310958,15.15499632243801,50.08032683381326,2862.1852763159136,1,17,0.05198860641493179,99.9996,0.0002,0.0002,2.968033211709975e-6,false
3,3,229.67396708030734,15.154998089089531,50.08033267178799,2536.488331079965,1,16,0.0840418567537628,99.9996,0.0002,0.0002,4.957541881419885e-6,false
4,4,590.8394974369064,24.30719024150892,80.3241390368488,2862.1852763159136,1,17,0.08469077416908447,99.9993,0.0003,0.0003,1.3052206733751714e-6,false
5,5,962.6868484467227,31.027195304228236,102.53068021347664,1944.3120670146036,1,14,0.06720296943420676,99.9991,0.0004,0.0004,5.845140524379887e-7,true
6,6,962.704915717813,31.027486455041974,102.53164233366458,98.69604401089359,3,1,0.03663877019177856,99.9991,0.0004,0.0004,7.41919616058855e-7,true
7,7,1607.6987718711873,40.09611916222301,132.499322975,2566.097144283233,16,2,0.04073110107052608,99.9989,0.0006,0.0006,4.337560711949822e-7,true
8,8,1607.6989060049098,40.09612083487516,132.49932850234984,2891.794089519182,2,17,0.07006359996873178,99.9989,0.0006,0.0006,4.86627710129131e-7,true
9,9,2985.2964649901564,54.63786658527359,180.5531428629602,19.739208802178716,1,1,0.023933503414873516,99.9985,0.0008,0.0008,2.6678432250197144e-7,true
10,10,2985.2964838261037,54.6378667576444,180.55314343256683,19.739208802178716,1,1,0.02128448059514055,99.9985,0.0008,0.0008,2.228401595099913e-7,true
11,11,3106.181329538505,55.7331259623799,184.17247383515397,1677.832748185191,13,1,0.02545514265499408,99.9984,0.0008,0.0008,2.7011184833071624e-7,true
12,12,4053.408569871602,63.666384928560234,210.38826389083087,49.34802200544679,1,2,0.08881418405108978,99.9982,0.0009,0.0009,2.610057254611347e-7,true
13,13,4053.4198076671573,63.66647318382853,210.38855553410065,49.34802200544679,1,2,0.06900192831315624,99.9982,0.0009,0.0009,2.593548230195062e-7,true
14,14,6269.567214147308,79.18059872309193,261.6556400662684,78.95683520871486,2,2,0.04489254388096771,99.9978,0.0011,0.0011,1.2100898492456922e-7,true
15,15,6269.56728106392,79.1805991456488,261.65564146262545,78.95683520871486,2,2,0.05368580445795583,99.9978,0.0011,0.0011,1.4662805547389886e-7,true
16,16,7650.964105797001,87.46978967504724,289.0476224349601,19.739208802178716,1,1,0.023363522999983243,99.9975,0.0013,0.0013,1.393186977011585e-7,true
17,17,7651.022639660997,87.47012426915259,289.04872811534403,98.69604401089359,3,1,0.08334023809098139,99.9975,0.0013,0.0013,8.934426297702972e-8,true
18,18,9282.620387602175,96.34635637948212,318.3806128403797,98.69604401089359,1,3,0.03990199474253408,99.9972,0.0014,0.0014,8.946081672369787e-8,true
19,19,9282.620556185038,96.34635725436141,318.38061573145535,98.69604401089359,1,3,0.03811384020417596,99.9972,0.0014,0.0014,9.792597274227857e-8,true
20,20,10503.201027278583,102.4851258831182,338.6664365092622,246.74011002723395,4,3,0.020533986958573017,99.9971,0.0015,0.0015,7.197399820218495e-8,true
