mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,3.401893e+01,5.832575e+00,19.2740,19.7392,1,1,99.9998,0.0001,0.0001,2.78e-05
2,2,2.132934e+02,1.460457e+01,48.2614,49.3480,1,2,99.9996,0.0002,0.0002,5.96e-06
3,3,2.166070e+02,1.471758e+01,48.6349,49.3480,1,2,99.9996,0.0002,0.0002,4.15e-06
4,4,5.332419e+02,2.309203e+01,76.3086,78.9568,2,2,99.9994,0.0003,0.0003,1.88e-06
5,5,8.667403e+02,2.944045e+01,97.2872,98.6960,1,3,99.9992,0.0004,0.0004,2.00e-06
6,6,8.708355e+02,2.950992e+01,97.5168,98.6960,1,3,99.9992,0.0004,0.0004,1.04e-06
7,7,1.376201e+03,3.709718e+01,122.5892,128.3049,2,3,99.9990,0.0005,0.0005,1.06e-06
8,8,1.426650e+03,3.777101e+01,124.8159,128.3049,2,3,99.9990,0.0005,0.0005,6.72e-07
9,9,2.517813e+03,5.017782e+01,165.8147,167.7833,1,4,99.9986,0.0007,0.0007,5.87e-07
10,10,2.527566e+03,5.027490e+01,166.1355,167.7833,1,4,99.9986,0.0007,0.0007,3.93e-07
11,11,2.585526e+03,5.084807e+01,168.0296,167.7833,1,4,99.9986,0.0007,0.0007,4.09e-07
12,12,3.310719e+03,5.753885e+01,190.1396,197.3921,2,4,99.9984,0.0008,0.0008,4.83e-07
13,13,3.354429e+03,5.791743e+01,191.3906,197.3921,2,4,99.9984,0.0008,0.0008,2.99e-07
14,14,4.755311e+03,6.895876e+01,227.8771,246.7401,3,4,99.9982,0.0009,0.0009,3.89e-07
15,15,5.091773e+03,7.135666e+01,235.8011,246.7401,3,4,99.9981,0.0010,0.0010,1.86e-07
16,16,5.891280e+03,7.675467e+01,253.6391,256.6097,1,5,99.9979,0.0011,0.0011,2.43e-07
17,17,5.904034e+03,7.683771e+01,253.9135,256.6097,1,5,99.9979,0.0011,0.0011,1.80e-07
18,18,6.809792e+03,8.252146e+01,272.6957,286.2185,2,5,99.9994,0.0003,0.0003,4.79e-07
19,19,6.831353e+03,8.265200e+01,273.1270,286.2185,2,5,99.9997,0.0002,0.0002,1.07e-06
