mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,relative_residual,residual_ok
1.0,1.0,39413.755354044566,198.5289786254001,65.60474132760274,49.34802200544679,2.0,1.0,0.794537060637857,0.9835722067591461,0.0
2.0,2.0,56197.72743216566,237.06059864972428,78.33767826271398,49.34802200544679,1.0,2.0,0.3310353370371984,0.9612961701829553,0.0
3.0,3.0,110010.92987503289,331.6789560328374,109.60471496406343,98.69604401089359,3.0,1.0,0.47844354769935277,0.7458057232073403,0.0
4.0,4.0,143854.48261132775,379.2815347618807,125.33518859904025,128.30485721416164,3.0,2.0,0.16963701972460593,0.9045465322231212,0.0
5.0,5.0,148962.24114692322,385.95626843843746,127.54088259551921,197.39208802178717,4.0,2.0,0.18698668566010246,0.912996061646362,0.0
6.0,6.0,273896.22623413196,523.3509589502363,172.94353964449556,167.7832748185191,4.0,1.0,0.3897262436791608,0.8672543245785351,0.0
7.0,7.0,288874.4063185907,537.4703771544908,177.6093611552896,167.7832748185191,1.0,4.0,0.3906886454826756,0.5665464860195852,0.0
8.0,8.0,297510.9252844952,545.4456208317152,180.24481418633627,167.7832748185191,1.0,4.0,0.3337413422535955,0.6776908600437103,0.0
9.0,9.0,405874.2287508322,637.0825917813421,210.52663912101687,197.39208802178717,2.0,4.0,0.19386473779208227,0.6688565913142196,0.0
10.0,10.0,481878.44952951,694.1746534767098,229.39295256965175,256.6097144283233,1.0,5.0,0.14531259380104267,0.7286829186213117,0.0
11.0,11.0,489566.3436872845,699.6901769263911,231.21558063991162,246.74011002723395,4.0,3.0,0.291571852427209,0.5285687469337684,0.0
12.0,12.0,563208.5862080345,750.4722421302699,247.99672903874634,246.74011002723395,3.0,4.0,0.3654587377609154,0.5716977806941429,0.0
13.0,13.0,574476.1429053758,757.9420445557666,250.46515686870904,256.6097144283233,1.0,5.0,0.27052858827892184,0.6680295753583195,0.0
14.0,14.0,593622.7887418987,770.4692003849983,254.60480853788945,315.82734083485946,4.0,4.0,0.2328984449043443,0.639474234442258,0.0
15.0,15.0,688949.8416495321,830.0300245470233,274.2869349935008,335.5665496370382,5.0,3.0,0.19747457699249452,0.6299179211418571,0.0
16.0,16.0,715587.9520389052,845.9243181508056,279.5392715928273,315.82734083485946,4.0,4.0,0.09589080117343982,0.7047240323142983,0.0
17.0,17.0,783069.4458165106,884.9121119164946,292.4229530716817,256.6097144283233,5.0,1.0,0.5255430969994453,0.20704532479906135,0.0
18.0,18.0,806266.2527187688,897.9233000199788,296.72255525471866,128.30485721416164,2.0,3.0,0.08874858001792822,0.8898628972648797,0.0
19.0,19.0,815026.2275441273,902.7880302397276,298.33012594744554,315.82734083485946,4.0,4.0,0.3794876619751473,0.564699052496289,0.0
20.0,20.0,913507.5413147018,955.7758844596896,315.8401866633906,286.21852763159137,5.0,2.0,0.4733828132713134,0.3387851851786061,0.0
