index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,39413.755354044566,0.0,65.60474132760274,1.0,1.0,1.0
2.0,56197.72743216566,0.0,78.33767826271398,1.0,1.0,1.0
3.0,110010.92987503289,0.0,109.60471496406343,1.0,1.0,1.0
4.0,143854.48261132775,0.0,125.33518859904025,1.0,1.0,1.0
5.0,148962.24114692322,0.0,127.54088259551921,1.0,1.0,1.0
6.0,273896.22623413196,0.0,172.94353964449556,1.0,1.0,1.0
7.0,288874.4063185907,0.0,177.6093611552896,1.0,1.0,1.0
8.0,297510.9252844952,0.0,180.24481418633627,1.0,1.0,1.0
9.0,405874.2287508322,0.0,210.52663912101687,1.0,1.0,1.0
10.0,481878.44952951,0.0,229.39295256965175,1.0,1.0,1.0
11.0,489566.3436872845,0.0,231.21558063991162,1.0,1.0,1.0
12.0,563208.5862080345,0.0,247.99672903874634,1.0,1.0,1.0
13.0,574476.1429053758,0.0,250.46515686870904,1.0,1.0,1.0
14.0,593622.7887418987,0.0,254.60480853788945,1.0,1.0,1.0
15.0,688949.8416495321,0.0,274.2869349935008,1.0,1.0,1.0
16.0,715587.9520389052,0.0,279.5392715928273,1.0,1.0,1.0
17.0,783069.4458165106,0.0,292.4229530716817,1.0,1.0,1.0
18.0,806266.2527187688,0.0,296.72255525471866,1.0,1.0,1.0
19.0,815026.2275441273,0.0,298.33012594744554,1.0,1.0,1.0
20.0,913507.5413147018,0.0,315.8401866633906,1.0,1.0,1.0
21.0,1.021302811467626e6,0.0,333.95548657308325,1.0,1.0,1.0
22.0,1.140152531821114e6,0.0,352.85217368590156,1.0,1.0,1.0
23.0,1.7161935123991752e6,0.0,432.90683934767065,1.0,1.0,1.0
24.0,1.7970987390238305e6,0.0,442.99343370009706,1.0,1.0,1.0
25.0,1.8718684579744549e6,0.0,452.1150689932934,1.0,1.0,1.0
26.0,1.8919171602784274e6,0.0,454.5298162963616,1.0,1.0,1.0
27.0,1.9765156063025934e6,0.0,464.5809985441109,1.0,1.0,1.0
28.0,2.1955601113415593e6,0.0,489.6480002598788,1.0,1.0,1.0
29.0,2.3532305131833768e6,0.0,506.92481892251516,1.0,1.0,1.0
30.0,2.4690246162153855e6,0.0,519.2470395589369,1.0,1.0,1.0
31.0,2.5625009737478606e6,0.0,528.9849774173804,1.0,1.0,1.0
32.0,3.029650008326507e6,0.0,575.1849971176705,1.0,1.0,1.0
33.0,3.524545060481801e6,0.0,620.3872343984946,1.0,1.0,1.0
34.0,3.5294163512245486e6,0.0,620.8158064625294,1.0,1.0,1.0
35.0,3.6120969503926053e6,0.0,628.0453701627554,1.0,1.0,1.0
36.0,3.992172258874328e6,0.0,660.261471440729,1.0,1.0,1.0
37.0,4.047159913369837e6,0.0,664.7930975423753,1.0,1.0,1.0
38.0,4.19974807450879e6,0.0,677.2093396700609,1.0,1.0,1.0
39.0,4.246682200655913e6,0.0,680.9828898816958,1.0,1.0,1.0
40.0,4.339957735309392e6,0.0,688.42093568963,1.0,1.0,1.0
41.0,4.957546812873854e6,0.0,735.7744980398716,1.0,1.0,1.0
42.0,5.623596611246917e6,0.0,783.6432542606128,1.0,1.0,1.0
43.0,5.928576335926467e6,0.0,804.6120406029047,1.0,1.0,1.0
44.0,6.210503663691124e6,0.0,823.521098743117,1.0,1.0,1.0
45.0,6.986316331278361e6,0.0,873.444756911161,1.0,1.0,1.0
46.0,7.174046449949038e6,0.0,885.1021818606229,1.0,1.0,1.0
47.0,7.343110632998183e6,0.0,895.4706478290628,1.0,1.0,1.0
48.0,7.374595565606627e6,0.0,897.388341669449,1.0,1.0,1.0
49.0,7.392855701728366e6,0.0,898.4986603377534,1.0,1.0,1.0
50.0,7.84889523108644e6,0.0,925.796607919169,1.0,1.0,1.0
51.0,8.514067527229078e6,0.0,964.2282789741314,1.0,1.0,1.0
52.0,9.22805146025395e6,0.0,1003.8442207134188,1.0,1.0,1.0
53.0,9.306950949989595e6,0.0,1008.1265018532464,1.0,1.0,1.0
54.0,9.447491811431607e6,0.0,1015.7096562543509,1.0,1.0,1.0
55.0,9.554586101398325e6,0.0,1021.4503425388318,1.0,1.0,1.0
56.0,9.992320071366385e6,0.0,1044.5866894581843,1.0,1.0,1.0
57.0,1.1913929574358245e7,0.0,1140.6143561782485,1.0,1.0,1.0
