index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,355299.8428810823,0.0,19.697396488524614,1.0,1.0,1.0
2.0,2.283491273183925e6,0.0,49.93568333683685,1.0,1.0,1.0
3.0,2.284340568236802e6,0.0,49.944968720728895,1.0,1.0,1.0
4.0,5.840705714279861e6,0.0,79.86269867712716,1.0,1.0,1.0
5.0,9.574017580698391e6,0.0,102.24884937309878,1.0,1.0,1.0
6.0,9.577084181781419e6,0.0,102.26522344622002,1.0,1.0,1.0
7.0,1.5907196575732322e7,0.0,131.79779459725302,1.0,1.0,1.0
8.0,1.5911059495765982e7,0.0,131.81379658205907,1.0,1.0,1.0
9.0,2.960761141435149e7,0.0,179.80965398017932,1.0,1.0,1.0
10.0,2.9608578981309757e7,0.0,179.81259201621629,1.0,1.0,1.0
11.0,3.069886729962562e7,0.0,183.0933179861875,1.0,1.0,1.0
12.0,3.997890862740197e7,0.0,208.94249979629072,1.0,1.0,1.0
13.0,3.998367226911964e7,0.0,208.95494757932545,1.0,1.0,1.0
14.0,6.1652094043213755e7,0.0,259.46885496180346,1.0,1.0,1.0
15.0,6.165220909453379e7,0.0,259.4690970640452,1.0,1.0,1.0
16.0,7.561852933321974e7,0.0,287.35941611834465,1.0,1.0,1.0
17.0,7.562344461918028e7,0.0,287.3687553025639,1.0,1.0,1.0
18.0,9.13961095234148e7,0.0,315.91858381483183,1.0,1.0,1.0
19.0,9.139726387745857e7,0.0,315.9205788709953,1.0,1.0,1.0
20.0,1.0260081804708359e8,0.0,334.72390608890674,1.0,1.0,1.0
21.0,1.2225869470376083e8,0.0,365.38540558772576,1.0,1.0,1.0
22.0,1.2227610276681131e8,0.0,365.41141774903247,1.0,1.0,1.0
23.0,1.7096516179536906e8,0.0,432.08096079385746,1.0,1.0,1.0
24.0,1.709977626391265e8,0.0,432.1221549538118,1.0,1.0,1.0
25.0,1.765765175714174e8,0.0,439.1145148910336,1.0,1.0,1.0
26.0,1.7657957641399664e8,0.0,439.1183182743397,1.0,1.0,1.0
27.0,1.937693671288129e8,0.0,459.9958140077621,1.0,1.0,1.0
28.0,1.9377760030734318e8,0.0,460.0055864178377,1.0,1.0,1.0
29.0,2.365749689271539e8,0.0,508.2714491966394,1.0,1.0,1.0
30.0,2.3657634024490276e8,0.0,508.272922303986,1.0,1.0,1.0
31.0,2.684085524240177e8,0.0,541.3890830512075,1.0,1.0,1.0
32.0,3.08129416817996e8,0.0,580.0666540711089,1.0,1.0,1.0
33.0,3.0816513221597147e8,0.0,580.1002709703218,1.0,1.0,1.0
34.0,3.5692200539440554e8,0.0,624.3066793577423,1.0,1.0,1.0
35.0,3.5692341556352353e8,0.0,624.3079126483723,1.0,1.0,1.0
36.0,3.88393388348927e8,0.0,651.2492457400839,1.0,1.0,1.0
37.0,3.8839344115872216e8,0.0,651.2492900152173,1.0,1.0,1.0
38.0,4.230125504154453e8,0.0,679.6541069203263,1.0,1.0,1.0
39.0,4.230150083550385e8,0.0,679.6560815027716,1.0,1.0,1.0
40.0,4.4594295545371187e8,0.0,697.8321484106714,1.0,1.0,1.0
41.0,4.4598454160724825e8,0.0,697.8646856197231,1.0,1.0,1.0
42.0,5.388738449640481e8,0.0,767.1051027732383,1.0,1.0,1.0
43.0,5.388772742323614e8,0.0,767.1075436089379,1.0,1.0,1.0
44.0,6.071299859548142e8,0.0,814.2394885183701,1.0,1.0,1.0
45.0,6.821201970618882e8,0.0,863.0615593291025,1.0,1.0,1.0
46.0,6.822388326658927e8,0.0,863.1366086959554,1.0,1.0,1.0
47.0,7.076381991347373e8,0.0,879.0568317549969,1.0,1.0,1.0
48.0,7.076397722428046e8,0.0,879.0578088437317,1.0,1.0,1.0
49.0,7.4980251647694e8,0.0,904.8670333219231,1.0,1.0,1.0
50.0,7.498204230634699e8,0.0,904.8778381556866,1.0,1.0,1.0
51.0,8.255317185955445e8,0.0,949.4633414231085,1.0,1.0,1.0
52.0,8.255361857371838e8,0.0,949.4659103016835,1.0,1.0,1.0
53.0,9.025675814360627e8,0.0,992.7758049671539,1.0,1.0,1.0
54.0,9.025687584002298e8,0.0,992.7764522655898,1.0,1.0,1.0
55.0,9.444791135673244e8,0.0,1015.5644696500159,1.0,1.0,1.0
56.0,9.445478633913802e8,0.0,1015.6014310857322,1.0,1.0,1.0
57.0,1.1223290318536892e9,0.0,1107.060659035551,1.0,1.0,1.0
58.0,1.1223295331662157e9,0.0,1107.060906281812,1.0,1.0,1.0
59.0,1.2424048410063632e9,0.0,1164.7772689999356,1.0,1.0,1.0
60.0,1.3590482843143556e9,0.0,1218.22851980705,1.0,1.0,1.0
61.0,1.3590525065366352e9,0.0,1218.230412170869,1.0,1.0,1.0
62.0,1.3861456826111612e9,0.0,1230.3134094251707,1.0,1.0,1.0
63.0,1.3862754736014464e9,0.0,1230.3710079373536,1.0,1.0,1.0
64.0,1.4135641010763235e9,0.0,1242.4218278730236,1.0,1.0,1.0
65.0,1.4135655744789743e9,0.0,1242.4224753806734,1.0,1.0,1.0
66.0,1.510169314800399e9,0.0,1284.1747901909753,1.0,1.0,1.0
67.0,1.510212641004078e9,0.0,1284.1932113106861,1.0,1.0,1.0
68.0,1.6590627378979692e9,0.0,1345.992759930224,1.0,1.0,1.0
69.0,1.6590629545937974e9,0.0,1345.992847832568,1.0,1.0,1.0
70.0,1.7785816580987623e9,0.0,1393.6323656703184,1.0,1.0,1.0
71.0,1.7785820937714274e9,0.0,1393.6325363589924,1.0,1.0,1.0
72.0,1.8762084970035594e9,0.0,1431.3698609122264,1.0,1.0,1.0
73.0,1.8762739437755477e9,0.0,1431.3948255470598,1.0,1.0,1.0
74.0,2.1891262948228226e9,0.0,1546.1325667440426,1.0,1.0,1.0
75.0,2.1891304851455336e9,0.0,1546.1340465104965,1.0,1.0,1.0
76.0,2.3753260523077936e9,0.0,1610.545264536241,1.0,1.0,1.0
77.0,2.567817664984099e9,0.0,1674.5318420868073,1.0,1.0,1.0
