mode_rank,m,n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
1,1,1,19.7392,99.999836,0.000082,0.000082
2,1,2,49.3480,99.999589,0.000082,0.000329
3,2,1,49.3480,99.999589,0.000329,0.000082
4,2,2,78.9568,99.999342,0.000329,0.000329
5,1,3,98.6960,99.999178,0.000082,0.000740
6,3,1,98.6960,99.999178,0.000740,0.000082
7,2,3,128.3049,99.998931,0.000329,0.000740
8,3,2,128.3049,99.998931,0.000740,0.000329
9,1,4,167.7833,99.998602,0.000082,0.001316
10,4,1,167.7833,99.998602,0.001316,0.000082
11,3,3,177.6529,99.998520,0.000740,0.000740
12,2,4,197.3921,99.998355,0.000329,0.001316
13,4,2,197.3921,99.998355,0.001316,0.000329
14,3,4,246.7401,99.997944,0.000740,0.001316
15,4,3,246.7401,99.997944,0.001316,0.000740
16,1,5,256.6097,99.997862,0.000082,0.002056
17,5,1,256.6097,99.997862,0.002056,0.000082
18,2,5,286.2185,99.997615,0.000329,0.002056
19,5,2,286.2185,99.997615,0.002056,0.000329
20,4,4,315.8273,99.997368,0.001316,0.001316
21,3,5,335.5665,99.997204,0.000740,0.002056
22,5,3,335.5665,99.997204,0.002056,0.000740
23,1,6,365.1754,99.996957,0.000082,0.002961
24,6,1,365.1754,99.996957,0.002961,0.000082
25,2,6,394.7842,99.996710,0.000329,0.002961
26,6,2,394.7842,99.996710,0.002961,0.000329
27,4,5,404.6538,99.996628,0.001316,0.002056
28,5,4,404.6538,99.996628,0.002056,0.001316
29,3,6,444.1322,99.996299,0.000740,0.002961
30,6,3,444.1322,99.996299,0.002961,0.000740
31,1,7,493.4802,99.995888,0.000082,0.004030
32,7,1,493.4802,99.995888,0.004030,0.000082
33,5,5,493.4802,99.995888,0.002056,0.002056
34,4,6,513.2194,99.995723,0.001316,0.002961
35,6,4,513.2194,99.995723,0.002961,0.001316
36,2,7,523.0890,99.995641,0.000329,0.004030
37,7,2,523.0890,99.995641,0.004030,0.000329
38,3,7,572.4371,99.995230,0.000740,0.004030
39,7,3,572.4371,99.995230,0.004030,0.000740
40,5,6,602.0459,99.994983,0.002056,0.002961
41,6,5,602.0459,99.994983,0.002961,0.002056
42,1,8,641.5243,99.994654,0.000082,0.005264
43,8,1,641.5243,99.994654,0.005264,0.000082
44,4,7,641.5243,99.994654,0.001316,0.004030
45,7,4,641.5243,99.994654,0.004030,0.001316
46,2,8,671.1331,99.994408,0.000329,0.005263
47,8,2,671.1331,99.994408,0.005263,0.000329
48,6,6,710.6115,99.994079,0.002961,0.002961
49,3,8,720.4811,99.993996,0.000740,0.005263
50,8,3,720.4811,99.993996,0.005263,0.000740
51,5,7,730.3507,99.993914,0.002056,0.004030
52,7,5,730.3507,99.993914,0.004030,0.002056
53,4,8,789.5684,99.993421,0.001316,0.005263
54,8,4,789.5684,99.993421,0.005263,0.001316
55,1,9,809.3076,99.993256,0.000082,0.006662
56,9,1,809.3076,99.993256,0.006662,0.000082
57,2,9,838.9164,99.993010,0.000329,0.006662
58,9,2,838.9164,99.993010,0.006662,0.000329
59,6,7,838.9164,99.993010,0.002961,0.004030
60,7,6,838.9164,99.993010,0.004030,0.002961
61,5,8,878.3948,99.992681,0.002056,0.005263
62,8,5,878.3948,99.992681,0.005263,0.002056
